time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range
182,301.0,1,67,-196.51508,12288,,,,,,,,,,,
200,301.0,2,122,-173.72011,24576,0.0004654526710510254,0.013216145833333333,1.0001335144042969,-0.006457610291545279,10,62.94507598876953,0.005812784,183.27963247299195,1e-05,-5.676294167836507,0.2
206,301.0,3,178,-116.826096,36864,0.0011480450630187988,0.08986002604166667,0.9992489814758301,-0.012627965140078837,20,43.87861633300781,0.010043283,101.56929550170898,1e-05,-5.674961805343628,0.2
210,301.0,4,233,1.0757236,49152,0.0012627243995666504,0.11834309895833334,0.9986804723739624,-0.014268231566529722,30,56.54106903076172,0.009030273,109.29456882476806,1e-05,-5.671714035669963,0.2
213,301.0,5,287,73.35579,61440,0.00042748451232910156,0.0,0.9986965656280518,0.0010371859670461466,40,828.2725830078125,3.984474e-05,1616.997984536489,1e-05,-5.670449197292328,0.2
217,301.0,6,339,93.233955,73728,0.001703023910522461,0.05701497395833333,0.998498797416687,-0.005404859097325243,50,201.4282684326172,0.008847551,895.9771685918172,1e-05,-5.670313934485118,0.2
222,301.0,7,387,131.08731,86016,0.0008987188339233398,0.025138346354166667,0.998346745967865,-0.0025276517728343604,60,983.6027221679688,0.006954256,928.4155754089355,1e-05,-5.669565697511037,0.2
214,301.0,8,457,139.11868,98304,0.0008559226989746094,0.0289306640625,0.9982576966285706,-0.0034257233657020453,70,115.65198516845703,0.0063678585,956.6815625508626,1e-05,-5.6690008242925005,0.2
209,301.0,9,528,98.13167,110592,8.004903793334961e-05,0.006632486979166667,0.9980982542037964,-0.0018152691307477653,80,1355.221435546875,0.004337148,1809.4298498153687,1e-05,-5.668514388799667,0.2
208,301.0,10,590,30.67093,122880,2.3424625396728516e-05,0.012858072916666666,0.9979017972946167,-0.0006506741017801687,90,843.2162475585938,0.0021295568,1815.5148633321126,1e-05,-5.667685147126516,0.2
209,301.0,11,646,-12.684573,135168,2.002716064453125e-05,0.0,0.9978784322738647,-0.00029189091292209924,100,238.87554931640625,9.32132e-05,484.957456334432,1e-05,-5.667268439133962,0.2
208,301.0,12,706,-53.266647,147456,0.0002486705780029297,0.0026448567708333335,0.9978897571563721,-0.0006226942641660571,110,211.37106323242188,0.0038241774,439.0835048675537,1e-05,-5.667280632257461,0.2
208,301.0,13,765,-74.46243,159744,0.0013547539710998535,0.0022298177083333332,0.9977292418479919,-0.0009295631927670911,120,1345.54541015625,0.0032880649,1399.9088915506998,1e-05,-5.667009141047796,0.2
205,301.0,14,837,-108.559105,172032,0.009716987609863281,0.00030924479166666665,0.9978596568107605,-0.0004013606880713875,130,329.9505310058594,0.0018857842,686.0275286356608,1e-05,-5.666849646965662,0.2
