time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
234,301.0,1,52,-214.18031,12288,,,,,,,,,,,,,
168,301.0,2,145,-178.45912,24576,6.824731826782227e-05,0.054646809895833336,0.9999620318412781,-0.00996904617495602,10,93.44853210449219,0.008395042,137.29249078134697,1e-06,-5.6758029421170555,0.2,,
145,301.0,3,252,-104.54837,36864,0.0014359354972839355,0.06826985677083333,0.9998703598976135,-0.010902721041202313,20,52.148948669433594,0.008657726,106.1003252218167,1e-06,-5.675487166022261,0.2,,
137,301.0,4,357,22.466534,49152,0.002166569232940674,0.07427571614583334,0.9996494054794312,-0.01070329079326863,30,38.568763732910156,0.008427826,103.84237771431604,1e-06,-5.6748870681971315,0.2,,
133,301.0,5,461,108.86367,61440,0.0009171366691589355,0.0498779296875,0.9995543360710144,-0.006923034646327627,40,89.48149871826172,0.007907061,1702.9507643570503,1e-06,-5.674259003127615,0.2,,
131,301.0,6,561,130.99738,73728,0.0008843541145324707,0.05751953125,0.999323844909668,-0.006569721664224441,50,134.9570770263672,0.007175961,2414.061446839571,1e-06,-5.673577107364933,0.2,,
130,301.0,7,659,165.69836,86016,0.0016450285911560059,0.0679443359375,0.999093770980835,-0.007214200057690808,60,8062.84912109375,0.007340601,1729.9644693891207,1e-06,-5.672620053340991,0.2,,
129,301.0,8,761,150.29616,98304,0.00045996904373168945,0.03836263020833333,0.9988492131233215,-0.0036672893411984356,70,4834.01171875,0.005682448,3292.7666647593182,1e-06,-5.671659217650691,0.2,,
127,301.0,9,864,15.281063,110592,0.00023627281188964844,0.017586263020833333,0.998772144317627,-0.002137821736080999,80,185.87026977539062,0.0049660783,1932.339477344354,1e-06,-5.671060944224397,0.2,,
126,301.0,10,969,-34.470676,122880,0.0013889670372009277,0.0134033203125,0.9987965226173401,-0.002666061844987174,90,259.1116943359375,0.0042596683,543.1306222518285,1e-06,-5.670935718218486,0.2,,
126,301.0,11,1071,-37.993553,135168,0.004893779754638672,0.0015950520833333333,0.9987140893936157,-0.0008306736732871892,100,278.4895324707031,0.0030348494,552.3378383636475,1e-06,-5.670793042083582,0.2,,
125,301.0,12,1176,-60.486797,147456,0.005577683448791504,0.002685546875,0.9986186623573303,-0.001210655623799539,110,315.85760498046875,0.0029839037,1502.2417779843013,1e-06,-5.670489735032121,0.2,,
125,301.0,13,1273,-90.71329,159744,0.010471701622009277,0.0032796223958333334,0.9985538125038147,-0.0012009563613294934,120,488.71435546875,0.0027846887,1477.4837087392807,1e-06,-5.670150524626176,0.2,,
125,301.0,14,1371,-151.40298,172032,0.01863175630569458,4.8828125e-05,0.9984787106513977,-0.00024387678822677117,130,323.92669677734375,0.0014250958,1559.2375456412633,1e-06,-5.669822170585394,0.2,,
125,301.0,15,1470,-138.72403,184320,0.06114530563354492,0.0072265625,0.9984146356582642,-0.001302468666593389,140,426.1303405761719,0.003925169,845.0550294160843,1e-06,-5.669540212055048,0.2,,
125,301.0,16,1568,-124.51831,196608,0.0813332200050354,0.0007080078125,0.9985212683677673,-0.0008308443647062328,150,243.30445861816406,0.0024113832,637.5312040805817,1e-06,-5.6696420258531965,0.2,,
125,301.0,17,1670,-117.70612,208896,0.14885437488555908,0.0045166015625,0.9985285997390747,-0.0016203742648940533,160,274.5291442871094,0.003353473,605.0840403358142,1e-06,-5.669835065926114,0.2,,
124,301.0,18,1769,-115.08541,221184,0.23463261127471924,0.0011637369791666667,0.9984808564186096,-0.0009663186019073085,170,307.5347900390625,0.0027205304,744.5563449780146,1e-06,-5.669742558524012,0.2,,
124,301.0,19,1880,-111.34255,233472,0.38682061433792114,3.255208333333333e-05,0.9984369277954102,-0.0004370409513891597,180,421.91680908203125,0.0013693123,698.1873676220576,1e-06,-5.669549978524446,0.2,,
124,301.0,20,1977,-125.668564,245760,0.323927104473114,0.0,0.9984492063522339,-0.00019794681490263125,190,17854.36328125,0.00058612344,1439.9919959465662,1e-06,-5.669527496894201,0.2,,
124,301.0,21,2069,-129.7488,258048,0.532831221818924,0.0005615234375,0.9983768463134766,-0.0008076504891505465,200,338.6527404785156,0.0022229722,665.7498742341995,1e-06,-5.669410616656145,0.2,,
124,301.0,22,2175,-107.24134,270336,0.5920930802822113,0.0,0.9983624815940857,-0.00036382285373595853,210,322.5948791503906,0.0007198541,593.6410106817881,1e-06,-5.6692307331909735,0.2,,
124,301.0,23,2270,-70.51572,282624,0.4693198800086975,0.005973307291666666,0.9983566403388977,-0.001947082377106805,220,155.10543823242188,0.0039265696,1229.149961078167,1e-06,-5.669213470816612,0.2,,
124,301.0,24,2361,-5.5241785,294912,0.4616680145263672,0.0029622395833333332,0.9983311891555786,-0.0017577491137975205,230,128.3470458984375,0.0033606812,1203.0177598873775,1e-06,-5.669191811978817,0.2,,
125,301.0,25,2457,33.138702,307200,0.3722492456436157,0.00023600260416666667,0.9983879327774048,-0.0010183157302283993,240,125.9832534790039,0.0019876806,1892.6736126184464,1e-06,-5.669163415580988,0.2,,
125,301.0,26,2551,85.68868,319488,0.7350996434688568,8.138020833333333e-06,0.9983433485031128,-0.0005948357465968002,250,246.96408081054688,0.0011548436,314.1944987654686,1e-06,-5.669212868437171,0.2,,
125,301.0,27,2643,114.720116,331776,0.47624409198760986,4.0690104166666664e-05,0.9983794689178467,-0.0006850147161458153,260,145.16871643066406,0.0013698091,1196.742955505848,1e-06,-5.669190863271554,0.2,,
125,301.0,28,2738,119.353294,344064,0.24155253171920776,4.0690104166666664e-05,0.9983534812927246,-0.0005796018192389359,270,167.61492919921875,0.0013579963,2004.980886598428,1e-06,-5.6691963462779915,0.2,,
125,301.0,29,2849,127.48775,356352,0.7221743166446686,0.0027180989583333332,0.9984090328216553,-0.0013933806107767547,280,342.9884033203125,0.0030799524,395.8618500908216,1e-06,-5.6692797676970565,0.2,,
123,301.0,30,2973,133.66606,368640,0.2759963870048523,5.6966145833333334e-05,0.998359739780426,-0.0008501491782226366,290,2398.796875,0.0013877569,3445.967997697989,1e-06,-5.669323749591907,0.2,,
123,301.0,31,3077,117.29381,380928,0.5229978263378143,7.32421875e-05,0.9982550740242004,-0.0008015954173364056,300,8346.7470703125,0.0017182613,1185.1530913551649,1e-06,-5.668980442980925,0.2,,
124,301.0,32,3169,160.41681,393216,0.4883241057395935,0.0,0.9982422590255737,-0.0003006675980335179,310,183.21998596191406,0.000514621,1190.2410795291264,1e-06,-5.668751964345574,0.2,,
123,301.0,33,3270,191.93399,405504,0.28974002599716187,0.0006022135416666667,0.9983044266700745,-0.0010646355209852725,320,259.2602233886719,0.0022394387,3479.051351527373,1e-06,-5.668842370063066,0.2,,
123,301.0,34,3378,184.6258,417792,0.45905083417892456,0.004972330729166667,0.9983342289924622,-0.001898353284195764,330,254.6632537841797,0.0038132016,1852.113969230652,1e-06,-5.669045934081078,0.2,,
123,301.0,35,3474,180.26178,430080,0.3449976444244385,3.255208333333333e-05,0.9983493089675903,-0.0006826124255894684,340,3096.7255859375,0.0013328033,2829.8052479902904,1e-06,-5.669112063447634,0.2,,
123,301.0,36,3576,192.61636,442368,0.5331605076789856,0.0023111979166666667,0.9983036518096924,-0.001732743242852545,350,186.6490020751953,0.0031653093,1152.084816590945,1e-06,-5.6690536766002575,0.2,,
123,301.0,37,3690,232.68909,454656,0.42490482330322266,0.0014811197916666666,0.9982157349586487,-0.001554454880169942,360,5166.32421875,0.0028723164,1934.945979909102,1e-06,-5.668842769662539,0.2,,
123,301.0,38,3788,278.98825,466944,0.22158390283584595,0.0,0.9981532096862793,-0.00018626651459878,370,2120.706298828125,0.00029153857,4148.563751824697,1e-06,-5.668503001704812,0.2,,
123,301.0,39,3887,253.83696,479232,0.441447377204895,0.007478841145833333,0.9980907440185547,-0.0025351149241032546,380,291.49163818359375,0.0042510983,2022.08592441082,1e-06,-5.668316737810771,0.2,,
123,301.0,40,3995,206.18436,491520,0.3974248766899109,0.0010498046875,0.9980341196060181,-0.0018493429306545295,390,1180.126953125,0.0026114266,1998.303184847037,1e-06,-5.6680327291289965,0.2,,
122,301.0,41,4098,238.31291,503808,0.5057763159275055,0.0026529947916666668,0.9979192018508911,-0.0018293085210946932,400,300.82073974609375,0.0034984797,1321.999102973938,1e-06,-5.6676833719015125,0.2,,
122,301.0,42,4206,201.53496,516096,0.39803528785705566,0.0,0.9979826807975769,-0.0004771961042327651,410,223.1870880126953,0.0011544392,2881.5374650597573,1e-06,-5.667520825068156,0.2,,
122,301.0,43,4318,166.13037,528384,0.6262617409229279,0.0,0.9978859424591064,-0.0003110484629966474,420,237.0846710205078,0.00089878176,1280.7357392350832,1e-06,-5.667471851781011,0.2,,
122,301.0,44,4424,120.54996,540672,0.45227140188217163,0.0,0.9978742599487305,-0.00031622880645348537,430,372.8869934082031,0.0005765241,3548.968182619413,1e-06,-5.667236450811227,0.2,,
122,301.0,45,4530,108.942024,552960,0.6549245417118073,0.00038248697916666666,0.9979771971702576,-0.0012459790395951131,440,11056.046875,0.002062775,1370.074404211839,1e-06,-5.667452646916112,0.2,,
122,301.0,46,4629,102.40987,565248,0.6922833025455475,0.000634765625,0.9978706240653992,-0.0013009541209612508,450,256.3677062988281,0.0022725002,1319.4603241244952,1e-06,-5.667445239673058,0.2,,
122,301.0,47,4727,136.09128,577536,0.36122363805770874,0.0,0.9979255199432373,-0.0005108806384669151,460,168.86134338378906,0.0006634406,5526.2163353562355,1e-06,-5.667357615133127,0.2,,
122,301.0,48,4823,133.53607,589824,0.6474445760250092,0.0007731119791666666,0.9979298710823059,-0.0016336215353173126,470,248.4151153564453,0.0023113347,1306.5948659420014,1e-06,-5.667476942886909,0.2,,
,,,,,600000,0.5206878185272217,0.00017903645833333332,0.9979478120803833,-0.0012695694057280585,480,7513.19775390625,0.001847315,2036.4798683166505,1e-06,-5.667516945426663,0.2,175.0,-4732.5732421875
122,301.0,49,4924,179.65773,602112,,,,,,,,,,,,,
122,301.0,50,5016,187.9052,614400,0.5836438536643982,0.0005045572916666667,0.9978882670402527,-0.0014068832561558034,490,233.51675415039062,0.0022024408,1276.2719256281853,1e-06,-5.667389046276609,0.2,,
122,301.0,51,5108,187.90724,626688,0.3939512372016907,0.00013834635416666666,0.9978935718536377,-0.0010525349003728478,500,325.812255859375,0.0015780193,2770.75941012303,1e-06,-5.667315413927039,0.2,,
122,301.0,52,5222,200.50935,638976,0.49600958824157715,0.0001708984375,0.9979509115219116,-0.0011300992977339775,510,302.5844421386719,0.0017397873,1977.5258097608885,1e-06,-5.667404884348313,0.2,,
122,301.0,53,5327,209.62453,651264,0.3861492872238159,0.000537109375,0.9979113340377808,-0.001348339082566478,520,273.70184326171875,0.0024021664,1797.5420966744423,1e-06,-5.667480415850878,0.2,,
122,301.0,54,5432,196.66125,663552,0.44944489002227783,0.0010498046875,0.9979063272476196,-0.0016959328141335087,530,234.08709716796875,0.0026260933,2023.7159883697827,1e-06,-5.667388171330094,0.2,,
121,301.0,55,5542,221.90953,675840,0.5711806118488312,0.001611328125,0.9980078935623169,-0.0015381946131431809,540,317.2464904785156,0.0030431778,1248.5879975835483,1e-06,-5.667603946601351,0.2,,
121,301.0,56,5659,234.51997,688128,0.39438939094543457,0.0,0.9979821443557739,-0.00014143397456791717,550,323.2492980957031,0.00052977965,3389.006346424421,1e-06,-5.66768265068531,0.2,,
121,301.0,57,5764,240.01291,700416,0.5319073498249054,0.00037434895833333336,0.9978671073913574,-0.0011345211965817724,560,228.05191040039062,0.002143298,2019.7115685582162,1e-06,-5.667443109179536,0.2,,
121,301.0,58,5869,186.28615,712704,0.6137213706970215,0.0,0.9979264736175537,-0.000343097004952142,570,256.19818115234375,0.00065719365,1252.8148723363877,1e-06,-5.667324375733733,0.2,,
121,301.0,59,5982,191.11194,724992,0.46407848596572876,0.0,0.9979419708251953,-0.000656721228127329,580,250.852294921875,0.00082090404,2887.45197066466,1e-06,-5.6674859251827,0.2,,
121,301.0,60,6086,209.21112,737280,0.5563842356204987,0.0007975260416666667,0.9979830980300903,-0.0013770447294518817,590,302.17388916015625,0.0024195944,1369.5919300834337,1e-06,-5.66757937570413,0.2,,
121,301.0,61,6190,214.56682,749568,0.7844725847244263,2.44140625e-05,0.9979903697967529,-0.0005527024664237008,600,246.25848388671875,0.0012352362,501.94339289267856,1e-06,-5.667687069127957,0.2,,
120,301.0,62,6301,230.92725,761856,0.4960451126098633,8.951822916666666e-05,0.998047411441803,-0.0006523627517405355,610,210.1907501220703,0.0015759561,2093.4189232667286,1e-06,-5.667830393463373,0.2,,
120,301.0,63,6410,238.91397,774144,0.5755333304405212,0.0022786458333333335,0.997998833656311,-0.0019691048357344696,620,445.0384521484375,0.0032841836,1373.2204437732696,1e-06,-5.6678394369781016,0.2,,
