Episode,Reward
1,-501.6679
2,-344.7903
3,-11749.679
4,-17880.74
5,-7827.4683
6,-9834.462
7,-358.34378
8,-618.92883
9,-385.92422
10,-18878.361
11,-2750.5664
12,-5553.0405
13,-12803.238
14,-478.21255
15,-449.62878
16,-11852.645
17,-520.6037
18,-11780.133
19,-630.0114
20,-364.22354
21,-5550.7725
22,-358.78595
23,-447.5081
24,-12802.301
25,-17887.488
26,-6832.6914
27,-10835.1
28,-394.88626
29,-17885.303
30,-2755.9355
31,-464.6875
32,-10837.826
33,-514.6264
34,-617.48553
35,-12786.61
36,-445.05997
37,-5551.5625
38,-358.47534
39,-13803.701
40,-373.44092
41,-18890.674
42,-384.6418
43,-6832.8657
44,-10834.375
45,-18887.367
46,-2758.7869
47,-463.1391
48,-10822.369
49,-521.25714
50,-619.6652
51,-11779.823
52,-445.9266
53,-5551.45
54,-365.8744
55,-12799.07
56,-357.88815
57,-17889.547
58,-381.8606
59,-6830.695
60,-10834.835
61,-465.10712
62,-18888.367
63,-2756.8755
64,-10824.684
65,-514.52075
66,-618.5385
67,-450.12164
68,-12788.835
69,-6573.291
70,-357.52673
71,-13801.588
72,-356.09723
73,-18892.766
74,-385.8615
75,-6822.7017
76,-9822.49
77,-17878.79
78,-463.9217
79,-2759.3162
80,-10833.188
81,-521.316
82,-627.6639
83,-449.73856
84,-12788.248
85,-6573.217
86,-357.07034
87,-12811.927
88,-368.60123
89,-18891.605
90,-381.99167
91,-9825.02
92,-6833.293
93,-17877.803
94,-465.57468
95,-2756.0898
96,-10834.286
97,-457.6466
98,-5561.4697
99,-12792.352
100,-368.0841
