time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
1,-240.90942,56,301.0,32768,579,,,,,,,,,,,,,
2,-151.4433,132,301.0,65536,495,93.80740086436272,0.0001,0.108624267578125,-5.6630768546834584,36.690738677978516,-2.6464462280273438e-05,0.2,10,0.007986828,-0.011664718318115774,0.9960870146751404,,
3,1.9518156,208,301.0,98304,470,98.70899543911219,0.0001,0.1356719970703125,-5.657656121253967,47.5947380065918,0.26995551586151123,0.2,20,0.009956239,-0.0163939541259424,0.9945683479309082,,
4,226.60768,284,301.0,131072,460,132.24888543784618,0.0001,0.172882080078125,-5.6473878439515826,66.26266479492188,0.4298244118690491,0.2,30,0.011024221,-0.020556920406488644,0.9904043674468994,,
5,89.407585,360,301.0,163840,453,3977.547025179863,0.0001,0.1078460693359375,-5.632669600658119,3408.72802734375,0.06366133689880371,0.2,40,0.009035926,-0.006143516027759688,0.987639844417572,,
6,77.769394,437,301.0,196608,449,1904.3243507802486,0.0001,0.1029022216796875,-5.60941723715514,2076.433837890625,0.1017751693725586,0.2,50,0.008568913,-0.007420611987890879,0.9802993535995483,,
7,33.665695,513,301.0,229376,446,1662.5349743068218,0.0001,0.0754058837890625,-5.57047830875963,146.22305297851562,0.03881305456161499,0.2,60,0.006617888,-0.004477799503820279,0.9726240634918213,,
8,-35.616722,590,301.0,262144,444,1234.5017123103141,0.0001,0.059735107421875,-5.53059495370835,219.7947235107422,-0.025560498237609863,0.2,70,0.006323812,-0.003974258423204447,0.9598435759544373,,
9,-100.22956,666,301.0,294912,442,1422.1926015734673,0.0001,0.0546783447265625,-5.484403763525188,238.20037841796875,-0.024566173553466797,0.2,80,0.004709811,-0.0015561260183176273,0.952081561088562,,
10,-114.84048,743,301.0,327680,440,840.0337993621827,0.0001,0.0246307373046875,-5.470218283869326,279.1988830566406,-0.005302548408508301,0.2,90,0.004547911,-0.0020458383668028545,0.9474550485610962,,
11,-70.0442,819,301.0,360448,439,369.9264011323452,0.0001,0.0351409912109375,-5.454134659282863,114.07300567626953,0.031138896942138672,0.2,100,0.005313999,-0.0029830083037722943,0.9462488889694214,,
