time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std
1,-212.45598,56,301.0,32768,579,,,,,,,,,,,
2,-146.75186,170,301.0,65536,385,83.44115014821291,0.001,0.130975341796875,-5.650966230779886,39.15552520751953,0.0001074075698852539,0.2,10,0.009219089,-0.011183597967828973,0.9957370758056641
3,20.872131,286,301.0,98304,343,101.54219115227461,0.001,0.1596527099609375,-5.63222678527236,45.200679779052734,0.3126624822616577,0.2,20,0.010708604,-0.016022810263712016,0.9933659434318542
4,163.71323,402,301.0,131072,325,382.3977753162384,0.001,0.18717041015625,-5.611196968331933,78.55101776123047,0.16024255752563477,0.2,30,0.012089343,-0.017986798688889395,0.981386125087738
5,137.70824,519,301.0,163840,315,2064.632882130146,0.001,0.148699951171875,-5.5745221676304935,82.94882202148438,0.0775797963142395,0.2,40,0.009533247,-0.01103050439155595,0.978334903717041
6,83.01814,636,301.0,196608,308,2757.3578358352183,0.001,0.1087921142578125,-5.555135310906917,116.33165740966797,0.03968936204910278,0.2,50,0.0082751885,-0.006661693204455333,0.9680114984512329
7,43.24299,753,301.0,229376,304,1667.493732085824,0.001,0.1119049072265625,-5.511977302841842,143.95809936523438,0.02788597345352173,0.2,60,0.007871816,-0.006861649642496559,0.956701397895813
8,4.9956474,870,301.0,262144,301,2279.6484782367943,0.001,0.0873138427734375,-5.456105090118944,176.96697998046875,0.03763723373413086,0.2,70,0.0070968126,-0.004635748057648925,0.9500794410705566
9,-19.530712,987,301.0,294912,298,1387.981848564744,0.001,0.056170654296875,-5.447295489627868,138.59022521972656,0.2436656951904297,0.2,80,0.005783923,-0.0034425200001805935,0.943625807762146
10,-33.61262,1106,301.0,327680,296,1165.143834334612,0.001,0.0468017578125,-5.416282162535936,195.86338806152344,0.45903611183166504,0.2,90,0.00525708,-0.002747072093507086,0.9408904314041138
11,-64.464745,1224,301.0,360448,294,1096.6145501598717,0.001,0.0486175537109375,-5.403946944512427,186.7916717529297,0.5732168257236481,0.2,100,0.0055968957,-0.002383594244156484,0.9312171339988708
