Episode,Reward
1,-2572.6377
2,-3590.6978
3,-2581.495
4,-15777.87
5,-6655.5957
6,-506.20157
7,-3609.933
8,-15736.01
9,-15758.515
10,-7681.2056
11,-8714.685
12,-371.29477
13,-484.71735
14,-550.08575
15,-2605.2454
16,-3595.3674
17,-3587.1814
18,-6681.518
19,-4592.963
20,-2575.752
21,-489.99615
22,-15790.041
23,-3622.4006
24,-15752.901
25,-387.40945
26,-15750.646
27,-7682.0024
28,-8698.869
29,-527.3132
30,-1566.9554
31,-529.07654
32,-3576.31
33,-3576.7944
34,-1565.598
35,-6691.6245
36,-4602.7617
37,-497.185
38,-15790.895
39,-4632.4775
40,-14737.786
41,-15762.768
42,-7699.6514
43,-397.10532
44,-7680.988
45,-535.7514
46,-2575.237
47,-2566.5723
48,-516.6559
49,-3589.3652
50,-4592.5044
51,-2576.631
52,-7701.962
53,-4623.262
54,-499.35837
55,-14735.212
56,-15753.254
57,-15790.073
58,-388.37988
59,-8710.152
60,-2554.661
61,-7679.7017
62,-516.6617
63,-534.2507
64,-2574.0708
65,-3586.6257
66,-4591.695
67,-2580.5845
68,-494.70795
69,-14780.621
70,-7689.643
71,-4634.7695
72,-15749.143
73,-15763.35
74,-389.69986
75,-6671.643
76,-519.5021
77,-8698.787
78,-526.82574
79,-3564.5864
80,-2576.4084
81,-3579.271
82,-1566.3607
83,-3591.2058
84,-497.07596
85,-15789.977
86,-6691.3354
87,-4632.0107
88,-15747.314
89,-16763.154
90,-7700.5435
91,-388.84247
92,-7682.0522
93,-526.89795
94,-535.1678
95,-1567.0317
96,-3577.8718
97,-15752.143
98,-15748.188
99,-2565.9617
100,-2575.193
