Episode,Reward
1,234.16548
2,-550.06134
3,1306.6974
4,924.5127
5,475.14883
6,-132.21248
7,137.53685
8,261.7152
9,360.63736
10,138.20578
11,-607.4456
12,68.50933
13,304.0422
14,-845.1355
15,-257.8159
16,391.043
17,473.64255
18,-697.8987
19,143.62184
20,771.79553
21,701.97845
22,-86.75505
23,299.67462
24,194.28287
25,359.06818
26,575.2496
27,-417.0074
28,1583.6504
29,292.79126
30,-230.65622
31,17.59553
32,101.012505
33,188.05174
34,-618.798
35,170.15587
36,452.64563
37,891.5234
38,-381.65906
39,62.19102
40,586.50525
41,439.63303
42,529.8443
43,-429.72455
44,308.67
45,344.96103
46,-246.97406
47,33.652565
48,283.56467
49,238.09103
50,-1040.417
51,269.77246
52,450.37692
53,-221.04587
54,102.399086
55,301.7268
56,147.5482
57,198.44588
58,683.0158
59,-329.12457
60,429.61133
61,427.11972
62,-849.1539
63,-387.5888
64,396.6711
65,179.84549
66,-529.4486
67,10.689497
68,374.1638
69,248.39922
70,184.57007
71,261.74478
72,580.2307
73,500.47205
74,629.5912
75,-420.3943
76,428.25894
77,392.10214
78,-431.16595
79,-131.06308
80,463.19226
81,79.507835
82,-607.22314
83,255.38167
84,289.473
85,110.23577
86,144.39543
87,11.893202
88,226.26126
89,448.04892
90,606.64905
91,-201.77054
92,442.37854
93,414.14816
94,-624.4995
95,-50.76312
96,498.17975
97,243.79619
98,-666.46344
99,-137.03615
100,528.01556
