rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_range,train/n_updates,train/approx_kl
-230.18646,60,542,301.0,32768,1,,,,,,,,,,,
-153.01698,169,386,301.0,65536,2,0.11451416015625,2.9206275939941406e-05,-5.666210107132793,-0.011698500718921423,30.880910873413086,82.11121270656585,0.0001,0.9970211982727051,0.2,10,0.007920486
-14.701633,279,351,301.0,98304,3,0.1498626708984375,0.33988356590270996,-5.6556904055178165,-0.01772409789264202,44.398162841796875,99.74697947502136,0.0001,0.9921813607215881,0.2,20,0.010395415
187.21342,389,336,301.0,131072,4,0.1690765380859375,0.4861045479774475,-5.628479438088834,-0.019036496845728834,51.791412353515625,135.70274571180343,0.0001,0.9855338335037231,0.2,30,0.011265758
85.12154,499,327,301.0,163840,5,0.100018310546875,0.10813784599304199,-5.606199482269585,-0.005726480781322607,3916.196044921875,3111.6780307412146,0.0001,0.9799798727035522,0.2,40,0.009041077
48.20344,611,321,301.0,196608,6,0.1180419921875,0.11470252275466919,-5.570210033655167,-0.008552197871722456,166.92181396484375,2265.0193737626078,0.0001,0.97149658203125,0.2,50,0.009269794
26.909641,722,317,301.0,229376,7,0.103790283203125,0.1299477219581604,-5.528944178298116,-0.008582012949955243,163.57557678222656,837.3730506181716,0.0001,0.960964024066925,0.2,60,0.007615556
19.452091,833,314,301.0,262144,8,0.0645233154296875,0.014799177646636963,-5.481092931888997,-0.006087314736623739,101.2402114868164,532.911461186409,0.0001,0.9488986134529114,0.2,70,0.0058964635
-34.41753,944,312,301.0,294912,9,0.0390716552734375,0.2691916823387146,-5.440302738919854,-0.003502022139946348,86.96481323242188,758.497760629654,0.0001,0.9369441866874695,0.2,80,0.004879648
-54.572342,1055,310,301.0,327680,10,0.0398162841796875,0.7192750871181488,-5.395449562370777,-0.004026848576722841,86.55477142333984,225.53418368697166,0.0001,0.9295685291290283,0.2,90,0.0053744214
17.551931,1167,308,301.0,360448,11,0.0352386474609375,0.7076106369495392,-5.375328694842755,-0.002958012524959486,2269.46142578125,526.5086265027523,0.0001,0.9259209036827087,0.2,100,0.004783288
34.47838,1278,307,301.0,393216,12,0.0402740478515625,0.6419994235038757,-5.354376626946032,-0.0029983309109866242,767.3955688476562,1045.1281158685683,0.0001,0.9207059741020203,0.2,110,0.005488469
49.08461,1390,306,301.0,425984,13,0.0356964111328125,0.6593100130558014,-5.340600709989667,-0.002146631698906276,209.07997131347656,1135.594934040308,0.0001,0.91913902759552,0.2,120,0.0046358914
95.89023,1502,305,301.0,458752,14,0.0532440185546875,0.8905466571450233,-5.31031897533685,-0.004704828569265374,139.17984008789062,257.7823038876057,0.0001,0.9101631045341492,0.2,130,0.005903714
113.46851,1614,304,301.0,491520,15,0.0616241455078125,0.7857310324907303,-5.2880566528066995,-0.0038730402424789643,771.4017333984375,552.8573766350746,0.0001,0.9075720906257629,0.2,140,0.0058783954
117.62866,1726,303,301.0,524288,16,0.0726806640625,0.6737079918384552,-5.269308042526245,-0.0039490165940833325,156.6929473876953,805.8399880886078,0.0001,0.901543378829956,0.2,150,0.0068652206
164.20601,1838,303,301.0,557056,17,0.071417236328125,0.7400502264499664,-5.245513812638819,-0.003833030233181489,130.24874877929688,555.3969445824623,0.0001,0.8961735963821411,0.2,160,0.0071246875
194.23979,1950,302,301.0,589824,18,0.075592041015625,0.6244871914386749,-5.209645547159016,-0.0034030114876259176,132.38604736328125,827.8095113575458,0.0001,0.8875869512557983,0.2,170,0.0068308585
214.61885,2063,301,301.0,622592,19,0.0864837646484375,0.5129649937152863,-5.184530040435493,-0.001718520387339595,196.6396026611328,1122.81531804204,0.0001,0.8833160400390625,0.2,180,0.008414802
231.84688,2175,301,301.0,655360,20,0.104803466796875,0.5376135110855103,-5.16228786110878,-0.0022590704205413203,131.5963592529297,559.214189350605,0.0001,0.8788948655128479,0.2,190,0.009141517
315.4953,2288,300,301.0,688128,21,0.09830322265625,0.560594230890274,-5.133537715114653,-0.002178338590101703,145.75299072265625,561.5325122952461,0.0001,0.8708751797676086,0.2,200,0.01012885
282.5837,2401,300,301.0,720896,22,0.1097320556640625,0.25069767236709595,-5.108047902211547,0.001722029349184595,137.64283752441406,1961.8422239243985,0.0001,0.8671656847000122,0.2,210,0.008475659
240.21881,2513,299,301.0,753664,23,0.104339599609375,0.27221381664276123,-5.095620348490774,-0.0004057140754412103,261.8974304199219,1762.8916767060757,0.0001,0.86514812707901,0.2,220,0.008170037
