Episode,Reward
1,-498.8615
2,-491.84497
3,-499.00186
4,-497.92078
5,-497.48648
6,-500.20364
7,-491.68347
8,-499.6478
9,-493.54526
10,-494.9322
11,-495.0233
12,-496.02484
13,-494.18536
14,-495.1621
15,-497.93417
16,-487.1861
17,-498.2703
18,-501.2378
19,-496.50043
20,-501.59
21,-493.77332
22,-494.5893
23,-499.66467
24,-491.49918
25,-496.4581
26,-492.9515
27,-502.044
28,-495.0326
29,-493.0257
30,-497.56165
31,-487.80164
32,-496.1935
33,-497.78152
34,-497.5613
35,-494.39725
36,-488.45462
37,-496.10577
38,-495.8338
39,-494.86008
40,-491.4432
41,-494.24478
42,-503.96204
43,-495.83224
44,-497.47772
45,-500.3894
46,-495.90863
47,-501.72284
48,-498.52557
49,-496.07272
50,-500.81354
51,-497.4942
52,-498.7262
53,-494.4636
54,-496.47745
55,-496.7798
56,-503.1913
57,-496.13208
58,-495.0807
59,-495.49026
60,-495.6904
61,-492.04556
62,-493.47604
63,-494.4763
64,-500.5362
65,-499.31396
66,-497.91043
67,-498.95554
68,-493.25275
69,-498.35562
70,-503.3632
71,-491.3182
72,-495.6097
73,-495.95496
74,-493.62854
75,-499.81848
76,-497.33636
77,-499.58853
78,-494.50735
79,-495.44547
80,-500.7961
81,-496.8489
82,-498.3037
83,-497.20065
84,-501.6728
85,-497.0304
86,-492.42328
87,-495.53857
88,-493.33832
89,-499.3843
90,-497.42123
91,-491.39355
92,-501.56497
93,-490.51422
94,-501.67438
95,-501.58536
96,-491.9589
97,-500.50897
98,-495.60483
99,-486.73187
100,-499.91638
