time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,57,573,-228.64362,,,,,,,,,,,
2,301.0,65536,118,554,-129.12077,-5.659192914515733,0.00858076,0.00027304887771606445,10,35.555599212646484,88.9962628185749,0.2,0.001,0.1339080810546875,0.9948095083236694,-0.011697003869630861
3,301.0,98304,180,545,-16.333618,-5.647846106439829,0.009491745,0.23639541864395142,20,66.15641021728516,109.50385544300079,0.2,0.001,0.1347320556640625,0.9910141229629517,-0.017029090160212944
4,301.0,131072,242,540,135.52144,-5.627043104916811,0.010841323,0.3686476945877075,30,59.67264938354492,129.52515778541564,0.2,0.001,0.1661834716796875,0.9856142997741699,-0.01910011260642932
5,301.0,163840,304,538,159.38342,-5.606840857118368,0.011113268,0.08448529243469238,40,1781.383544921875,1277.4309540033341,0.2,0.001,0.15068359375,0.9809123873710632,-0.008601090095908148
6,301.0,196608,366,536,79.26736,-5.592544721066952,0.0071044625,0.025301218032836914,50,2370.496337890625,3308.1688610076903,0.2,0.001,0.0840087890625,0.9782240986824036,-0.0034351867074292387
7,301.0,229376,428,534,-10.735111,-5.584143108874559,0.004046914,0.004056274890899658,60,767.4255981445312,2468.370453596115,0.2,0.001,0.0285614013671875,0.9753150939941406,-0.0009931062111718347
8,301.0,262144,491,533,-34.94947,-5.568519815802574,0.00532586,0.19243937730789185,70,327.5356140136719,811.4707217693328,0.2,0.001,0.0477203369140625,0.971508800983429,-0.0027322967787767995
9,301.0,294912,553,532,-34.402992,-5.546053955703973,0.004764964,0.4884049892425537,80,167.0717315673828,553.0306312322616,0.2,0.001,0.043218994140625,0.9658256769180298,-0.0029462319984304487
10,301.0,327680,616,531,-61.16411,-5.536237505823374,0.0042408668,0.6023296117782593,90,116.63052368164062,533.9693761825562,0.2,0.001,0.021807861328125,0.9652585387229919,-0.001704196020909876
11,301.0,360448,678,531,-35.439404,-5.528361194580794,0.0036087793,0.8052486330270767,100,117.69000244140625,286.3025444507599,0.2,0.001,0.0207275390625,0.9628656506538391,-0.0018445329573296477
12,301.0,393216,741,530,9.752642,-5.5219089515507225,0.002959604,0.8344801366329193,110,132.6232147216797,301.7423694849014,0.2,0.001,0.011865234375,0.9586250185966492,-0.001111469021634548
13,301.0,425984,803,530,-2.332863,-5.496346284449101,0.0042109694,0.6982861459255219,120,147.3950653076172,833.927988910675,0.2,0.001,0.0291259765625,0.9519388675689697,-0.0012211103485242347
14,301.0,458752,866,529,58.772614,-5.457273863255978,0.004696751,0.6943400502204895,130,265.0580139160156,879.599341058731,0.2,0.001,0.0357330322265625,0.9437950253486633,-0.0011181528238012107
15,301.0,491520,928,529,69.24619,-5.419513821601868,0.006542146,0.852991372346878,140,124.72989654541016,275.2349270105362,0.2,0.001,0.0773712158203125,0.9358470439910889,-0.004839622365216201
16,301.0,524288,990,529,71.26582,-5.397317722439766,0.0051489086,0.7282463014125824,150,166.9794464111328,598.6107517719269,0.2,0.001,0.0855712890625,0.9301959872245789,-0.002204471413506326
17,301.0,557056,1053,528,102.97408,-5.353649529069662,0.00764632,0.728047639131546,160,137.47731018066406,608.3495130300522,0.2,0.001,0.0783843994140625,0.9216033220291138,-0.0028214321995619685
