time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,56,574,-221.60754,,,,,,,,,,,
2,301.0,65536,116,563,-118.23163,-5.674944651126862,0.008431714,-3.4928321838378906e-05,10,53.444976806640625,169.38532648086547,0.2,1e-05,0.048394775390625,0.9993138909339905,-0.008639208754175343
3,301.0,98304,175,559,2.4009407,-5.670491138100624,0.009149542,5.662441253662109e-06,20,50.665626525878906,101.40404889583587,0.2,1e-05,0.113653564453125,0.9979044198989868,-0.013896057678357466
4,301.0,131072,234,557,166.48979,-5.666422468423844,0.009441471,0.0014408230781555176,30,59.516761779785156,121.17929332256317,0.2,1e-05,0.087542724609375,0.997291088104248,-0.011377682234888198
5,301.0,163840,294,556,142.3477,-5.664887158572673,0.0008451778,0.0006601214408874512,40,1445.6668701171875,2093.565916347504,0.2,1e-05,6.103515625e-06,0.997321367263794,0.00039089745205274086
6,301.0,196608,353,556,139.51454,-5.665096233785152,0.0072312634,0.0008664727210998535,50,1041.2945556640625,2615.026638555527,0.2,1e-05,0.03570556640625,0.9973710775375366,-0.0022710587076289813
7,301.0,229376,412,555,96.7833,-5.664888566732406,0.008396415,0.0004616379737854004,60,1373.7684326171875,2330.7214464664457,0.2,1e-05,0.0397705078125,0.9971238970756531,-0.0021035143337940097
8,301.0,262144,472,555,54.820488,-5.66391694098711,0.006131348,0.00011420249938964844,70,764.6055908203125,1397.7976634979248,0.2,1e-05,0.04344482421875,0.9969314336776733,-0.002334058240194281
9,301.0,294912,531,554,25.949457,-5.661752682924271,0.003913479,0.00011712312698364258,80,169.84568786621094,618.9409081459046,0.2,1e-05,0.0301055908203125,0.9960587620735168,-0.0027598376087553333
10,301.0,327680,590,554,-59.344486,-5.659532201290131,0.004040651,0.00019162893295288086,90,511.4161376953125,998.9322716712952,0.2,1e-05,0.0130767822265625,0.9958235621452332,-0.0017984135854931082
