Episode,Reward
1,-9730.757
2,-6674.4194
3,-419.05545
4,-6672.4985
5,-514.99084
6,-3667.4868
7,-537.658
8,-3599.041
9,-467.56564
10,-484.73343
11,-509.28833
12,-3625.3445
13,-8786.843
14,-7697.979
15,-522.81287
16,-3619.7024
17,-6679.6973
18,-419.00735
19,-9725.255
20,-2635.9453
21,-6687.916
22,-530.3979
23,-564.24634
24,-3601.447
25,-7707.477
26,-507.50623
27,-461.68726
28,-493.76157
29,-497.0484
30,-3649.588
31,-9771.47
32,-3646.6785
33,-6679.9087
34,-8725.865
35,-431.70392
36,-3643.1396
37,-2592.7273
38,-7704.8794
39,-6686.632
40,-525.263
41,-564.6888
42,-490.44388
43,-518.89044
44,-458.80765
45,-2639.23
46,-490.44946
47,-3651.2976
48,-8784.967
49,-6680.835
50,-8714.868
51,-422.54926
52,-2634.946
53,-2593.2942
54,-8715.034
55,-6686.498
56,-526.76624
57,-566.6145
58,-496.5207
59,-482.23068
60,-528.05597
61,-459.39566
62,-3635.5938
63,-3649.5474
64,-9783.843
65,-7688.1216
66,-429.6349
67,-10734.709
68,-3646.8096
69,-3601.7427
70,-7707.5244
71,-6690.348
72,-526.5335
73,-564.0907
74,-511.26703
75,-490.83453
76,-519.2581
77,-459.0372
78,-3639.478
79,-3638.7805
80,-8784.416
81,-6680.565
82,-428.57355
83,-9724.91
84,-2634.1648
85,-7704.137
86,-3604.9978
87,-493.89658
88,-6685.78
89,-526.64795
90,-565.25653
91,-491.63947
92,-524.57806
93,-461.6819
94,-3638.9568
95,-3638.2683
96,-8785.58
97,-428.79684
98,-3603.7295
99,-500.89258
100,-491.03183
