rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/std,train/n_updates,train/clip_fraction
301.0,32768,1,57,568,-200.25322,,,,,,,,,,,
301.0,65536,2,136,480,-490.6837,61.76311111450195,0.31468285141745583,36.906696,0.01,109.04743263423443,0.2,-0.0003904104232788086,-5.867948900908232,1.0519211292266846,10,0.9969879150390625
301.0,98304,3,217,451,-496.8329,10.848359107971191,0.23118139041798713,1670.5548,0.01,36.845527972280976,0.2,-1.1920928955078125e-07,-6.119068118557334,1.1546549797058105,20,0.99334716796875
301.0,131072,4,299,438,-496.37216,33.62519073486328,0.22734208538458917,557.0416,0.01,79.14203794151544,0.2,0.0,-6.515796157158912,1.2530587911605835,30,0.99801025390625
301.0,163840,5,380,430,-496.77792,22.19557762145996,0.2254350558807346,319.21716,0.01,128.7236648157239,0.2,0.0,-6.548220695368945,1.2660092115402222,40,0.9989593505859375
301.0,196608,6,461,425,-496.71005,77.13064575195312,0.22363043726509205,532.3008,0.01,179.71352901235224,0.2,0.0,-6.69360332377255,1.3203083276748657,50,0.99952392578125
301.0,229376,7,543,422,-496.78372,63.077396392822266,0.21215555909257092,318.9928,0.01,196.0559754319489,0.2,0.0,-7.25047244746238,1.5178557634353638,60,0.999578857421875
301.0,262144,8,624,419,-496.77206,106.71216583251953,0.222945842432091,589.1429,0.01,268.76503470540047,0.2,0.0,-7.140332450345158,1.5383758544921875,70,0.9996002197265625
149.87,294912,9,705,417,-1867.3208,147.7360076904297,0.22320519298482394,1186.3065,0.01,291.4822157219052,0.2,0.0,-7.349050568416715,1.5965211391448975,80,0.99959716796875
301.0,327680,10,788,415,-436.9461,25862.318359375,0.27001595742558493,115.72139,0.01,39957.697129821776,0.2,0.0,-7.704800268448889,1.7000397443771362,90,0.9793182373046875
177.0,360448,11,870,414,-5028.924,1383.5750732421875,0.1994010586211516,292.3161,0.01,2329.2966757535933,0.2,0.0,-7.453118752501905,1.5726432800292969,100,0.9987548828125
176.98,393216,12,952,412,-5016.4883,1458875.625,0.19861909269075112,145.07388,0.01,1669989.3471679688,0.2,0.0,-7.1596891598775985,1.4667093753814697,110,0.9916046142578125
177.59,425984,13,1048,406,-5133.5205,1691369.875,0.20813923829555278,78.61365,0.01,1917150.7328308106,0.2,0.0,-7.183661108464003,1.4885238409042358,120,0.996478271484375
203.45,458752,14,1134,404,-4363.5474,1030531.875,0.20084433156298473,144.7894,0.01,1694340.1888061524,0.2,0.0,-7.021433271467686,1.4544947147369385,130,0.9977020263671875
301.0,491520,15,1219,402,-196.12263,618793.125,0.1976029968875082,228.82654,0.01,1157825.3405029296,0.2,0.0,-7.068083064071834,1.5237219333648682,140,0.998370361328125
301.0,524288,16,1307,401,-578.1337,6180.78466796875,0.17446602334566705,65.72444,0.01,156930.6771965027,0.2,0.0,-7.052818714268506,1.4500086307525635,150,0.993597412109375
