rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/n_updates,train/value_loss,train/entropy_loss
251.84,58,32768,-4344.239,556,1,,,,,,,,,,,
256.43,222,65536,-5662.245,294,2,0.4998199462890625,0.0001,0.09433764,56458.90234375,0.706950306892395,0.0022890567779541016,0.0547311340382521,0.2,630,839450.2408202172,-4.253135874122381
246.15,385,98304,-5880.105,254,3,0.0489593505859375,0.0001,0.0047848388,361063.3125,0.7076930403709412,0.13547247648239136,0.0004933621239274544,0.2,640,1554817.1872133017,-4.263905268441886
250.19,549,131072,-5800.4814,238,4,0.0533416748046875,0.0001,0.0037509813,695971.25,0.7084205150604248,0.1491786241531372,0.0012828877831907448,0.2,650,1591036.6154921292,-4.266134962905198
250.74,712,163840,-5857.1367,230,5,0.051171875,0.0001,0.0049445825,2183031.0,0.7134068608283997,0.15887761116027832,0.0006526063194314702,0.2,660,1390183.4380180775,-4.290056843031198
247.17,887,196608,-5885.5864,221,6,0.0628326416015625,0.0001,0.0056960452,541788.1875,0.7124922871589661,0.15468484163284302,0.0013948909703003665,0.2,670,1396929.1461469203,-4.298688125237822
252.65,1063,229376,-5732.9614,215,7,0.0507843017578125,0.0001,0.005909601,597175.5,0.7121860980987549,0.15797346830368042,0.000748433593196296,0.2,680,1424198.937936902,-4.296910927304998
244.46,1235,262144,-5394.044,212,8,0.0550994873046875,0.0001,0.00485787,273302.8125,0.7152830958366394,0.15845996141433716,0.0005640192655164356,0.2,690,1350664.4026251375,-4.300011249957606
253.41,1409,294912,-5759.752,209,9,0.0484283447265625,0.0001,0.005133579,586273.8125,0.7189273834228516,0.18097960948944092,0.000853254439346074,0.2,700,1112425.9434645413,-4.317099624639377
252.58,1580,327680,-5867.628,207,10,0.0668609619140625,0.0001,0.005675083,154028.859375,0.720136821269989,0.16861897706985474,0.0008737017057228513,0.2,710,1324036.5376260816,-4.323503379989416
