Episode,Reward
1,-485.92328
2,-477.03708
3,-482.31787
4,-470.27975
5,-483.38583
6,-488.03574
7,-478.05212
8,-489.06662
9,-474.12674
10,-495.69128
11,-489.18622
12,-482.3949
13,-482.37033
14,-490.32962
15,-488.4511
16,-480.41858
17,-496.26126
18,-497.63712
19,-496.11914
20,-494.41696
21,-501.93842
22,-490.16183
23,-498.8448
24,-502.82123
25,-496.9955
26,-494.6258
27,-500.94684
28,-502.98596
29,-492.35745
30,-496.4657
31,-496.9361
32,-499.7422
33,-492.39142
34,-493.8224
35,-500.74762
36,-499.12195
37,-492.64435
38,-491.74905
39,-497.97693
40,-496.27618
41,-503.2287
42,-497.68823
43,-497.71423
44,-491.33423
45,-492.28976
46,-497.8803
47,-494.31796
48,-497.21014
49,-500.8708
50,-495.72964
51,-494.00592
52,-492.04718
53,-495.808
54,-498.44928
55,-494.75177
56,-497.34338
57,-490.46933
58,-501.48355
59,-492.5319
60,-498.04153
61,-496.41418
62,-495.34753
63,-490.69452
64,-494.67035
65,-493.27142
66,-500.70676
67,-496.8207
68,-501.41833
69,-494.34344
70,-492.34845
71,-489.8131
72,-496.0379
73,-497.59344
74,-496.83328
75,-500.66364
76,-494.404
77,-492.79413
78,-491.55658
79,-491.01526
80,-495.4994
81,-493.29544
82,-496.3001
83,-496.96085
84,-495.77957
85,-502.2839
86,-499.72476
87,-507.31732
88,-497.72418
89,-499.56635
90,-496.45807
91,-495.42682
92,-497.89774
93,-497.5546
94,-495.48853
95,-500.45145
96,-494.37946
97,-495.087
98,-498.51465
99,-496.82413
100,-499.27414
