Episode,Reward
1,8078.753
2,5963.4805
3,4546.3213
4,1083.937
5,5770.275
6,4715.041
7,6981.952
8,9049.764
9,2549.7827
10,4296.903
11,3326.0288
12,4933.2515
13,5639.675
14,5818.1855
15,2597.1462
16,5684.754
17,4750.663
18,4731.8564
19,9034.007
20,1229.5281
21,6022.269
22,4833.7993
23,10092.701
24,7232.2373
25,5808.5874
26,4853.462
27,5418.0093
28,4865.727
29,5711.8716
30,6841.465
31,8234.485
32,10145.03
33,7009.0625
34,7934.151
35,8115.0635
36,5987.276
37,7774.859
38,4787.922
39,2502.5288
40,7067.16
41,6894.4575
42,9079.164
43,5679.46
44,7636.6484
45,2758.128
46,3680.8047
47,3749.1912
48,10240.525
49,7732.6074
50,7111.724
51,3693.4272
52,9161.1455
53,7018.728
54,9972.408
55,3215.8955
56,8325.716
57,6767.782
58,6823.93
59,8036.894
60,4796.764
61,6820.0117
62,2942.283
63,6856.1807
64,4690.7603
65,2297.59
66,7978.3394
67,3556.4573
68,4921.0015
69,3512.1602
70,6778.267
71,3724.8835
72,9285.513
73,8950.236
74,5039.964
75,3213.0137
76,5723.059
77,3805.2942
78,9230.052
79,3079.8948
80,4634.3413
81,6952.35
82,4740.2017
83,4621.1606
84,2093.8142
85,6145.337
86,5832.9653
87,6809.8447
88,5756.902
89,3670.2554
90,8968.675
91,4615.452
92,7922.9136
93,2504.7036
94,4718.23
95,4746.126
96,4707.658
97,4861.528
98,6974.3296
99,7244.762
100,6038.213
