time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/policy_gradient_loss,train/learning_rate
553,301.0,59,3156.9475,1,32768,,,,,,,,,,,
520,301.0,125,3073.048,2,65536,4975.10400390625,24378.700813293457,0.3866302490234375,0.04268099,630,0.18222707509994507,-4.378513435274362,0.2,0.7240040302276611,0.02600868909030396,0.001
512,301.0,191,3252.5815,3,98304,4624.990234375,19960.21039276123,0.29332275390625,0.028427556,640,0.3264983296394348,-4.377697321772575,0.2,0.7234377264976501,0.012632612372181029,0.001
508,301.0,257,3823.1284,4,131072,5912.552734375,20304.84085006714,0.2840850830078125,0.0270894,650,0.2996516823768616,-4.379000686109066,0.2,0.7240908741950989,0.011728181863873033,0.001
506,301.0,323,3711.1606,5,163840,3725.023681640625,22471.715044403078,0.2423370361328125,0.022888552,660,0.3141825795173645,-4.3714061856269835,0.2,0.7207738161087036,0.008563989025424235,0.001
505,301.0,389,3826.954,6,196608,5121.21533203125,23232.712239837645,0.232177734375,0.02099258,670,0.27302366495132446,-4.360370691865683,0.2,0.7201570868492126,0.00740552388733704,0.001
504,301.0,454,3981.336,7,229376,3813.739501953125,20962.3690032959,0.2281005859375,0.020327503,680,0.328670859336853,-4.352521319687367,0.2,0.7181711196899414,0.006725512622688256,0.001
503,301.0,520,4139.169,8,262144,3906.594970703125,21635.35357131958,0.239459228515625,0.021815885,690,0.38042038679122925,-4.338487130403519,0.2,0.7145810723304749,0.007923841931733478,0.001
503,301.0,586,4274.3096,9,294912,6277.884765625,23245.379267120363,0.2245758056640625,0.020930532,700,0.3568422198295593,-4.322462719678879,0.2,0.7124508023262024,0.007428270162017725,0.001
502,301.0,651,4163.302,10,327680,4431.09912109375,24549.081929016113,0.2274139404296875,0.020546641,710,0.3303825855255127,-4.308035640418529,0.2,0.7095493078231812,0.009195216953594354,0.001
502,301.0,717,4095.9375,11,360448,4414.3046875,22375.13197097778,0.231390380859375,0.021285258,720,0.3419860601425171,-4.29544445425272,0.2,0.70755934715271,0.007448048709011346,0.001
501,301.0,783,4387.061,12,393216,4847.06982421875,21771.876930999755,0.2603759765625,0.023455411,730,0.3765382766723633,-4.2834654219448565,0.2,0.7053639888763428,0.011036980568314902,0.001
501,301.0,849,4368.4653,13,425984,4536.630859375,25514.825408172608,0.2513336181640625,0.022875113,740,0.3544408679008484,-4.271418025344611,0.2,0.7034997940063477,0.010261130173057608,0.001
501,301.0,914,4755.1367,14,458752,3674.452392578125,25022.420585632324,0.2786376953125,0.025624525,750,0.3277517557144165,-4.260211723297834,0.2,0.7013819217681885,0.01258957684149209,0.001
501,301.0,980,4581.6543,15,491520,5125.404296875,26950.184829711914,0.2759857177734375,0.025243906,760,0.28294187784194946,-4.24714359715581,0.2,0.6989688873291016,0.010685494332756207,0.001
501,301.0,1046,4488.0493,16,524288,5951.2275390625,25050.917233276366,0.2520111083984375,0.022707328,770,0.2942116856575012,-4.234864904731512,0.2,0.6971029043197632,0.010227397103881231,0.001
500,301.0,1112,4789.634,17,557056,5153.1123046875,23840.916544342042,0.265692138671875,0.023985708,780,0.3119000792503357,-4.226537224650383,0.2,0.695934534072876,0.010586578425136394,0.001
500,301.0,1178,4553.3433,18,589824,6037.25048828125,27099.74456253052,0.27916259765625,0.025605671,790,0.3115900158882141,-4.221102329343557,0.2,0.695393979549408,0.012137390570933349,0.001
500,301.0,1244,5166.0864,19,622592,4534.9501953125,26110.376777648926,0.2810791015625,0.025071183,800,0.3072207570075989,-4.220099081844092,0.2,0.6954371929168701,0.010939999707989045,0.001
500,301.0,1309,5098.3633,20,655360,10300.3466796875,29958.06449508667,0.270501708984375,0.024632853,810,0.3387482166290283,-4.214318008720875,0.2,0.6933174133300781,0.009889412702796108,0.001
500,301.0,1375,5280.973,21,688128,4206.40771484375,27733.997372436523,0.2597869873046875,0.023661137,820,0.31487298011779785,-4.201908448338509,0.2,0.6910719275474548,0.010363393547686428,0.001
500,301.0,1441,5005.9795,22,720896,5389.00390625,27880.722887420656,0.25755615234375,0.023880921,830,0.31165623664855957,-4.189840018004179,0.2,0.6892634630203247,0.01219373045496468,0.001
500,301.0,1507,5148.4756,23,753664,5565.48486328125,28887.812563323976,0.274945068359375,0.024455454,840,0.35729628801345825,-4.179610089212656,0.2,0.6874535083770752,0.012064833349177207,0.001
500,301.0,1572,5129.672,24,786432,6762.5107421875,30407.07200241089,0.28187255859375,0.026655525,850,0.2923508286476135,-4.170672058314085,0.2,0.6861107349395752,0.01360588109891978,0.001
499,301.0,1638,5142.372,25,819200,6270.51220703125,30441.501413726808,0.2659881591796875,0.025200475,860,0.335371732711792,-4.160263226926327,0.2,0.6839227080345154,0.012876107328520448,0.001
499,301.0,1704,5348.3794,26,851968,5228.3544921875,29464.349095153808,0.281402587890625,0.026591752,870,0.33828866481781006,-4.151756193488836,0.2,0.6830888986587524,0.010955852903316554,0.001
499,301.0,1770,5217.6626,27,884736,6264.30712890625,30785.411304473877,0.26591796875,0.024265017,880,0.3901275396347046,-4.143367569893599,0.2,0.6811971664428711,0.009740250147115149,0.001
499,301.0,1836,5386.502,28,917504,6595.9970703125,28657.876811218262,0.2610321044921875,0.024640784,890,0.3967059850692749,-4.132373010367155,0.2,0.6792525053024292,0.010946934658204555,0.001
499,301.0,1902,5572.4346,29,950272,4819.46484375,31730.598092651366,0.2894683837890625,0.027167376,900,0.384160578250885,-4.122033463418484,0.2,0.6775799989700317,0.01237644502089097,0.001
499,301.0,1967,5820.958,30,983040,5775.89306640625,33172.90816345215,0.287890625,0.027746877,910,0.39141571521759033,-4.1156710356473925,0.2,0.6771659851074219,0.011679757682213677,0.001
499,301.0,2033,5711.287,31,1015808,5589.49267578125,32536.693684387206,0.2687774658203125,0.024705403,920,0.37296271324157715,-4.107347390055656,0.2,0.6745353937149048,0.00973970448358159,0.001
