time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/std,train/n_updates
61,-227.52313,32768,301.0,535,1,,,,,,,,,,,
127,-150.46051,65536,301.0,512,2,0.12607421875,89.48220638036727,0.2,0.001,-0.011905710765313415,0.008332562,38.5285530090332,-5.6592994011938575,-0.00010371208190917969,0.9954565763473511,10
193,-8.875378,98304,301.0,508,3,0.1236572265625,100.582448554039,0.2,0.001,-0.015685905967620782,0.009402651,47.26893615722656,-5.652411110699177,0.251274049282074,0.9927531480789185,20
259,135.13214,131072,301.0,505,4,0.158148193359375,134.71613355875016,0.2,0.001,-0.01858342176219594,0.010642806,70.67633819580078,-5.639634378999472,0.3598642945289612,0.9899040460586548,30
323,188.05,163840,301.0,505,5,0.121466064453125,1793.6048602104188,0.2,0.001,-0.007067913928949565,0.010395452,518.7579956054688,-5.632376208901405,0.07859969139099121,0.9885871410369873,40
388,86.62915,196608,301.0,506,6,0.0801666259765625,3336.110261487961,0.2,0.001,-0.00407603383591777,0.007824244,1502.468505859375,-5.628030390292406,0.05321699380874634,0.9879941344261169,50
453,53.264496,229376,301.0,505,7,0.0893280029296875,1103.7580795049666,0.2,0.001,-0.0066858619093181915,0.0069392566,157.91159057617188,-5.615834761410952,0.07710838317871094,0.983627438545227,60
519,13.252683,262144,301.0,504,8,0.058880615234375,846.5231343984603,0.2,0.001,-0.004509520293504465,0.0057372646,125.73746490478516,-5.593182422965765,-0.0028302669525146484,0.9764859676361084,70
585,-5.6966863,294912,301.0,503,9,0.0344879150390625,851.7179582834244,0.2,0.001,-0.002824642943414801,0.003238575,871.990478515625,-5.571739124506712,0.25274819135665894,0.9725856184959412,80
651,-41.57171,327680,301.0,503,10,0.0300140380859375,847.7261504173279,0.2,0.001,-0.0024817894802254157,0.0037770937,141.99777221679688,-5.556155114620924,0.47435444593429565,0.9687028527259827,90
717,-9.753243,360448,301.0,502,11,0.027978515625,329.5726021051407,0.2,0.001,-0.0031835148171012405,0.0051054824,133.29103088378906,-5.541810424625874,0.762443795800209,0.9649238586425781,100
782,58.808926,393216,301.0,502,12,0.0442535400390625,328.0181586265564,0.2,0.001,-0.004246443338888639,0.005239838,177.8592987060547,-5.522350116819143,0.8405257612466812,0.9610471129417419,110
847,102.36188,425984,301.0,502,13,0.0353118896484375,1166.3892718315124,0.2,0.001,-0.0017541668512421893,0.004051868,1138.181884765625,-5.508577606081962,0.668695718050003,0.9575257897377014,120
