Episode,Reward
1,-13998.502
2,-3907.5781
3,-6934.818
4,-17042.938
5,-2880.1953
6,-12989.428
7,-708.2059
8,-692.7873
9,-19080.215
10,-654.3073
11,-10976.737
12,-891.9636
13,-2851.52
14,-8951.46
15,-9067.793
16,-3908.3044
17,-15012.061
18,-3934.1094
19,-6923.77
20,-696.34375
21,-700.1953
22,-18056.963
23,-2881.1648
24,-20091.146
25,-10977.571
26,-892.0007
27,-13996.81
28,-676.51154
29,-1824.7148
30,-8031.2236
31,-3933.7942
32,-8936.386
33,-14001.47
34,-4940.182
35,-6913.443
36,-715.94165
37,-17048.89
38,-713.16003
39,-2881.3123
40,-21110.559
41,-667.9844
42,-10993.543
43,-1892.0579
44,-13998.956
45,-8018.7393
46,-2845.012
47,-7930.4663
48,-4937.502
49,-14012.389
50,-17044.777
51,-3936.455
52,-6923.5444
53,-731.0103
54,-1875.5895
55,-20100.174
56,-663.1951
57,-10976.265
58,-889.50934
59,-708.9375
60,-1825.9009
61,-7937.1885
62,-13998.512
63,-9037.788
64,-3932.2974
65,-14006.279
66,-18055.916
67,-9977.497
68,-4933.9946
69,-6923.0205
70,-732.5322
71,-698.3787
72,-2888.9092
73,-21103.262
74,-676.0072
75,-1836.2869
76,-1885.2732
77,-12998.127
78,-8030.273
79,-3930.9358
80,-8938.408
81,-14011.493
82,-16047.319
83,-6910.922
84,-707.7723
85,-1870.2877
86,-20101.217
87,-10987.47
88,-3932.4194
89,-881.90875
90,-12986.945
91,-707.9845
92,-676.4613
93,-3934.0535
94,-2841.943
95,-7934.113
96,-9041.421
97,-14005.089
98,-2862.972
99,-20101.262
100,-8030.6025
