rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/loss,train/approx_kl,train/std,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/value_loss
-211.16486,32768,301.0,58,559,1,,,,,,,,,,,
-145.06593,65536,301.0,177,370,2,39.92154312133789,0.009269566,0.9879612922668457,0.001,-0.011365590428022187,-0.0010075569152832031,0.14974365234375,10,0.2,-5.641963390540331,76.99691027663648
17.751703,98304,301.0,299,328,3,34.1717414855957,0.010847393,0.9777624607086182,0.001,-0.017454479135130894,0.31352633237838745,0.15537109375,20,0.2,-5.597734643425793,99.69580783173441
119.03946,131072,301.0,421,311,4,2778.546142578125,0.012014918,0.9708561301231384,0.001,-0.01627979269374009,0.17390412092208862,0.1795684814453125,30,0.2,-5.546737372130155,652.623555907607
187.84848,163840,301.0,542,301,5,139.4817352294922,0.010652008,0.9624603390693665,0.001,-0.011517075331585146,0.16141259670257568,0.1532867431640625,40,0.2,-5.515988442022353,1823.631059807539
90.144005,196608,301.0,665,295,6,1065.3485107421875,0.009228703,0.9480798840522766,0.001,-0.007180510022203634,0.07070177793502808,0.1250152587890625,50,0.2,-5.486816108040512,3106.838031086326
39.47083,229376,301.0,786,291,7,3050.59814453125,0.008948244,0.9333515167236328,0.001,-0.007929361860260543,0.06820452213287354,0.13326416015625,60,0.2,-5.420674602221697,1379.185928723216
64.00699,262144,301.0,907,288,8,1652.501708984375,0.0063337362,0.9336903691291809,0.001,-0.002609483809555968,-0.015203475952148438,0.0811614990234375,70,0.2,-5.395131369866431,1069.8145898371936
21.944843,294912,301.0,1028,286,9,142.851806640625,0.0071235034,0.9283327460289001,0.001,-0.004400163514469568,0.15247690677642822,0.07520751953125,80,0.2,-5.359540570620448,1264.2191844776273
-7.443992,327680,301.0,1150,284,10,105.69342803955078,0.006620477,0.9187335968017578,0.001,-0.004590704822931002,0.3686777949333191,0.0799652099609375,90,0.2,-5.325179667863995,1063.486647759378
27.96577,360448,301.0,1272,283,11,91.54423522949219,0.006352945,0.9151092767715454,0.001,-0.004853610208056125,0.7737180888652802,0.0787017822265625,100,0.2,-5.303391381073743,250.3691726192832
