Episode,Reward
1,-20.451662
2,-368.9404
3,1212.8235
4,987.9335
5,-710.8209
6,412.21066
7,-47.516903
8,872.9141
9,81.87814
10,-163.88857
11,12.239182
12,-373.77255
13,8.86391
14,193.517
15,-14.829606
16,-1057.4885
17,225.33678
18,-139.82469
19,-52.4523
20,-162.79317
21,-37.600723
22,109.62692
23,563.1067
24,5.222789
25,81.562904
26,-20.697073
27,16.230978
28,21.8422
29,91.951004
30,-143.35333
31,-60.418003
32,532.5463
33,247.95004
34,-112.68103
35,612.7578
36,79.95506
37,112.056885
38,108.9631
39,56.380756
40,96.609245
41,-81.97781
42,-31.810385
43,-103.35913
44,32.17782
45,-57.76066
46,-160.0661
47,-68.96862
48,114.4069
49,-73.99254
50,94.15493
51,-31.060549
52,100.04175
53,-124.61699
54,1230.4087
55,-140.43375
56,-36.188873
57,9.654784
58,-19.291586
59,63.991493
60,908.9983
61,-40.831223
62,-2.3347518
63,38.185463
64,129.34045
65,14.755244
66,119.50123
67,-407.3352
68,-9.731355
69,101.56357
70,624.88055
71,-99.05534
72,75.421074
73,994.2469
74,1105.7747
75,24.715391
76,318.5481
77,34.109024
78,38.70356
79,716.08295
80,1324.9291
81,-229.19438
82,155.55649
83,190.32922
84,-36.295177
85,-280.98248
86,33.693203
87,-128.69089
88,112.287094
89,157.49892
90,974.06384
91,-15.289226
92,-492.0443
93,681.2671
94,-176.06712
95,159.66547
96,51.63042
97,93.370636
98,42.208843
99,246.18254
100,72.99588
