time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range
32768,62,520,-223.96895,301.0,1,,,,,,,,,,,
65536,130,502,-485.87003,301.0,2,225.07451,10,1.0590770244598389,-5.900808919221163,0.01,47.55436706542969,91.23408288955689,0.31959998649253973,0.0006080865859985352,0.99822998046875,0.2
98304,199,492,-496.7674,301.0,3,1642.5933,20,1.0175230503082275,-5.7419480919837955,0.01,23.395736694335938,42.41418174505234,0.2318170243728673,1.1920928955078125e-07,0.995526123046875,0.2
131072,269,487,-496.08957,301.0,4,2932.9631,30,1.136879324913025,-6.014833617955446,0.01,36.96517562866211,85.37527054548264,0.22583519510517364,-1.1920928955078125e-07,0.9960479736328125,0.2
163840,339,482,-496.76614,301.0,5,1670.2556,40,1.015199899673462,-5.70602707490325,0.01,65.59461212158203,135.45071678161622,0.22386095040419604,0.0,0.9964019775390625,0.2
196608,408,481,-496.82983,301.0,6,6049.916,50,1.040825366973877,-5.741768199205398,0.01,59.794410705566406,184.50393277406693,0.22322635155869647,0.0,0.997039794921875,0.2
229376,478,479,-496.90857,301.0,7,2450.4116,60,1.2327547073364258,-6.327329195290804,0.01,72.9432601928711,201.1520811676979,0.21048672887773137,0.0,0.9960662841796875,0.2
262144,549,477,-496.8217,301.0,8,438.6602,70,1.4516147375106812,-7.018130299448967,0.01,154.99952697753906,272.89851274490354,0.222545645487844,0.0,0.9977081298828125,0.2
294912,618,476,-496.3887,301.0,9,2016.3928,80,1.7168625593185425,-7.576417401432991,0.01,112.634521484375,300.6353703975677,0.2216559179010801,0.0,0.9979034423828125,0.2
327680,688,475,-496.24033,301.0,10,612.2981,90,1.9743831157684326,-8.179170110076665,0.01,120.84577178955078,334.05357637405393,0.22193298517813673,0.0,0.9982635498046875,0.2
360448,760,474,-496.66956,301.0,11,529.5869,100,2.4520342350006104,-9.023675103485584,0.01,203.76637268066406,360.1177049398422,0.2217388410688727,0.0,0.9982513427734375,0.2
