Episode,Reward
1,552.7646
2,-31.393011
3,917.8104
4,1336.5347
5,636.7358
6,1088.1187
7,887.95984
8,710.6257
9,1882.6292
10,2290.8057
11,328.45132
12,242.071
13,1257.7396
14,1148.7548
15,1536.8673
16,-4.6319036
17,548.4958
18,45.653145
19,1005.1101
20,300.9948
21,1337.6075
22,710.9978
23,1153.938
24,632.327
25,809.68274
26,958.4115
27,329.46118
28,218.75311
29,1904.5288
30,100.49337
31,195.82031
32,-19.786335
33,569.6186
34,-77.474625
35,919.22186
36,272.8473
37,-10.653061
38,960.37744
39,1012.15985
40,672.0713
41,825.2546
42,1303.7411
43,279.5641
44,296.50998
45,1695.1783
46,-74.9913
47,66.65928
48,-58.1829
49,611.96405
50,77.55107
51,730.38995
52,275.2963
53,-15.298616
54,719.921
55,853.84125
56,666.3409
57,770.7108
58,941.1704
59,441.5993
60,309.22845
61,695.3662
62,-12.116305
63,292.90527
64,13.273306
65,588.8907
66,116.45705
67,639.2744
68,337.72162
69,41.356903
70,868.86957
71,1009.47943
72,576.69196
73,836.98505
74,1068.8817
75,318.5492
76,261.26013
77,629.7146
78,26.991072
79,284.33795
80,-125.67795
81,552.3789
82,-139.22084
83,1135.1987
84,324.68698
85,116.763336
86,735.68475
87,1102.6947
88,576.89215
89,832.5735
90,1352.912
91,190.58394
92,173.72107
93,607.2954
94,-104.89152
95,84.708565
96,-127.13585
97,464.9192
98,-94.616554
99,190.87593
100,-49.81861
