time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/std,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
32768,57,301.0,1,573,-225.06683,,,,,,,,,,,,,
65536,127,301.0,2,512,-140.1633,0.008062426,101.35541141033173,-0.007966387445139844,0.001,0.2,0.159002685546875,0.9978103041648865,45.34120559692383,10,-0.00019812583923339844,-5.670330147072673,,
98304,200,301.0,3,489,-18.587008,0.009997403,89.21877248585224,-0.01664811404698412,0.001,0.2,0.143634033203125,0.991924524307251,45.59978485107422,20,0.18035531044006348,-5.652633725479245,,
131072,274,301.0,4,478,127.21074,0.011200229,114.89464398026466,-0.018790779496157484,0.001,0.2,0.1660369873046875,0.9829674959182739,54.61592483520508,30,0.35759538412094116,-5.624546488374472,,
163840,347,301.0,5,471,139.31754,0.009363866,2096.097454750538,-0.007530564887838409,0.001,0.2,0.120361328125,0.9805121421813965,804.5558471679688,40,0.07857769727706909,-5.602071204781533,,
196608,420,301.0,6,467,47.580322,0.006977018,3249.794092607498,-0.004677989354695456,0.001,0.2,0.0985260009765625,0.9767162203788757,3090.309326171875,50,0.0313572883605957,-5.587472249567509,,
229376,493,301.0,7,464,37.081833,0.008641431,807.5485393762589,-0.005946320644306979,0.001,0.2,0.123162841796875,0.9682154655456543,350.00189208984375,60,0.026314854621887207,-5.551478528603911,,
262144,567,301.0,8,462,-48.157154,0.0062101367,1421.6755471467973,-0.0031772074702985263,0.001,0.2,0.0624359130859375,0.9603564739227295,110.50677490234375,70,0.028445661067962646,-5.525005311146378,,
294912,640,301.0,9,460,-64.55073,0.004309208,582.4312696933746,-0.002561511410431194,0.001,0.2,0.0326812744140625,0.9567989110946655,481.5213928222656,80,0.41463959217071533,-5.506554354727268,,
327680,713,301.0,10,459,-52.23218,0.0040385975,339.32719897031785,-0.0015247331251885044,0.001,0.2,0.0192779541015625,0.9552745223045349,182.75222778320312,90,0.7506337016820908,-5.494016336649656,,
360448,786,301.0,11,458,-11.261357,0.0040560644,1235.744194984436,-0.0005671982810781628,0.001,0.2,0.0221343994140625,0.9513199329376221,169.6027069091797,100,0.6066615581512451,-5.479196842014789,,
393216,860,301.0,12,457,-75.02554,0.0041131787,1295.1751729488374,-0.0007238808743750269,0.001,0.2,0.02705078125,0.945167064666748,276.0467529296875,110,0.6706162393093109,-5.453362122178078,,
425984,933,301.0,13,456,-63.33421,0.0047981604,1032.2087641000749,-0.001850088054243315,0.001,0.2,0.0498748779296875,0.9393594264984131,288.64794921875,120,0.7268724739551544,-5.444398627802729,,
458752,1007,301.0,14,455,-24.531784,0.0070830435,1073.6235241889954,-0.0010270340750139439,0.001,0.2,0.053045654296875,0.9343955516815186,207.73171997070312,130,0.7621195912361145,-5.41266199760139,,
491520,1080,301.0,15,454,107.68269,0.005455915,777.6960190296173,-0.002326088193694886,0.001,0.2,0.0538604736328125,0.9380621910095215,231.55718994140625,140,0.8215756714344025,-5.407887509465217,,
524288,1154,301.0,16,454,138.29868,0.0052842144,1329.2820638895034,-0.0010539505234191892,0.001,0.2,0.0653076171875,0.9335167407989502,237.92581176757812,150,0.6223319470882416,-5.403770007565617,,
557056,1227,301.0,17,453,123.33874,0.0057283193,1772.101340985298,-0.001672351116212667,0.001,0.2,0.0649078369140625,0.9299341440200806,250.54920959472656,160,0.5012079477310181,-5.399052298814058,,
589824,1302,301.0,18,452,104.12637,0.0059180595,1238.569090151787,-0.0015475582325507275,0.001,0.2,0.060369873046875,0.9230292439460754,229.72659301757812,170,0.49266618490219116,-5.362961316108704,,
622592,1376,301.0,19,452,120.170074,0.010288538,963.33412566185,-0.002167758816267451,0.001,0.2,0.0769989013671875,0.9171421527862549,172.5970458984375,180,0.5826572477817535,-5.33603408895433,,
655360,1449,301.0,20,451,145.59119,0.0071584973,348.6817299246788,-0.0019524848574292264,0.001,0.2,0.089599609375,0.910882830619812,161.84078979492188,190,0.7701447904109955,-5.315195414051414,,
688128,1523,301.0,21,451,198.3484,0.007400998,327.6842829823494,-0.0023881474873633122,0.001,0.2,0.0853424072265625,0.8988220691680908,148.6787567138672,200,0.7549009025096893,-5.258080277219415,,
720896,1596,301.0,22,451,225.90369,0.011062933,1501.5293751239776,0.001676953320929897,0.001,0.2,0.1359100341796875,0.8887878656387329,236.0352325439453,210,0.3828778862953186,-5.209982718527317,,
753664,1670,301.0,23,451,195.56764,0.014019897,1714.9907141804695,0.00040792177283037744,0.001,0.2,0.1529571533203125,0.8734126091003418,2549.89990234375,220,0.33411043882369995,-5.146936431154609,,
786432,1743,301.0,24,451,285.1408,0.012209531,920.3025562286377,0.0019846060646159457,0.001,0.2,0.17076416015625,0.872762143611908,137.2132110595703,230,0.4725227952003479,-5.121249737590551,,
819200,1817,301.0,25,450,298.85782,0.016870385,2092.227418875694,0.0038186219250746943,0.001,0.2,0.1898345947265625,0.8674781918525696,1800.1890869140625,240,0.2451285719871521,-5.1017208963632585,,
851968,1890,301.0,26,450,313.92816,0.014058759,1197.2212519288064,0.0027077492905846156,0.001,0.2,0.1724853515625,0.8622403144836426,226.30844116210938,250,0.2269102931022644,-5.077741975709796,,
884736,1963,301.0,27,450,254.62283,0.013593642,1549.76200838089,0.004282739680820669,0.001,0.2,0.159552001953125,0.8609580993652344,210.69740295410156,260,0.20273220539093018,-5.058264730870723,,
917504,2037,301.0,28,450,309.5467,0.0378197,919.6068153500557,0.003079994388099294,0.001,0.2,0.1613861083984375,0.850101888179779,143.06944274902344,270,0.31768888235092163,-5.022801702469588,,
950272,2110,301.0,29,450,279.12466,0.018632699,1811.783424425125,0.003761774848680943,0.001,0.2,0.174224853515625,0.8469604849815369,2248.51904296875,280,0.211686909198761,-4.994362954422831,,
983040,2184,301.0,30,449,264.6895,0.013481454,964.9049976348876,0.0030988880806035015,0.001,0.2,0.160479736328125,0.8347913026809692,152.27098083496094,290,0.3734562397003174,-4.9563454639166595,,
1015808,2258,301.0,31,449,254.16321,0.01387931,674.4362902879715,0.005038120551853353,0.001,0.2,0.175054931640625,0.8278296589851379,218.8730010986328,300,0.5040547847747803,-4.914546860381961,,
1048576,2331,301.0,32,449,345.4716,0.015240143,700.4336844682693,0.00154904721953244,0.001,0.2,0.1700408935546875,0.8186167478561401,186.36416625976562,310,0.5181843340396881,-4.864117496460676,,
