time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/std,eval/mean_reward,eval/mean_ep_length
59,1,32768,301.0,-213.56264,548,,,,,,,,,,,,,
133,2,65536,301.0,-146.02695,491,-0.009204762173612834,0.0004604458808898926,0.008586209,0.2,-5.655277359485626,98.60815147161483,0.1679290771484375,10,39.904441833496094,0.001,0.9929318428039551,,
210,3,98304,301.0,-11.37963,467,-0.01569554650304781,0.16711604595184326,0.008718984,0.2,-5.639846776798367,102.62239516377448,0.131207275390625,20,52.893131256103516,0.001,0.9896364212036133,,
286,4,131072,301.0,135.63068,457,-0.019381193872595757,0.4078103303909302,0.010975314,0.2,-5.619606120884418,122.20887631177902,0.173577880859375,30,56.47927474975586,0.001,0.9833955764770508,,
363,5,163840,301.0,187.82574,451,-0.012356738170092285,0.15511447191238403,0.011582419,0.2,-5.593779938295484,963.6707738041878,0.149908447265625,40,87.27021789550781,0.001,0.9765341281890869,,
438,6,196608,301.0,119.672646,448,-0.005469323216493649,0.054229557514190674,0.00904501,0.2,-5.558022509142757,2664.5480029702185,0.106939697265625,50,1112.598876953125,0.001,0.9670489430427551,,
513,7,229376,301.0,97.34259,446,-0.003284184828225989,0.058335304260253906,0.005189109,0.2,-5.522595223039389,2227.6934519171714,0.0579071044921875,60,137.6854248046875,0.001,0.9589428901672363,,
591,8,262144,301.0,42.174305,442,-0.0029930423256701033,0.15800905227661133,0.006670999,0.2,-5.503069526702165,1981.3132130622864,0.0706878662109375,70,160.9540252685547,0.001,0.9572466611862183,,
667,9,294912,301.0,21.512651,441,-0.004797702909672808,0.452380895614624,0.008796489,0.2,-5.47599329315126,821.7464772939682,0.086663818359375,80,530.7702026367188,0.001,0.9504662156105042,,
743,10,327680,301.0,71.90044,440,-0.003758066461159615,0.6374064087867737,0.009692041,0.2,-5.432140551880002,527.9510924339295,0.10003662109375,90,148.07449340820312,0.001,0.9414603114128113,,
818,11,360448,301.0,111.8132,440,-0.002897743924313545,0.5048477947711945,0.008487483,0.2,-5.386484253033996,1080.643113899231,0.1179229736328125,100,2073.821533203125,0.001,0.9328595995903015,,
894,12,393216,301.0,81.59339,439,-0.002552252354053053,0.4769858121871948,0.007623246,0.2,-5.381079499796033,1631.721826672554,0.1108612060546875,110,1131.6783447265625,0.001,0.9310110807418823,,
970,13,425984,301.0,89.27695,439,-0.0017533872931380756,0.7154603600502014,0.007307061,0.2,-5.364627468585968,538.5016739845275,0.1110809326171875,120,131.87722778320312,0.001,0.927000105381012,,
1045,14,458752,301.0,118.96666,438,-0.0008177228120985092,0.6144432127475739,0.006834575,0.2,-5.353347538039088,811.2540249824524,0.10751953125,130,392.5107727050781,0.001,0.9246932864189148,,
1121,15,491520,301.0,144.3788,438,-0.0021211772229889903,0.6710696220397949,0.007915711,0.2,-5.322126115486026,542.7719669699669,0.1038909912109375,140,116.95213317871094,0.001,0.9157388806343079,,
1197,16,524288,301.0,230.32231,437,0.0021970799572045507,0.5074671506881714,0.009126736,0.2,-5.3010262928903105,782.5866525769234,0.1237091064453125,150,132.3854522705078,0.001,0.9082555770874023,,
1273,17,557056,301.0,196.38852,437,0.0011662546332445345,0.3743358850479126,0.012323748,0.2,-5.2681973475962875,1398.0423785448074,0.1369354248046875,160,1981.7593994140625,0.001,0.9026188254356384,,
1348,18,589824,301.0,224.71686,437,0.0015605759661411866,0.35703331232070923,0.01123409,0.2,-5.231903789564967,1401.81460852623,0.15345458984375,170,501.5381164550781,0.001,0.8974182605743408,,
1424,19,622592,301.0,213.35684,437,0.003203541855691583,0.37619632482528687,0.010553127,0.2,-5.21616495847702,1094.9271600604056,0.1381622314453125,180,376.7412109375,0.001,0.8954859375953674,,
1500,20,655360,301.0,225.8105,436,0.000475624020145915,0.42406165599823,0.009494858,0.2,-5.195646326243877,833.9043404698372,0.133935546875,190,110.47425842285156,0.001,0.8891485333442688,,
1575,21,688128,301.0,178.46423,436,0.003159428633534844,0.3525969982147217,0.010790258,0.2,-5.189918504282832,865.0101359248162,0.1335174560546875,200,141.30117797851562,0.001,0.8829576969146729,,
1651,22,720896,301.0,256.68945,436,0.00017998607327172068,0.597291111946106,0.01028704,0.2,-5.128638734295964,259.1738668322563,0.1499114990234375,210,134.1252899169922,0.001,0.8730453252792358,,
1727,23,753664,301.0,248.47154,436,0.0015012825365374738,0.2500472068786621,0.011259004,0.2,-5.099080025777221,1482.1497165679932,0.13270263671875,220,951.2492065429688,0.001,0.874779999256134,,
1802,24,786432,301.0,319.5701,436,0.005012048818753101,0.34967440366744995,0.010230005,0.2,-5.097414111346007,895.7179661154747,0.1720703125,230,734.8092651367188,0.001,0.8666156530380249,,
1878,25,819200,301.0,268.70663,436,0.004038657623823383,0.10965251922607422,0.020300798,0.2,-5.061226139590144,3521.425705122948,0.20947265625,240,259.6243591308594,0.001,0.8600085377693176,,
1954,26,851968,301.0,263.6394,435,0.0030737504813259874,0.5070991814136505,0.010011334,0.2,-5.012141853198409,613.0644295334816,0.170269775390625,250,136.57948303222656,0.001,0.8517372012138367,,
2032,27,884736,301.0,272.07626,435,0.001811661942701903,0.4652870297431946,0.009475499,0.2,-4.9940013535320755,593.1719016432762,0.13170166015625,260,150.1417999267578,0.001,0.8478178977966309,,
2109,28,917504,301.0,372.23035,434,-0.00014786464380449614,0.6431475579738617,0.011997445,0.2,-4.96193230561912,316.17641055583954,0.1216033935546875,270,159.5811004638672,0.001,0.8431851863861084,,
2186,29,950272,301.0,340.56937,434,0.0025430096000491178,0.22628659009933472,0.015361079,0.2,-4.941707418486476,1793.1493390321732,0.165802001953125,280,345.87554931640625,0.001,0.8356574773788452,,
2262,30,983040,301.0,292.22424,434,0.002364455973111035,0.22639697790145874,0.010736547,0.2,-4.882800506427884,1871.6350771188736,0.149322509765625,290,318.8294372558594,0.001,0.8238738775253296,,
2338,31,1015808,301.0,373.00375,434,0.0004309783747885376,0.4199512004852295,0.009862926,0.2,-4.832274179533124,954.6030906677246,0.1420867919921875,300,228.33306884765625,0.001,0.8157404661178589,,
2414,32,1048576,301.0,416.2447,434,0.0021271581663313555,0.43479979038238525,0.0074158544,0.2,-4.789994329586625,689.5804469347,0.118133544921875,310,219.91632080078125,0.001,0.8061977028846741,,
2490,33,1081344,301.0,346.03064,434,0.004076598561005085,0.23739922046661377,0.017467966,0.2,-4.744565266370773,1933.42244887352,0.1629730224609375,320,239.62954711914062,0.001,0.7986053228378296,,
2566,34,1114112,301.0,361.8263,434,0.0035220082591877143,0.37857943773269653,0.01494151,0.2,-4.730574458837509,1353.2341426610947,0.17100830078125,330,238.4001922607422,0.001,0.7997092008590698,,
2642,35,1146880,301.0,345.46194,433,0.000635004664218286,0.3808196783065796,0.013158405,0.2,-4.7171960555017,1617.7747032403945,0.1573394775390625,340,1544.501953125,0.001,0.7922894358634949,,
2718,36,1179648,301.0,404.97812,433,0.0007248740890645422,0.274397075176239,0.009790974,0.2,-4.693140919134021,1915.5312554121017,0.12996826171875,350,618.2107543945312,0.001,0.789636492729187,,
2795,37,1212416,301.0,416.81543,433,0.0017298964575275023,0.27787768840789795,0.013086382,0.2,-4.666716677322984,1867.6692977428436,0.1579254150390625,360,582.4964599609375,0.001,0.7858424186706543,,
2871,38,1245184,301.0,577.2912,433,0.002170652156473807,0.3151109218597412,0.021058936,0.2,-4.630892997607589,1486.3054504871368,0.176202392578125,370,1700.3448486328125,0.001,0.7799588441848755,,
2947,39,1277952,301.0,506.25766,433,0.004833447627970599,0.16926264762878418,0.025777759,0.2,-4.601652927324176,4817.982325029373,0.1911407470703125,380,5122.99072265625,0.001,0.7741038203239441,,
3023,40,1310720,301.0,514.81665,433,0.006054125452374137,0.1567954421043396,0.016580196,0.2,-4.565303806588053,2769.5043200969694,0.210968017578125,390,3186.278564453125,0.001,0.7690785527229309,,
3100,41,1343488,301.0,401.53796,433,0.00614509685565281,0.21819472312927246,0.02417975,0.2,-4.556055549904704,2502.6354607343674,0.1866180419921875,400,338.4977722167969,0.001,0.7680089473724365,,
3176,42,1376256,301.0,530.07623,433,0.002461066513751575,0.39946722984313965,0.013566653,0.2,-4.529309364035726,878.6865943670273,0.15047607421875,410,300.10137939453125,0.001,0.7613060474395752,,
3252,43,1409024,301.0,540.86615,433,0.004474530831521406,0.15417766571044922,0.014716722,0.2,-4.479198689386249,3284.3760467290876,0.1734039306640625,420,1431.2508544921875,0.001,0.7524864673614502,,
3329,44,1441792,301.0,527.4349,433,0.0034442904106072093,0.15933120250701904,0.009009857,0.2,-4.44140730984509,2932.644104719162,0.16124267578125,430,738.9215698242188,0.001,0.7444575428962708,,
3405,45,1474560,301.0,519.16724,432,0.003019259861230239,0.21217620372772217,0.014707706,0.2,-4.418479735031724,3799.7940861701964,0.1995880126953125,440,1397.7276611328125,0.001,0.7409605979919434,,
3481,46,1507328,301.0,574.9305,432,0.002748382893969392,0.21841591596603394,0.015800964,0.2,-4.388450851291418,3825.0098275661467,0.1912628173828125,450,1695.658447265625,0.001,0.7356216311454773,,
3558,47,1540096,301.0,604.0253,432,0.003107651752179663,0.1966785192489624,0.02149523,0.2,-4.353399735689163,3151.8704857826233,0.187310791015625,460,1667.984375,0.001,0.7281262874603271,,
3635,48,1572864,301.0,546.553,432,0.005332632030103923,0.14056998491287231,0.018899627,0.2,-4.328333573788404,4880.605837535858,0.175244140625,470,1374.87841796875,0.001,0.7273578643798828,,
,,1600000,,,,0.003962818957006675,0.14807051420211792,0.010926503,0.2,-4.310629143193364,4153.177743864059,0.186004638671875,480,1511.89453125,0.001,0.7233278751373291,1104.0858154296875,301.0
3764,49,1605632,301.0,601.3338,426,,,,,,,,,,,,,
