Episode,Reward
1,202.59015
2,467.7954
3,-120.57442
4,550.99493
5,605.1997
6,590.6627
7,153.6596
8,236.63353
9,-220.48549
10,707.2383
11,203.35742
12,131.92491
13,465.70468
14,-303.36618
15,402.00833
16,-251.09341
17,332.2478
18,448.4535
19,62.93985
20,482.30472
21,614.7277
22,771.7433
23,567.40765
24,251.79486
25,-30.109678
26,721.0051
27,271.8587
28,112.793594
29,688.8442
30,-74.86632
31,283.7161
32,-405.3629
33,122.64973
34,294.0865
35,37.995483
36,499.12366
37,503.57318
38,852.77484
39,574.00525
40,370.4197
41,-62.26237
42,824.4564
43,137.34282
44,100.51038
45,144.5055
46,-271.61365
47,82.39761
48,-134.93343
49,75.13427
50,509.60312
51,-2.5093749
52,405.70526
53,610.9107
54,457.92886
55,137.55414
56,281.36856
57,42.062977
58,830.39417
59,293.1352
60,46.359627
61,556.16077
62,-319.29163
63,391.49344
64,-200.1852
65,38.561943
66,309.97107
67,-55.757545
68,588.8889
69,625.17316
70,583.6748
71,551.24426
72,195.88457
73,16.16514
74,767.0395
75,411.01352
76,156.62619
77,19.731806
78,-137.85223
79,187.91711
80,-472.33423
81,75.94429
82,417.7038
83,-28.179836
84,531.776
85,443.4489
86,1315.4346
87,538.59955
88,396.7039
89,-33.759373
90,715.3212
91,47.452724
92,149.43324
93,429.86673
94,-378.70126
95,124.61898
96,-216.07103
97,361.74747
98,-131.4771
99,353.00504
100,-399.44714
