Episode,Reward
1,-339.19696
2,-2608.1265
3,-5739.092
4,-13792.917
5,-13725.079
6,-519.3752
7,-3574.6838
8,-332.62625
9,-13766.63
10,-11698.838
11,-12756.492
12,-2546.0774
13,-4624.567
14,-5624.553
15,-264.2371
16,-7639.716
17,-357.69485
18,-2628.2683
19,-6761.984
20,-12757.845
21,-14737.091
22,-485.7928
23,-3596.0425
24,-339.34683
25,-13776.61
26,-10698.711
27,-12783.151
28,-1540.9364
29,-4646.531
30,-6635.4805
31,-260.02054
32,-7630.864
33,-357.9882
34,-2618.2256
35,-6762.6357
36,-12759.501
37,-14737.166
38,-486.06482
39,-4597.1123
40,-341.1033
41,-12765.088
42,-11699.471
43,-12783.636
44,-1541.5735
45,-4660.0386
46,-6635.484
47,-251.02048
48,-6631.3135
49,-356.6614
50,-2629.6577
51,-6760.7603
52,-12758.641
53,-13736.33
54,-485.18555
55,-3595.2073
56,-338.34964
57,-12774.108
58,-13776.188
59,-11712.334
60,-1540.97
61,-4659.2915
62,-6635.549
63,-260.21063
64,-7632.442
65,-360.04056
66,-2617.601
67,-6761.2637
68,-13774.255
69,-14736.121
70,-485.72003
71,-3595.9053
72,-340.88202
73,-12782.429
74,-12775.697
75,-11697.264
76,-1539.0979
77,-5661.059
78,-6633.7095
79,-253.0226
80,-6632.98
81,-360.14706
82,-2628.3743
83,-6760.339
84,-13762.13
85,-13735.409
86,-485.15088
87,-4596.2935
88,-338.1778
89,-12783.393
90,-13766.162
91,-11698.82
92,-1542.5371
93,-4648.827
94,-6635.085
95,-249.6103
96,-6630.836
97,-5758.147
98,-13776.239
99,-4649.3735
100,-249.85255
