time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
57,-237.78023,565,301.0,32768,1,,,,,,,,,,,,,
142,-121.947556,459,301.0,65536,2,0.0001,85.11828654855489,10,-5.668304718472063,29.908002853393555,-0.0003483295440673828,0.008934485,0.123260498046875,0.2,-0.01298845044839254,0.9979949593544006,,
228,-2.3132718,429,301.0,98304,3,0.0001,94.09425991475582,20,-5.665267627127468,35.357086181640625,0.2049214243888855,0.010154603,0.139398193359375,0.2,-0.01648473718450987,0.9966318607330322,,
315,149.93996,415,301.0,131072,4,0.0001,381.10191621780393,30,-5.655499004945159,56.35102844238281,0.17235249280929565,0.0098071415,0.14752197265625,0.2,-0.015295917171533802,0.9931679964065552,,
401,138.13458,408,301.0,163840,5,0.0001,2599.4678334236146,40,-5.639611455798149,737.2767944335938,0.11493176221847534,0.009058604,0.11361083984375,0.2,-0.007454710264846653,0.9887406826019287,,
487,122.57164,403,301.0,196608,6,0.0001,2431.8826875269415,50,-5.6179865069687365,139.0289306640625,0.06992381811141968,0.0077569447,0.094671630859375,0.2,-0.005846365333309222,0.9833322763442993,,
573,38.786777,399,301.0,229376,7,0.0001,1974.2909317851067,60,-5.573695822060108,188.93263244628906,0.013304531574249268,0.0074609118,0.08607177734375,0.2,-0.005587994841789623,0.9705876708030701,,
659,8.161609,397,301.0,262144,8,0.0001,665.6872378468513,70,-5.528467995487153,168.193115234375,-0.022378206253051758,0.005711887,0.061474609375,0.2,-0.0046646102845443235,0.9606488943099976,,
746,-9.704738,394,301.0,294912,9,0.0001,1206.1753182411194,80,-5.497202872671187,132.87118530273438,-0.011701226234436035,0.0035090856,0.040093994140625,0.2,-0.0015726542250376952,0.9557918310165405,,
833,6.1063843,393,301.0,327680,10,0.0001,538.9257191121578,90,-5.4944047318771485,102.67821502685547,0.4429892301559448,0.0046199723,0.0246917724609375,0.2,-0.0019920234118217194,0.9556906819343567,,
920,19.096718,391,301.0,360448,11,0.0001,1118.2796952068807,100,-5.488914140872657,161.29107666015625,0.5286764204502106,0.004193932,0.0209136962890625,0.2,-0.001285742804657275,0.9525750279426575,,
1007,-7.2063265,390,301.0,393216,12,0.0001,1636.611954140663,110,-5.4864780297502875,129.2923126220703,0.5088713467121124,0.0039736987,0.0219024658203125,0.2,-0.0015052581099098462,0.9545075297355652,,
1095,-11.85542,388,301.0,425984,13,0.0001,586.3653695225715,120,-5.487558953650296,144.50035095214844,0.7904722541570663,0.0041046385,0.0326324462890625,0.2,-0.0023414163520101283,0.9539700150489807,,
1184,18.62974,387,301.0,458752,14,0.0001,569.6304358363152,130,-5.483827899768949,138.135498046875,0.8233929872512817,0.0041570305,0.023504638671875,0.2,-0.0023600347511546715,0.9521409869194031,,
1272,51.622334,386,301.0,491520,15,0.0001,621.3313926517964,140,-5.479525780677795,188.8479461669922,0.812976747751236,0.0048200227,0.0265899658203125,0.2,-0.002263129478023984,0.9524478912353516,,
1360,74.88357,385,301.0,524288,16,0.0001,887.6605834841728,150,-5.466963856853544,2354.326416015625,0.7427595853805542,0.003597181,0.020916748046875,0.2,-0.0017403824564553362,0.946424126625061,,
1449,114.702354,384,301.0,557056,17,0.0001,914.7278020143509,160,-5.445553778111934,236.18728637695312,0.6986741721630096,0.0041949376,0.0284759521484375,0.2,-0.002287424897031087,0.9429028034210205,,
1538,114.769226,383,301.0,589824,18,0.0001,626.5152667462826,170,-5.429686599038542,176.22772216796875,0.7652051746845245,0.00441516,0.023284912109375,0.2,-0.002456810244348162,0.9376664161682129,,
1626,165.81717,382,301.0,622592,19,0.0001,616.0350275635719,180,-5.398007417842746,163.3632354736328,0.7206348776817322,0.003984859,0.020550537109375,0.2,-0.0014614059868108598,0.9302314519882202,,
1716,118.91406,381,301.0,655360,20,0.0001,1216.7083207547664,190,-5.384968538209796,134.46397399902344,0.566093921661377,0.0038172572,0.0191619873046875,0.2,-0.0012213983817218831,0.9297287464141846,,
1805,163.83652,381,301.0,688128,21,0.0001,876.2615012049675,200,-5.378138355351984,164.2526397705078,0.6080915927886963,0.005025863,0.040228271484375,0.2,-0.0035561333389523496,0.927856981754303,,
1894,163.12508,380,301.0,720896,22,0.0001,609.6915326297283,210,-5.35410285461694,128.22958374023438,0.694264829158783,0.004783432,0.03497314453125,0.2,-0.0029972305607770975,0.920981764793396,,
1984,120.91273,379,301.0,753664,23,0.0001,918.6480646073818,220,-5.335304636880755,202.91522216796875,0.5894607603549957,0.004434552,0.0240325927734375,0.2,-0.0021381503025622805,0.9176215529441833,,
2074,205.50102,379,301.0,786432,24,0.0001,648.1606525480747,230,-5.313542651571334,170.58554077148438,0.6767588555812836,0.0043547507,0.0263031005859375,0.2,-0.0027982543090274703,0.9123345017433167,,
2164,234.08983,378,301.0,819200,25,0.0001,1488.1284470379353,240,-5.287943189777434,712.8554077148438,0.4422064423561096,0.0040189847,0.0270477294921875,0.2,-0.0019962377206411475,0.9064673185348511,,
2254,229.17934,377,301.0,851968,26,0.0001,1493.8446296691895,250,-5.265144728124142,743.1123046875,0.43191635608673096,0.003826214,0.02093505859375,0.2,-0.0015010016257519965,0.9019641280174255,,
2344,294.11548,377,301.0,884736,27,0.0001,1169.916353559494,260,-5.25401344485581,207.98342895507812,0.502987414598465,0.005072036,0.0323455810546875,0.2,-0.0022165946662880743,0.9009066820144653,,
2435,229.29643,376,301.0,917504,28,0.0001,1754.0101137161255,270,-5.2402697836980225,230.11720275878906,0.35337281227111816,0.005025374,0.032208251953125,0.2,-0.0019226806521601247,0.8968232274055481,,
2526,247.02673,376,301.0,950272,29,0.0001,2663.2396829366685,280,-5.219315894693136,1530.2716064453125,0.2736715078353882,0.0043348838,0.02374267578125,0.2,-0.0022462922754584724,0.8913233280181885,,
2617,253.15689,375,301.0,983040,30,0.0001,2425.926171541214,290,-5.193704184703529,1883.1422119140625,0.28416186571121216,0.0060837097,0.0438629150390625,0.2,-0.0030778822764091275,0.8861464262008667,,
2707,220.22433,375,301.0,1015808,31,0.0001,1840.7983166098595,300,-5.1671825014054775,154.6973876953125,0.3274526000022888,0.007103021,0.0608001708984375,0.2,-0.003496090772387106,0.8803228139877319,,
2798,223.93102,374,301.0,1048576,32,0.0001,1223.7653885662555,310,-5.135652614198625,236.7205047607422,0.401868999004364,0.0053986665,0.0429351806640625,0.2,-0.0034293041967430327,0.8728387355804443,,
2890,281.2778,374,301.0,1081344,33,0.0001,943.7281864285469,320,-5.103639234043658,294.5654296875,0.4978741407394409,0.005403109,0.0392486572265625,0.2,-0.003896893660476053,0.8664451241493225,,
2981,314.52423,373,301.0,1114112,34,0.0001,1255.32683968544,330,-5.088181922584772,180.0282745361328,0.45962774753570557,0.0045837527,0.0314056396484375,0.2,-0.0017126508807905338,0.8650930523872375,,
3075,407.50317,372,301.0,1146880,35,0.0001,1526.4260332942008,340,-5.066867086850107,887.0745239257812,0.35734063386917114,0.004943071,0.033660888671875,0.2,-0.0013667311695598982,0.8590714335441589,,
3167,361.2437,372,301.0,1179648,36,0.0001,4191.077378845215,350,-5.045386626198888,320.7125244140625,0.1774119734764099,0.0052387007,0.0236419677734375,0.2,-0.0007199115581443038,0.856100857257843,,
3260,381.99112,371,301.0,1212416,37,0.0001,2606.8112325906754,360,-5.033738095127046,479.2568054199219,0.2937907576560974,0.0047693737,0.028778076171875,0.2,-0.0011776602762438415,0.8545962572097778,,
3353,413.1706,371,301.0,1245184,38,0.0001,2861.7955786824227,370,-5.018177314475179,6330.07763671875,0.2754478454589844,0.0049731773,0.0418304443359375,0.2,-0.003418685577526048,0.8495010137557983,,
3445,455.10718,370,301.0,1277952,39,0.0001,2711.3283035755157,380,-5.000162762962281,4164.013671875,0.23907196521759033,0.0042795436,0.0270416259765625,0.2,-0.0010769273747882834,0.847048282623291,,
3537,357.68704,370,301.0,1310720,40,0.0001,3853.6023297071456,390,-4.994076660461724,3558.420166015625,0.17052072286605835,0.0037157023,0.0231109619140625,0.2,0.00038972534148342677,0.8463954329490662,,
3629,309.30988,370,301.0,1343488,41,0.0001,2244.639467716217,400,-4.978677718900144,276.9835510253906,0.24818044900894165,0.0055126073,0.0418426513671875,0.2,-0.0018612891049542668,0.8420735001564026,,
3721,434.4161,369,301.0,1376256,42,0.0001,1924.1363770842552,410,-4.962734184786678,3346.684326171875,0.32003432512283325,0.0055139028,0.0397064208984375,0.2,-0.002844065808767482,0.8392592072486877,,
3813,369.75278,369,301.0,1409024,43,0.0001,4726.46874666214,420,-4.9494449779391285,2962.584716796875,0.16830986738204956,0.0034732046,0.0154632568359375,0.2,-0.0008926133466502506,0.836559534072876,,
