time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
1,32768,572,57,301.0,-205.08678,,,,,,,,,,,
2,65536,421,155,301.0,-487.47263,0.9920501708984375,-5.844912672042847,71.04251,10,0.31583232889715873,1.0435388088226318,0.2,-0.0006203651428222656,49.626312255859375,0.01,97.04240015149117
3,98304,392,250,301.0,-497.20746,0.992645263671875,-6.372378948889673,231.978,20,0.23189066911054396,1.1944142580032349,0.2,0.0,23.738319396972656,0.01,37.65639998279512
4,131072,379,345,301.0,-496.78247,0.995355224609375,-7.009100299142301,185.92984,30,0.22608782406496175,1.403311014175415,0.2,0.0,55.32358169555664,0.01,80.54980877190829
5,163840,372,439,301.0,-495.84583,0.9977691650390625,-8.294450386799872,816.3781,40,0.2250639417936327,1.9396605491638184,0.2,0.0,52.3428840637207,0.01,129.717127238214
6,196608,367,534,301.0,-496.53714,0.997650146484375,-9.03600990101695,120.82839,50,0.22277989810245344,2.3460302352905273,0.2,0.0,111.18340301513672,0.01,179.01374259591103
7,229376,364,629,301.0,-496.03754,0.99847412109375,-9.385437586531044,346.54565,60,0.21149240017984994,2.5990631580352783,0.2,0.0,81.01484680175781,0.01,193.98421784564852
8,262144,362,723,301.0,-464.32788,0.999298095703125,-9.890916573628783,390.4604,70,0.22289181603264296,3.0316340923309326,0.2,0.0,139.01634216308594,0.01,266.14314833283424
9,294912,360,818,301.0,-496.30402,0.9987701416015625,-9.090612907335162,556.556,80,0.22791307434017655,2.4515600204467773,0.2,0.0,177.69667053222656,0.01,293.7488913014531
10,327680,358,913,301.0,-497.04282,0.9985504150390625,-8.828353459760546,580.16187,90,0.22248630873873482,2.3925561904907227,0.2,1.1920928955078125e-07,94.3040542602539,0.01,307.7803256899118
11,360448,357,1007,301.0,-496.8772,0.9995819091796875,-9.071016185358166,234.31494,100,0.2226177398581058,2.5983293056488037,0.2,1.1920928955078125e-07,149.487060546875,0.01,337.7100059524179
12,393216,356,1102,168.77,-1766.7144,0.99937744140625,-9.673199959099293,807.32654,110,0.21069643335431465,3.3660004138946533,0.2,0.0,80.82704162597656,0.01,306.3410525977612
13,425984,355,1197,157.73,-1749.8141,0.973248291015625,-9.869769497588276,45.15233,120,0.26015354095807197,3.6589608192443848,0.2,0.0,22016.376953125,0.01,37097.359384918214
14,458752,354,1292,173.93,-1887.0554,0.981304931640625,-9.54332892820239,881.5417,130,0.26610047045251123,3.170006513595581,0.2,0.0,13558.890625,0.01,36241.60977554321
15,491520,353,1391,157.61,-1649.0925,0.989862060546875,-9.77540458627045,94.346535,140,0.2701763467310229,3.2221336364746094,0.2,0.0,5423.93994140625,0.01,23900.947300338747
16,524288,352,1487,157.64,-1719.0236,0.994659423828125,-9.929581698402762,40.30486,150,0.26941213887985216,3.2559611797332764,0.2,0.0,6865.478515625,0.01,25357.333894348143
