Episode,Reward
1,-503.87415
2,-491.26266
3,-502.01465
4,-496.11038
5,-499.86804
6,-490.5839
7,-495.47144
8,-495.3566
9,-498.91718
10,-499.22656
11,-501.00067
12,-500.61426
13,-496.64886
14,-496.72812
15,-498.96896
16,-495.26584
17,-495.3907
18,-500.4107
19,-494.86176
20,-495.0943
21,-493.718
22,-495.63773
23,-494.75354
24,-495.12723
25,-491.4103
26,-506.6894
27,-498.8216
28,-503.30588
29,-497.4452
30,-493.78064
31,-498.9437
32,-496.46683
33,-499.88522
34,-493.34036
35,-494.0868
36,-496.4719
37,-501.3029
38,-497.47745
39,-499.55457
40,-493.86053
41,-498.68622
42,-495.8622
43,-498.0484
44,-499.85614
45,-497.70578
46,-495.9991
47,-501.1299
48,-492.97412
49,-494.47873
50,-502.587
51,-498.79428
52,-495.1898
53,-493.4544
54,-500.59595
55,-499.22137
56,-495.52298
57,-496.86572
58,-498.0893
59,-498.3406
60,-494.31387
61,-495.33884
62,-501.6456
63,-493.75284
64,-498.52643
65,-498.89664
66,-491.75565
67,-496.47916
68,-495.36365
69,-498.79556
70,-493.8563
71,-493.73254
72,-496.08826
73,-500.0655
74,-503.25876
75,-494.32016
76,-498.67462
77,-505.09244
78,-494.59616
79,-500.06085
80,-498.8678
81,-497.05865
82,-500.51697
83,-495.83945
84,-498.81238
85,-500.9684
86,-499.8054
87,-502.59036
88,-493.10773
89,-494.75027
90,-493.07452
91,-501.01004
92,-496.75955
93,-495.0915
94,-493.4975
95,-501.3222
96,-501.16766
97,-492.0532
98,-502.94797
99,-492.2797
100,-494.03516
