Episode,Reward
1,1364.7251
2,1336.5284
3,2325.2034
4,1554.0558
5,1269.4741
6,2547.4358
7,2586.035
8,1344.7388
9,1507.3099
10,1018.8404
11,1416.6531
12,1320.8372
13,1309.9674
14,1574.9617
15,2709.6877
16,1272.9355
17,1377.1399
18,1591.3613
19,1440.4478
20,1409.7783
21,965.86957
22,1186.9917
23,1396.2596
24,1338.1501
25,1361.4213
26,1149.8501
27,1224.2875
28,1498.5153
29,1263.5732
30,1504.8964
31,1587.616
32,1436.0485
33,1337.5647
34,1580.8827
35,1431.38
36,1628.5222
37,1325.7588
38,1474.3191
39,1503.7328
40,1438.1101
41,1451.9855
42,982.84033
43,1315.3359
44,1499.3167
45,1300.5377
46,1502.789
47,1579.4495
48,1086.1559
49,1466.8796
50,1569.0294
51,1484.3472
52,1603.2712
53,2197.317
54,2320.3835
55,1530.7107
56,1466.9779
57,1424.0487
58,1217.6361
59,1338.3309
60,1576.37
61,1032.8687
62,1532.4546
63,1647.984
64,1440.002
65,1227.241
66,1608.1903
67,1357.8583
68,1640.791
69,2260.4119
70,1389.3284
71,1533.2325
72,1502.7787
73,1375.2878
74,983.79224
75,1311.005
76,1353.5514
77,1003.71246
78,1429.5558
79,1568.068
80,1240.2426
81,1402.1292
82,1497.793
83,1308.2118
84,1636.4034
85,1261.9761
86,1255.5461
87,1537.2701
88,1523.4753
89,1395.1097
90,978.7087
91,1241.9296
92,1401.8611
93,1105.0461
94,1550.2747
95,1606.3716
96,1079.3633
97,1134.3157
98,2437.2644
99,1507.8708
100,2132.0986
