Episode,Reward
1,-32177.363
2,718.3349
3,-17.012365
4,1704.546
5,-28081.4
6,-2059.449
7,89.40096
8,-955.0778
9,-521.7577
10,-721.9529
11,792.4944
12,-841.16833
13,-742.4245
14,755.2785
15,-625.9932
16,100.31436
17,-27135.816
18,-11983.676
19,1986.8457
20,-22974.758
21,-14924.302
22,-5016.13
23,89.470375
24,-960.86926
25,-506.06622
26,-825.8424
27,-737.1536
28,-24974.174
29,-735.7644
30,-862.2676
31,-859.55585
32,110.53181
33,-20172.959
34,-16014.554
35,-436.76886
36,-968.92926
37,-14034.3
38,-3010.327
39,47.370193
40,-29122.076
41,-575.76953
42,-783.22876
43,-658.92706
44,-15938.547
45,-862.9781
46,-800.8502
47,-13986.033
48,801.6438
49,-26082.668
50,-16952.648
51,-372.07425
52,-862.75806
53,-26076.879
54,-2037.0509
55,72.22605
56,-985.0947
57,-306.84134
58,-816.51825
59,-788.331
60,-9930.645
61,-17780.326
62,-894.07214
63,-2915.575
64,-656.3543
65,-20071.557
66,-6947.7476
67,-445.04684
68,-21953.617
69,-13923.836
70,-8034.3877
71,641.7412
72,-988.9226
73,-534.8254
74,-819.16003
75,-763.6064
76,-854.04016
77,-804.10266
78,-860.676
79,-950.0171
80,-531.8023
81,-32206.932
82,-11981.004
83,625.08246
84,-939.29346
85,-14022.003
86,-7068.213
87,-540.09155
88,-1039.4644
89,-515.86414
90,-843.2329
91,-790.1728
92,-832.2127
93,-5881.4336
94,-598.9247
95,-25960.27
96,-611.4335
97,-834.51733
98,-852.9974
99,-795.55255
100,-593.8125
