time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/explained_variance,eval/mean_reward,eval/mean_ep_length
32768,301.0,-200.02122,57,1,572,,,,,,,,,,,,,
65536,301.0,-135.92845,168,2,389,0.007960303,0.9973694086074829,-5.669554433319718,83.84503594860435,-0.010170235450323162,0.1388427734375,0.001,28.13274574279785,0.2,10,0.0001716017723083496,,
98304,301.0,-23.412338,281,3,348,0.010870498,0.9885126352310181,-5.625250890199095,97.4468964189291,-0.01680891287473969,0.1570404052734375,0.001,44.863380432128906,0.2,20,0.2833671569824219,,
131072,301.0,100.495926,395,4,331,0.01176559,0.9693661332130432,-5.572475728392601,118.4568605966866,-0.01777557998630073,0.1750946044921875,0.001,68.33025360107422,0.2,30,0.4285050630569458,,
163840,301.0,133.32861,509,5,321,0.010869228,0.9628183245658875,-5.48978524543345,1527.7684789180755,-0.013169416161690605,0.1640380859375,0.001,202.34669494628906,0.2,40,0.11979180574417114,,
196608,301.0,154.5993,624,6,314,0.009952973,0.9486597776412964,-5.468597692809999,2434.981609913707,-0.008384456933322326,0.1309906005859375,0.001,368.38641357421875,0.2,50,0.0761224627494812,,
229376,301.0,68.42168,739,7,310,0.009239331,0.9374218583106995,-5.4263586776331065,3659.8882183492183,-0.005551757213606834,0.110357666015625,0.001,286.355712890625,0.2,60,0.04105985164642334,,
262144,301.0,90.77075,854,8,306,0.00835911,0.9266663193702698,-5.361334606446325,780.9397820577026,-0.006980937987054858,0.097271728515625,0.001,135.84060668945312,0.2,70,0.06066322326660156,,
294912,301.0,96.89101,969,9,304,0.007415425,0.9147593975067139,-5.320111717190594,1369.1185020804405,-0.005664042254056767,0.0902587890625,0.001,901.6409912109375,0.2,80,0.15566736459732056,,
327680,301.0,107.09857,1084,10,302,0.006608541,0.9025316834449768,-5.276041175890714,813.0043013304472,-0.005464582780587079,0.0833282470703125,0.001,138.4088592529297,0.2,90,0.38788098096847534,,
360448,301.0,139.69484,1200,11,300,0.0066197105,0.8929568529129028,-5.236555507779121,1302.1635647952558,-0.0035979464814431595,0.082220458984375,0.001,164.96571350097656,0.2,100,0.4054032564163208,,
393216,301.0,166.95172,1316,12,298,0.008353343,0.8727297782897949,-5.173873243946582,1385.7978569954635,-0.003264716727812811,0.0889556884765625,0.001,108.30596160888672,0.2,110,0.4624553322792053,,
425984,301.0,72.41306,1433,13,297,0.008209214,0.8620685935020447,-5.093614550307393,2047.8846888720989,-0.0012236981272735648,0.0937347412109375,0.001,174.53842163085938,0.2,120,0.4009380340576172,,
458752,301.0,119.37078,1550,14,295,0.008948147,0.8483312726020813,-5.030552929081023,516.966524399817,-0.0036465322255025967,0.112225341796875,0.001,171.24435424804688,0.2,130,0.7130268514156342,,
491520,301.0,147.81862,1669,15,294,0.009722908,0.8385791778564453,-4.979283061809838,546.0057287827134,-0.003233041466819486,0.123297119140625,0.001,107.7298812866211,0.2,140,0.6850948333740234,,
524288,301.0,179.53906,1787,16,293,0.0089888675,0.8336657285690308,-4.93203633511439,526.2913545057178,-0.0022864457065679745,0.129266357421875,0.001,87.52433013916016,0.2,150,0.6563841104507446,,
557056,301.0,190.01758,1905,17,292,0.009350413,0.8249733448028564,-4.904422789812088,556.1253506541252,-0.0025034214380411867,0.1340087890625,0.001,92.69097900390625,0.2,160,0.6415541768074036,,
589824,301.0,238.67422,2023,18,291,0.010840787,0.8173733353614807,-4.870732299331576,526.4518391311169,-0.0007331157714361325,0.137548828125,0.001,99.86778259277344,0.2,170,0.6309154033660889,,
622592,301.0,247.45831,2142,19,290,0.013125153,0.8111482262611389,-4.818016974721104,1378.6918728083372,0.0007177450263952778,0.17850341796875,0.001,108.35204315185547,0.2,180,0.33809536695480347,,
655360,301.0,297.2253,2260,20,289,0.019005995,0.8014978170394897,-4.8008883752860125,1162.2155415415764,0.003629796220729986,0.2200958251953125,0.001,130.1340789794922,0.2,190,0.40961921215057373,,
688128,301.0,234.66766,2378,21,289,0.014802031,0.7879294753074646,-4.745328017510474,1690.4975473284721,0.0018191662570188783,0.1934722900390625,0.001,172.25277709960938,0.2,200,0.3084031939506531,,
720896,301.0,232.2097,2496,22,288,0.016518617,0.7806909680366516,-4.693696075677872,859.9253982275725,0.0015176364851413383,0.189886474609375,0.001,157.09719848632812,0.2,210,0.4080662727355957,,
753664,301.0,341.0434,2615,23,288,0.01562435,0.7799610495567322,-4.6553002984263,881.6443595349789,0.00024083747016447887,0.1846649169921875,0.001,159.2422637939453,0.2,220,0.4303553104400635,,
786432,301.0,392.56583,2733,24,287,0.01342966,0.7701783776283264,-4.636155367549509,1999.395983031392,0.00024837033010953745,0.1815948486328125,0.001,136.74766540527344,0.2,230,0.25006920099258423,,
819200,301.0,320.5724,2851,25,287,0.016105235,0.7576739192008972,-4.590289080981165,2607.3023654580115,0.004970063950122494,0.171246337890625,0.001,8521.962890625,0.2,240,0.2187698483467102,,
851968,301.0,392.41437,2970,26,286,0.015087565,0.7503060698509216,-4.525454209465534,1486.4965971052648,0.0039741264190979566,0.1854522705078125,0.001,4779.3271484375,0.2,250,0.32595038414001465,,
884736,301.0,467.0833,3088,27,286,0.016667116,0.7426100969314575,-4.461306361015886,2662.2785701155663,0.002097057112632683,0.2006622314453125,0.001,1881.15185546875,0.2,260,0.21879875659942627,,
917504,301.0,608.1643,3207,28,286,0.02212571,0.7367489337921143,-4.451399373728782,2494.3687505304815,0.0028471491270920524,0.2433746337890625,0.001,298.4183349609375,0.2,270,0.23924767971038818,,
950272,301.0,367.71118,3326,29,285,0.030232247,0.7312397956848145,-4.41486187055707,5149.45391665101,0.010695961524925223,0.29986572265625,0.001,6770.88232421875,0.2,280,0.09861254692077637,,
983040,301.0,396.63098,3444,30,285,0.028239042,0.7274883389472961,-4.381814909540116,3088.477867683768,0.01002773116811113,0.2808380126953125,0.001,4174.51318359375,0.2,290,0.13434183597564697,,
1015808,301.0,386.07422,3563,31,285,0.02185039,0.7222407460212708,-4.374483522027731,3366.1312170207502,0.006120278483103902,0.2307861328125,0.001,578.0995483398438,0.2,300,0.22495728731155396,,
1048576,301.0,524.8503,3683,32,284,0.018494844,0.7150903344154358,-4.307885184977204,2347.8116774618625,0.0007452978749370231,0.216192626953125,0.001,639.85205078125,0.2,310,0.20663636922836304,,
1081344,301.0,574.48804,3801,33,284,0.01932245,0.7093102931976318,-4.297786122467369,4404.602681988477,0.006020100059527067,0.22777099609375,0.001,654.064453125,0.2,320,0.16963672637939453,,
1114112,301.0,462.31873,3920,34,284,0.016465757,0.7025548815727234,-4.24885061327368,4650.650939661265,0.00458785918826834,0.182257080078125,0.001,1183.90478515625,0.2,330,0.15366989374160767,,
1146880,301.0,622.8307,4040,35,283,0.017212616,0.6999325752258301,-4.233453460223973,3689.428970986605,0.0039386422178097295,0.1909881591796875,0.001,2328.83056640625,0.2,340,0.21392512321472168,,
1179648,301.0,598.1008,4160,36,283,0.01612583,0.687231183052063,-4.182089463062584,6763.565959185362,0.005905031403312932,0.2151092529296875,0.001,1513.187255859375,0.2,350,0.13519209623336792,,
1212416,301.0,605.36127,4280,37,283,0.017205108,0.681370198726654,-4.139029284194112,4601.049235934019,0.004177069616480367,0.201873779296875,0.001,259.0860595703125,0.2,360,0.2063673734664917,,
1245184,301.0,608.2775,4401,38,282,0.019785872,0.6731235384941101,-4.086410087905824,4884.432095521688,0.0046202985683521545,0.22440185546875,0.001,1216.80419921875,0.2,370,0.2383512258529663,,
1277952,301.0,615.80334,4520,39,282,0.01710606,0.6604446768760681,-4.024435081426054,5269.9311658680435,0.004350787232897346,0.2296966552734375,0.001,422.4287109375,0.2,380,0.1909504532814026,,
1310720,301.0,525.2248,4639,40,282,0.017778022,0.6581833362579346,-3.9749235354363917,5036.34146066904,0.008062406633962382,0.2226470947265625,0.001,515.3196411132812,0.2,390,0.20608484745025635,,
1343488,301.0,645.53973,4759,41,282,0.024157561,0.6560152769088745,-3.957416283059865,3616.6261951982974,0.006990554493313539,0.224176025390625,0.001,286.0849914550781,0.2,400,0.23259353637695312,,
1376256,301.0,469.95288,4879,42,282,0.0224142,0.6493188142776489,-3.9359856694936752,4700.2119550347325,0.006843057068931557,0.235748291015625,0.001,700.4874877929688,0.2,410,0.1809711456298828,,
1409024,301.0,604.50946,4999,43,281,0.019549161,0.6456441283226013,-3.9029036891181024,2069.5734799206257,0.004385420858898215,0.201495361328125,0.001,405.0970458984375,0.2,420,0.35334843397140503,,
1441792,301.0,648.6125,5118,44,281,0.015538477,0.6457580327987671,-3.9001683396287263,5207.945057028532,0.0052517663324579186,0.2098907470703125,0.001,3796.5810546875,0.2,430,0.18495243787765503,,
1474560,301.0,490.35028,5238,45,281,0.024364162,0.6448003053665161,-3.8800181608181448,7171.527128076554,0.005776123721648219,0.231280517578125,0.001,6009.95068359375,0.2,440,0.14268988370895386,,
1507328,301.0,440.2868,5357,46,281,0.017099656,0.6407989263534546,-3.8669109693262724,3144.7351058125496,0.004633246461025919,0.2213531494140625,0.001,315.0935363769531,0.2,450,0.21460586786270142,,
1540096,301.0,808.4794,5477,47,281,0.01655399,0.6384416818618774,-3.8625615305267273,3626.339100009203,0.0026000538016887733,0.2217193603515625,0.001,458.4876708984375,0.2,460,0.17964673042297363,,
1572864,301.0,767.99536,5596,48,281,0.024703901,0.6343428492546082,-3.8513751976191997,9720.61210951209,0.008678315246061174,0.259027099609375,0.001,7351.451171875,0.2,470,0.05580413341522217,,
1600000,,,,,,0.023868011,0.6317121982574463,-3.804581018583849,9415.704002255201,0.008044625329330302,0.2475311279296875,0.001,959.6382446289062,0.2,480,0.09177285432815552,897.5142822265625,301.0
1605632,301.0,432.67227,5767,49,278,,,,,,,,,,,,,
1638400,301.0,434.487,5886,50,278,0.014303714,0.6333005428314209,-3.804039204167202,3088.918327629566,0.00013105790906138283,0.1886199951171875,0.001,550.72509765625,0.2,490,0.27384626865386963,,
1671168,301.0,644.9882,6006,51,278,0.016416918,0.6292096972465515,-3.7989788527600465,3780.2558056771754,-0.0012913977875541605,0.2029144287109375,0.001,5731.2177734375,0.2,500,0.2289133071899414,,
1703936,301.0,788.0086,6126,52,278,0.014829259,0.6228407621383667,-3.7545107800047846,5557.27042402029,0.0013289636493936997,0.20806884765625,0.001,5300.38037109375,0.2,510,0.16127711534500122,,
1736704,301.0,929.9123,6246,53,278,0.0201702,0.6198785305023193,-3.735867313761264,10387.691064834595,0.005896766263867903,0.217034912109375,0.001,987.460693359375,0.2,520,0.09211605787277222,,
1769472,301.0,829.9539,6367,54,277,0.020907583,0.61411052942276,-3.7152573556173594,12010.967785525321,0.005457779900984861,0.2108917236328125,0.001,17140.84765625,0.2,530,0.0863715410232544,,
1802240,301.0,798.23486,6488,55,277,0.018636543,0.6109016537666321,-3.677637701202184,10555.78599561453,0.0054992342186324095,0.2167633056640625,0.001,6405.171875,0.2,540,0.07690900564193726,,
1835008,301.0,668.0544,6609,56,277,0.019849297,0.6093473434448242,-3.668300857534632,9397.397876304389,0.0061314032472637335,0.2580810546875,0.001,839.4878540039062,0.2,550,0.13070964813232422,,
1867776,301.0,397.05844,6730,57,277,0.017622706,0.6056780815124512,-3.666558121936396,6650.722595083714,0.00527326303654263,0.2164581298828125,0.001,4137.32421875,0.2,560,0.11695051193237305,,
1900544,301.0,447.70428,6853,58,277,0.01580545,0.6039333939552307,-3.633001910941675,3415.7636048913,0.0014077643605560296,0.2095794677734375,0.001,482.06048583984375,0.2,570,0.19582736492156982,,
1933312,301.0,901.4839,6975,59,277,0.014971298,0.5983339548110962,-3.621169516677037,2550.6974907398226,-0.0006160461944091367,0.1943603515625,0.001,877.0799560546875,0.2,580,0.2900105118751526,,
1966080,301.0,1026.2534,7097,60,277,0.015733916,0.593554675579071,-3.5913339138496667,11288.273761618137,0.002532866469982764,0.2082855224609375,0.001,1551.59521484375,0.2,590,0.13226348161697388,,
1998848,301.0,729.63776,7219,61,276,0.02182332,0.5862170457839966,-3.5414416830055417,16737.988091635703,0.005606020128243472,0.23798828125,0.001,16600.8203125,0.2,600,0.060705482959747314,,
2031616,301.0,1373.866,7342,62,276,0.015835682,0.5805933475494385,-3.4887703468091784,7433.412987011671,0.00404402580537635,0.2386260986328125,0.001,3297.3203125,0.2,610,0.13507801294326782,,
2064384,301.0,860.8867,7468,63,276,0.028511275,0.5791801810264587,-3.48158024889417,24002.199213075637,0.01149389299662289,0.2768310546875,0.001,15508.1142578125,0.2,620,0.056630074977874756,,
2097152,301.0,971.5383,7594,64,276,0.022700312,0.5795426368713379,-3.4783875892870126,12646.470209264755,0.008861515019680155,0.2424652099609375,0.001,5039.39794921875,0.2,630,0.12160342931747437,,
2129920,301.0,629.11566,7717,65,275,0.02546101,0.5753278732299805,-3.458013776876032,15102.391746354104,0.010043185805557187,0.2426971435546875,0.001,4863.00341796875,0.2,640,0.13385111093521118,,
2162688,301.0,727.9141,7842,66,275,0.016813602,0.5735323429107666,-3.4332112739328293,8257.16986591816,0.007628618088983785,0.2061920166015625,0.001,535.2817993164062,0.2,650,0.18600189685821533,,
2195456,301.0,482.9148,7967,67,275,0.01812289,0.5699306726455688,-3.4132161409128456,9899.428105413914,0.0048076182927616175,0.2088531494140625,0.001,1372.1805419921875,0.2,660,0.2007911205291748,,
2228224,301.0,655.2234,8091,68,275,0.017675754,0.5697029829025269,-3.390656652022153,6558.738403689861,0.0028607209011170197,0.202337646484375,0.001,1286.9716796875,0.2,670,0.30597227811813354,,
2260992,301.0,585.3053,8215,69,275,0.016811855,0.568347692489624,-3.4042400978971274,6983.084859120846,0.001878759018791243,0.19610595703125,0.001,9458.3359375,0.2,680,0.3169693946838379,,
2293760,301.0,767.6268,8339,70,275,0.013536986,0.5689327716827393,-3.3855473233386872,5642.850933504104,0.0009423427289448228,0.177752685546875,0.001,3427.6494140625,0.2,690,0.2942515015602112,,
2326528,301.0,748.0444,8463,71,274,0.014401307,0.5662020444869995,-3.3620962669607253,10381.829989552498,0.00417737064647099,0.1770294189453125,0.001,9938.0068359375,0.2,700,0.1522432565689087,,
2359296,301.0,861.0993,8586,72,274,0.013195211,0.561456024646759,-3.3649225837085397,9165.635119485854,0.005499017904685388,0.1642242431640625,0.001,10537.13671875,0.2,710,0.13020920753479004,,
2392064,301.0,612.1334,8709,73,274,0.019081037,0.5611701011657715,-3.3158086131326856,11198.92599338293,0.008120257862333346,0.2035858154296875,0.001,1669.7762451171875,0.2,720,0.11381709575653076,,
2424832,301.0,717.8242,8832,74,274,0.015764713,0.5587025284767151,-3.334589903615415,6231.767836850881,0.005156038152131259,0.1917266845703125,0.001,9092.806640625,0.2,730,0.2147597074508667,,
2457600,301.0,707.6557,8956,75,274,0.013224922,0.5546952486038208,-3.282031459501013,7501.418190050125,0.0046360976905134525,0.1878631591796875,0.001,1029.203857421875,0.2,740,0.16490858793258667,,
2490368,301.0,680.30963,9102,76,273,0.015612241,0.5518273115158081,-3.2800897492095826,7223.021320188045,0.00557974945204478,0.189739990234375,0.001,1524.703857421875,0.2,750,0.16526097059249878,,
2523136,301.0,665.49774,9269,77,272,0.014430274,0.5509330630302429,-3.24484208971262,6052.69610543251,0.005945967706361443,0.184344482421875,0.001,908.5859375,0.2,760,0.1893773078918457,,
2555904,301.0,771.30963,9394,78,272,0.025957678,0.5451110601425171,-3.2039454568177463,7666.976382130384,0.008093763352007954,0.237762451171875,0.001,1011.7501831054688,0.2,770,0.20094358921051025,,
2588672,301.0,954.5137,9518,79,271,0.015149393,0.5435206890106201,-3.1925644212868063,8918.3868801713,0.006078955662792396,0.196710205078125,0.001,861.0547485351562,0.2,780,0.19542229175567627,,
2621440,301.0,793.76276,9640,80,271,0.029219735,0.5394479036331177,-3.1829401961062103,12108.371210825444,0.010937903797184845,0.25201416015625,0.001,8063.6181640625,0.2,790,0.1253892183303833,,
2654208,301.0,715.2058,9766,81,271,0.021460295,0.5335148572921753,-3.13682680176571,10013.536753475666,0.009805307917349636,0.2361968994140625,0.001,4580.7529296875,0.2,800,0.11017107963562012,,
2686976,301.0,700.8533,9899,82,271,0.026169982,0.5277236700057983,-3.1097734454087913,8421.043074262143,0.008758335425682162,0.250048828125,0.001,4131.63916015625,0.2,810,0.09626567363739014,,
2719744,301.0,726.81396,10049,83,270,0.02141475,0.5326557755470276,-3.0935789449606093,7379.130393368006,0.006137127297574807,0.22410888671875,0.001,10899.09375,0.2,820,0.12305760383605957,,
2752512,301.0,715.90356,10172,84,270,0.03710052,0.5341538190841675,-3.1076610184740274,7139.600355345011,0.008822167480957432,0.2659820556640625,0.001,5247.587890625,0.2,830,0.13736701011657715,,
2785280,301.0,652.26965,10314,85,270,0.026744043,0.5328903198242188,-3.1068292222451417,8793.980752635001,0.008306291001917997,0.242730712890625,0.001,2400.112548828125,0.2,840,0.1659618616104126,,
2818048,301.0,611.24994,10469,86,269,0.0129920915,0.5311027765274048,-3.105840589478612,6703.165096461773,0.0041797188169312,0.1633544921875,0.001,942.8564453125,0.2,850,0.19565850496292114,,
2850816,301.0,922.88763,10592,87,269,0.013707512,0.5308708548545837,-3.0849278503563253,6772.508146107197,0.0024749824571244972,0.1750640869140625,0.001,5841.75439453125,0.2,860,0.2021450400352478,,
2883584,301.0,674.40173,10713,88,269,0.026540413,0.5334309339523315,-3.125512508256361,11174.832031691074,0.011465737337721294,0.2457763671875,0.001,9965.662109375,0.2,870,0.1456294059753418,,
2916352,301.0,719.356,10844,89,268,0.022556035,0.5300715565681458,-3.102195585472509,6435.175574481487,0.00956358484266957,0.23941650390625,0.001,3662.720458984375,0.2,880,0.1789429783821106,,
2949120,301.0,744.65436,10974,90,268,0.015420378,0.5262057781219482,-3.0680888250935823,7494.551619839668,0.0059836906930513575,0.1968170166015625,0.001,6941.2734375,0.2,890,0.16624611616134644,,
