time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
1,32768,58,301.0,563,-232.29889,,,,,,,,,,,
2,65536,122,301.0,535,-375.33655,0.01,94.81817610263825,0.65023193359375,48.95372009277344,0.0002924203872680664,0.09411516447544273,1.021796703338623,10,-5.785010650753975,0.4214874,0.2
3,98304,192,301.0,510,-496.16104,0.01,113.46727699041367,0.9973663330078125,53.812110900878906,5.960464477539063e-08,0.3197079660567397,1.0065206289291382,20,-5.7094093285501,42.53128,0.2
4,131072,262,301.0,499,-496.65552,0.01,80.97288456559181,0.84495849609375,42.38355255126953,0.0,0.1728913301267312,1.323019027709961,30,-6.366382671147585,69.9184,0.2
5,163840,332,301.0,492,-497.07587,0.01,124.92924372553826,0.8854156494140625,62.2191047668457,1.1920928955078125e-07,0.1868476501047553,1.3984049558639526,40,-6.941558430343866,45.979454,0.2
6,196608,403,301.0,486,-496.1814,0.01,171.1280024409294,0.9210357666015625,100.99862670898438,0.0,0.2055549444135977,1.9534471035003662,50,-7.955014813691378,72.76039,0.2
7,229376,472,301.0,485,-496.55167,0.01,186.31652537584304,0.9413787841796875,122.41026306152344,1.7881393432617188e-07,0.19824995506642154,2.0880227088928223,60,-8.496967834234237,37.176193,0.2
8,262144,545,301.0,480,-496.428,0.01,254.78175480365752,0.9474945068359375,144.857177734375,0.0,0.21103575176894082,1.9853899478912354,70,-8.375569733977319,65.24254,0.2
9,294912,614,301.0,479,-496.9018,0.01,287.26738686561583,0.94442138671875,148.3919219970703,0.0,0.20661900593549945,2.3230316638946533,80,-8.79339471310377,44.5084,0.2
10,327680,686,301.0,477,-496.50934,0.01,312.0509213209152,0.9546722412109375,118.99540710449219,0.0,0.21232607662095687,3.0327320098876953,90,-9.779406666755676,63.46456,0.2
11,360448,756,301.0,476,-495.8592,0.01,339.5864184856415,0.9609771728515625,151.9508819580078,0.0,0.21453491260035662,4.770569324493408,100,-10.939184133708476,76.89883,0.2
