Episode,Reward
1,-1775.6954
2,-1775.8333
3,-1772.9233
4,-1779.0056
5,-1779.8757
6,-1782.6215
7,-779.3907
8,-1783.5531
9,-1783.2672
10,-1781.7087
11,-1783.562
12,-1784.8243
13,-1787.3315
14,-1782.7966
15,-1780.9907
16,-1783.5088
17,-1783.7438
18,-1782.799
19,-1782.4445
20,-1784.716
21,-1782.9547
22,-1783.0293
23,-1782.9772
24,-1774.5311
25,-1783.7959
26,-2783.5342
27,-2784.0032
28,-1783.4204
29,-1782.92
30,-1783.3647
31,-1783.9957
32,-1781.7468
33,-1783.9884
34,-1783.3295
35,-775.00714
36,-1774.8735
37,-1783.2505
38,-1782.8237
39,-1782.5238
40,-1783.5259
41,-1783.512
42,-1783.0946
43,-1782.8866
44,-1782.6355
45,-1781.9131
46,-1783.9574
47,-1774.377
48,-1783.3062
49,-1773.8215
50,-1781.9746
51,-1783.9226
52,-1782.0367
53,-1783.3771
54,-1784.3135
55,-1775.0767
56,-1774.5271
57,-1782.5308
58,-1783.0461
59,-2784.0845
60,-2784.1565
61,-1783.8466
62,-1783.5298
63,-1780.8926
64,-2783.9043
65,-1784.072
66,-1774.7388
67,-1782.3815
68,-1783.0151
69,-2782.924
70,-1783.5922
71,-1782.447
72,-1782.1898
73,-1785.0992
74,-1782.2303
75,-1784.239
76,-1783.2056
77,-1783.9014
78,-1783.7393
79,-1783.5361
80,-2783.9065
81,-1783.1251
82,-1783.0908
83,-2783.0095
84,-1783.5475
85,-1773.786
86,-1782.7517
87,-2784.3135
88,-774.94464
89,-1782.99
90,-1783.6293
91,-1783.1278
92,-774.63025
93,-1781.905
94,-1783.7258
95,-1783.3079
96,-1782.2876
97,-1781.9122
98,-1783.7908
99,-1784.89
100,-1783.4584
