time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/policy_gradient_loss
1,301.0,29,281,8192,-251.10217,,,,,,,,,,,
2,301.0,57,284,16384,-206.6206,0.9992901086807251,0.008874485,-5.675578218698502,0.2,0.001050114631652832,0.0944091796875,10,52.42314529418945,0.0001,133.1095224380493,-0.010967642834293656
3,301.0,86,283,24576,-138.92947,0.9979499578475952,0.009521991,-5.6707860946655275,0.2,-1.5616416931152344e-05,0.1182373046875,20,64.89305114746094,0.0001,133.4834367752075,-0.012495298543944955
4,301.0,115,284,32768,-48.725708,0.991969108581543,0.010365808,-5.6559877574443815,0.2,-3.4570693969726562e-06,0.16263427734375,30,303.61248779296875,0.0001,1228.0631797790527,-0.008568420360097662
5,301.0,144,283,40960,220.80017,0.9891584515571594,0.009665348,-5.638982951641083,0.2,1.6689300537109375e-06,0.0636474609375,40,2055.813232421875,0.0001,3609.0095275878907,-0.004278654782683589
6,301.0,172,284,49152,480.76953,0.9877516031265259,0.0017856562,-5.6274414479732515,0.2,6.371736526489258e-05,9.765625e-05,50,7213.287109375,0.0001,17012.666052246095,-0.0008766110389842652
7,301.0,201,284,57344,730.1417,0.9876862168312073,0.0024261707,-5.626265239715576,0.2,3.5762786865234375e-07,0.00072021484375,60,16279.23828125,0.0001,27370.825561523438,-0.001150048569252249
8,301.0,230,284,65536,853.8812,0.9876698851585388,0.0020034579,-5.626106989383698,0.2,2.980232238769531e-07,0.000341796875,70,18761.646484375,0.0001,28879.992431640625,-0.0009037061819981318
9,301.0,258,285,73728,935.1765,0.9875315427780151,0.0008529698,-5.6258427739143375,0.2,1.1920928955078125e-07,0.0,80,8162.87109375,0.0001,18785.114013671875,-0.0002609156144899316
10,301.0,287,285,81920,910.9205,0.9873939752578735,0.0029186178,-5.625231301784515,0.2,4.172325134277344e-07,0.00133056640625,90,13403.9375,0.0001,29461.320874023437,-0.0011970630148425698
11,301.0,315,285,90112,927.13086,0.9873459339141846,0.0038994553,-5.624874639511108,0.2,1.1920928955078125e-07,0.00443115234375,100,16719.208984375,0.0001,34445.3794921875,-0.0020029245177283885
12,301.0,344,285,98304,963.82654,0.9876185059547424,0.003839381,-5.625246465206146,0.2,1.1920928955078125e-07,0.00479736328125,110,14619.2890625,0.0001,35040.327856445314,-0.0015926760097499937
13,301.0,373,285,106496,895.6484,0.9876242876052856,0.003920803,-5.625954097509384,0.2,5.960464477539063e-08,0.00574951171875,120,12129.82421875,0.0001,26889.117797851562,-0.0012325487099587918
14,301.0,401,285,114688,862.1319,0.9875895380973816,0.004035093,-5.625871175527573,0.2,1.1920928955078125e-07,0.00667724609375,130,15151.4560546875,0.0001,27881.976928710938,-0.0011890742156538182
15,301.0,430,285,122880,836.2586,0.9871765971183777,0.0019860473,-5.624998992681503,0.2,5.960464477539063e-08,0.000439453125,140,14326.2109375,0.0001,30045.7619140625,-0.0005114387720823288
16,301.0,458,285,131072,761.2874,0.9871240258216858,0.0050963834,-5.623986083269119,0.2,1.1920928955078125e-07,0.02725830078125,150,23139.14453125,0.0001,36175.86340332031,-0.0021153868699911984
17,301.0,487,285,139264,734.63727,0.9870814085006714,0.0047371383,-5.6238412201404575,0.2,1.1920928955078125e-07,0.0094482421875,160,15879.4873046875,0.0001,39048.21743164062,-0.0010864442912861705
18,301.0,516,285,147456,665.89905,0.9868113994598389,0.0043252883,-5.6232928216457365,0.2,2.384185791015625e-07,0.01834716796875,170,19275.919921875,0.0001,38111.592944335935,-0.001730140481959097
19,301.0,544,285,155648,608.6793,0.9866102933883667,0.003590803,-5.622166579961776,0.2,2.384185791015625e-07,0.00565185546875,180,17909.583984375,0.0001,35132.013671875,-0.0005892595218028873
20,301.0,574,285,163840,596.18475,0.9864099025726318,0.0045099086,-5.6214439332485195,0.2,0.0,0.02296142578125,190,16299.953125,0.0001,36463.51845703125,-0.0020162364409770815
21,301.0,602,285,172032,532.30383,0.985411524772644,0.0018929797,-5.619099062681198,0.2,5.960464477539063e-08,0.03623046875,200,16779.154296875,0.0001,32356.87958984375,-0.0004317969287512824
22,301.0,631,285,180224,448.84802,0.9839598536491394,0.0035710847,-5.614308488368988,0.2,-1.1920928955078125e-07,0.0386962890625,210,15216.7958984375,0.0001,32763.770092773437,-0.002411223581293598
23,301.0,659,285,188416,355.88535,0.9833018183708191,0.0029566663,-5.60948868393898,0.2,0.0,0.0214111328125,220,18775.109375,0.0001,33103.95639648438,-0.0018298408889677376
24,301.0,688,285,196608,390.29504,0.9822647571563721,0.005603656,-5.60662277340889,0.2,0.0,0.03961181640625,230,19875.109375,0.0001,32902.965991210935,-0.0023699242185102774
25,301.0,717,285,204800,380.50827,0.9817941188812256,0.0057092384,-5.602874308824539,0.2,5.960464477539063e-08,0.03060302734375,240,21639.65625,0.0001,48703.508203125,-0.0022410931567719674
26,301.0,745,285,212992,341.10617,0.9818462133407593,0.0031958474,-5.602936661243438,0.2,0.0,0.0208984375,250,15386.8330078125,0.0001,32907.5271484375,-0.0002872262426535599
