time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/value_loss,eval/mean_ep_length,eval/mean_reward
279,29,301.0,1,8192,-261.70145,,,,,,,,,,,,,
281,58,301.0,2,16384,-251.32585,-0.001092076301574707,1.0000399351119995,0.0,1e-05,-0.001726279103604611,-5.675849837064743,10,0.0004283675,100.23887634277344,0.2,239.6134843826294,,
282,86,301.0,3,24576,-233.95776,0.0003637075424194336,1.0001715421676636,0.0,1e-05,-0.002864519171998836,-5.676144689321518,20,0.0009134763,76.77088165283203,0.2,195.94084091186522,,
282,115,301.0,4,32768,-199.35277,0.0007342100143432617,1.0002410411834717,0.00113525390625,1e-05,-0.005662798153935,-5.676624047756195,30,0.0028189933,69.66123962402344,0.2,150.46873683929442,,
283,144,301.0,5,40960,-102.85111,0.0005249381065368652,1.0002176761627197,0.033837890625,1e-05,-0.00953350529744057,-5.6769611120224,40,0.00827002,53.19517517089844,0.2,108.15625848770142,,
284,172,301.0,6,49152,1.4224085,6.538629531860352e-05,0.9999935626983643,0.0,1e-05,-0.0005216044810367748,-5.6761468887329105,50,0.00015938224,697.7628173828125,0.2,2364.786339569092,,
284,201,301.0,7,57344,101.67625,6.014108657836914e-05,0.9999423027038574,0.0,1e-05,4.154440248385072e-05,-5.675590831041336,60,1.9076782e-05,2356.410888671875,0.2,4585.231213378906,,
284,229,301.0,8,65536,149.5864,0.00020259618759155273,1.00002121925354,0.0,1e-05,0.00023655283875996248,-5.675626814365387,70,4.720602e-05,2327.42724609375,0.2,4637.149653625488,,
285,258,301.0,9,73728,189.36292,0.00019174814224243164,0.9998824596405029,2.44140625e-05,1e-05,-0.0006678054356598295,-5.675742536783218,80,0.0012774975,2752.331298828125,0.2,5337.297078704834,,
285,287,301.0,10,81920,176.3468,0.00033921003341674805,0.9997820854187012,0.0,1e-05,-0.0007447848460287787,-5.674991416931152,90,0.0006119141,3455.359619140625,0.2,4493.956384277344,,
285,315,301.0,11,90112,268.0701,0.0003829002380371094,0.9995933771133423,0.0,1e-05,-0.0009281174599891529,-5.674541401863098,100,0.0010400608,607.5840454101562,0.2,2321.9497093200685,,
285,344,301.0,12,98304,382.57394,3.987550735473633e-05,0.9995494484901428,0.0,1e-05,-0.0003592131557525136,-5.6739976644515995,110,0.00017551899,7504.08349609375,0.2,15211.690734863281,,
285,373,301.0,13,106496,484.11676,2.104043960571289e-05,0.9995214939117432,0.0,1e-05,-8.923467394197359e-05,-5.673888492584228,120,4.8209222e-05,5166.36083984375,0.2,10169.843444824219,,
284,402,301.0,14,114688,560.4851,2.0563602447509766e-05,0.9994733333587646,0.0,1e-05,-0.00032812535791890694,-5.6737400710582735,130,9.626411e-05,8526.578125,0.2,16969.39893798828,,
285,431,301.0,15,122880,553.2218,1.2278556823730469e-05,0.9994851350784302,0.0,1e-05,-0.00018516703858040273,-5.6736465990543365,140,5.4091448e-05,6692.16650390625,0.2,14767.012487792968,,
285,459,301.0,16,131072,602.3214,1.1086463928222656e-05,0.9994839429855347,0.0,1e-05,-0.00020031005988130346,-5.673689550161361,150,5.6925877e-05,5014.5888671875,0.2,11460.594683837891,,
285,488,301.0,17,139264,593.3477,1.0728836059570312e-06,0.9994722008705139,0.0,1e-05,-2.8724029834847898e-05,-5.673657947778702,160,1.1007491e-05,7288.67919921875,0.2,14704.01435546875,,
285,516,301.0,18,147456,607.46686,6.735324859619141e-06,0.9994590282440186,0.0,1e-05,-8.84367007529363e-05,-5.673605883121491,170,3.2048898e-05,7283.2529296875,0.2,13174.235711669922,,
285,544,301.0,19,155648,644.3816,1.7881393432617188e-07,0.9994609355926514,0.0,1e-05,-3.573450376279652e-05,-5.673584324121475,180,7.906325e-06,5414.46875,0.2,13688.645989990235,,
285,573,301.0,20,163840,644.44104,2.9206275939941406e-06,0.9994568824768066,0.0,1e-05,-0.00020293168490752577,-5.673581999540329,190,5.5209246e-05,7300.03466796875,0.2,14972.179162597657,,
285,602,301.0,21,172032,716.8438,-1.430511474609375e-06,0.9994421005249023,0.0,1e-05,-0.0002670261761522852,-5.673544847965241,200,6.80674e-05,7797.021484375,0.2,21441.924572753906,,
285,630,301.0,22,180224,694.109,1.9669532775878906e-06,0.9994192123413086,0.0,1e-05,-0.0003775656427023932,-5.673470801115036,210,0.00011528126,7084.19677734375,0.2,19248.238146972657,,
285,659,301.0,23,188416,721.95447,2.1457672119140625e-06,0.999393880367279,0.0,1e-05,-0.00012345432623988016,-5.673368525505066,220,4.1114617e-05,11580.013671875,0.2,21709.64162597656,,
285,687,301.0,24,196608,743.272,3.0994415283203125e-06,0.9994189739227295,0.0,1e-05,-0.0002337055149837397,-5.673362392187118,230,8.020965e-05,9232.2392578125,0.2,15973.573675537109,,
285,716,301.0,25,204800,714.765,1.6689300537109375e-06,0.9994409680366516,0.0,1e-05,-0.0001118452419177629,-5.673465931415558,240,4.010609e-05,10327.970703125,0.2,17601.077197265626,,
285,744,301.0,26,212992,770.4816,7.748603820800781e-07,0.9994639754295349,0.0,1e-05,-0.00012823290016967804,-5.673552060127259,250,4.7996888e-05,7036.56884765625,0.2,15667.308715820312,,
285,773,301.0,27,221184,773.33655,2.1457672119140625e-06,0.9994673728942871,0.0,1e-05,-0.00020491381001193077,-5.673610335588455,260,5.3096323e-05,17132.044921875,0.2,28732.141796875,,
286,801,301.0,28,229376,854.1989,5.364418029785156e-07,0.9994865655899048,0.0,1e-05,-4.2898443643935026e-05,-5.673645710945129,270,1.3409299e-05,9125.529296875,0.2,19323.818212890626,,
285,831,301.0,29,237568,883.42847,2.1457672119140625e-06,0.9995086193084717,0.0,1e-05,-0.00023385522072203458,-5.673733848333359,280,7.146263e-05,11063.240234375,0.2,23031.261010742186,,
285,859,301.0,30,245760,860.12134,1.3709068298339844e-06,0.9994959235191345,0.0,1e-05,-0.00010931888100458309,-5.673762488365173,290,3.2112606e-05,12017.814453125,0.2,24278.872314453125,,
285,888,301.0,31,253952,921.5989,5.960464477539062e-07,0.9994832873344421,0.0,1e-05,-0.0003150766686303541,-5.673701298236847,300,0.00011806578,11009.6650390625,0.2,20305.69562988281,,
285,917,301.0,32,262144,907.95306,1.0132789611816406e-06,0.9994736313819885,0.0,1e-05,-0.00014146690518828108,-5.673656409978866,310,3.951515e-05,16511.546875,0.2,30908.08408203125,,
285,945,301.0,33,270336,947.5047,7.748603820800781e-07,0.999422550201416,0.0,1e-05,-0.000502872935612686,-5.6735450565814975,320,0.00018085714,14479.2412109375,0.2,21928.682458496092,,
285,974,301.0,34,278528,951.32135,6.556510925292969e-07,0.9993988275527954,0.0,1e-05,-0.0001729671232169494,-5.673378920555114,330,6.415617e-05,14482.2099609375,0.2,26336.58498535156,,
285,1003,301.0,35,286720,908.26154,-2.384185791015625e-07,0.9994218945503235,0.0,1e-05,-0.00023251061502378435,-5.673379874229431,340,8.255044e-05,12380.1552734375,0.2,21737.8568359375,,
285,1031,301.0,36,294912,874.4551,8.344650268554688e-07,0.9994614124298096,0.0,1e-05,-0.00018056766275549309,-5.67350782752037,350,7.045038e-05,10706.8681640625,0.2,20613.067297363283,,
285,1060,301.0,37,303104,799.89374,7.748603820800781e-07,0.9994409680366516,0.0,1e-05,-0.00018138994346372783,-5.673558765649796,360,8.555526e-05,11801.0615234375,0.2,19492.393188476562,,
285,1088,301.0,38,311296,831.97064,7.748603820800781e-07,0.9995006322860718,0.0,1e-05,-0.0004883288958808408,-5.673604595661163,370,0.00018988247,12334.8427734375,0.2,23015.24071044922,,
286,1116,301.0,39,319488,897.96716,5.960464477539063e-08,0.9995062351226807,0.0,1e-05,-0.0003155743033858016,-5.673771798610687,380,0.00013840583,13003.3115234375,0.2,24940.982788085938,,
286,1145,301.0,40,327680,961.9607,3.5762786865234375e-07,0.999485194683075,0.0,1e-05,-0.00025271909689763563,-5.673728740215301,390,0.00010804348,15669.3388671875,0.2,31533.38723144531,,
286,1173,301.0,41,335872,978.2088,5.960464477539063e-08,0.9994614124298096,0.0,1e-05,-0.00015771345933899284,-5.6736319184303285,400,5.9385944e-05,12722.16796875,0.2,31030.637084960938,,
286,1202,301.0,42,344064,980.6399,2.980232238769531e-07,0.9993820786476135,0.0,1e-05,-0.00022477518941741437,-5.6734358191490175,410,0.00010559925,10478.73046875,0.2,21678.622888183592,,
286,1230,301.0,43,352256,957.40063,2.980232238769531e-07,0.9993399381637573,0.0,1e-05,-0.0001969172095414251,-5.673176622390747,420,8.424554e-05,14676.228515625,0.2,30060.14743652344,,
286,1259,301.0,44,360448,994.7551,1.1920928955078125e-07,0.9993149042129517,0.0,1e-05,-0.000135567388497293,-5.673042869567871,430,5.6810437e-05,20001.435546875,0.2,36251.66362304687,,
286,1288,301.0,45,368640,1094.5562,1.7881393432617188e-07,0.9993802309036255,0.0,1e-05,-8.759211050346494e-05,-5.673113924264908,440,4.184794e-05,17700.416015625,0.2,31295.64895019531,,
286,1317,301.0,46,376832,1024.499,1.1920928955078125e-07,0.9993349313735962,0.0,1e-05,-0.00026440712026669643,-5.673194217681885,450,7.955768e-05,19614.9296875,0.2,34063.363110351565,,
286,1345,301.0,47,385024,992.5188,0.0,0.9992986917495728,0.0,1e-05,-0.00012421184292179532,-5.672993421554565,460,7.777103e-05,12167.2470703125,0.2,20199.248876953126,,
286,1374,301.0,48,393216,976.495,1.1920928955078125e-07,0.999347984790802,0.0,1e-05,-0.0001231237780302763,-5.673008358478546,470,5.831012e-05,13407.8974609375,0.2,31786.033154296874,,
,,,,400000,,4.172325134277344e-07,0.9993091821670532,0.0,1e-05,-0.000639350528945215,-5.6730656087398526,480,0.00033107336,18953.21484375,0.2,34058.98044433594,301.0,451.5353088378906
268,1495,301.0,49,401408,879.678,,,,,,,,,,,,,
268,1524,301.0,50,409600,971.5848,1.7881393432617188e-07,0.9992811679840088,0.0,1e-05,-0.00043212991877226157,-5.672906851768493,490,0.00036810077,12661.080078125,0.2,21025.730065917967,,
268,1553,301.0,51,417792,976.633,-1.1920928955078125e-07,0.9992520213127136,0.0,1e-05,-3.016476985067129e-05,-5.672803413867951,500,1.744213e-05,31246.716796875,0.2,50476.611083984375,,
269,1582,301.0,52,425984,936.52734,-1.1920928955078125e-07,0.999180257320404,0.0,1e-05,-0.0002834472332324367,-5.67260952591896,510,0.00015721055,15620.7861328125,0.2,30310.159741210937,,
269,1612,301.0,53,434176,945.9707,1.7881393432617188e-07,0.9989991188049316,0.0,1e-05,-0.0004354819073341787,-5.672117614746094,520,0.00029929497,11890.62890625,0.2,25737.956469726563,,
269,1640,301.0,54,442368,819.3679,1.1920928955078125e-07,0.9989831447601318,0.0,1e-05,-0.00013018878235016018,-5.671663153171539,530,0.00010873918,12007.349609375,0.2,28794.495654296876,,
269,1669,301.0,55,450560,819.49646,-1.1920928955078125e-07,0.9990410804748535,0.0,1e-05,-0.00018797078810166566,-5.67176793217659,540,0.00012783377,12267.9462890625,0.2,23714.9447265625,,
270,1698,301.0,56,458752,870.6847,-1.1920928955078125e-07,0.9990510940551758,0.0,1e-05,-0.00042826761055039244,-5.671928364038467,550,0.0003033138,13470.45703125,0.2,27863.48078613281,,
270,1727,301.0,57,466944,865.10986,1.1920928955078125e-07,0.9989866018295288,0.0,1e-05,-0.00019812518585240468,-5.671823620796204,560,0.00014423375,16820.291015625,0.2,34749.95446777344,,
270,1756,301.0,58,475136,858.3565,0.0,0.9989162683486938,0.0,1e-05,-0.00020725624199258164,-5.671545326709747,570,0.00016621812,15370.6103515625,0.2,30189.1021484375,,
270,1784,301.0,59,483328,909.86694,5.960464477539063e-08,0.9988490343093872,0.0,1e-05,-0.00046342617424670606,-5.671256190538406,580,0.00039436348,13829.5634765625,0.2,28503.82028808594,,
271,1813,301.0,60,491520,900.8324,1.1920928955078125e-07,0.9988298416137695,0.0,1e-05,-0.00043149037956027316,-5.671065485477447,590,0.0003111616,13676.654296875,0.2,39177.60305175781,,
271,1842,301.0,61,499712,888.8778,1.7881393432617188e-07,0.99878990650177,0.0,1e-05,-0.000416396876971703,-5.670965212583542,600,0.0004456896,10241.1728515625,0.2,25093.446215820313,,
271,1870,301.0,62,507904,894.94037,1.1920928955078125e-07,0.9987384080886841,0.0,1e-05,-0.0004618829138053115,-5.670784145593643,610,0.00043742722,15581.6982421875,0.2,32728.1033203125,,
271,1899,301.0,63,516096,845.918,1.1920928955078125e-07,0.99858158826828,0.0,1e-05,-0.0001973111866391264,-5.670374661684036,620,0.0001475509,18736.369140625,0.2,36883.47890625,,
271,1927,301.0,64,524288,749.39,1.1920928955078125e-07,0.9985605478286743,0.0,1e-05,-0.00031694315985077994,-5.669978684186935,630,0.00030863454,21906.474609375,0.2,35068.91513671875,,
272,1956,301.0,65,532480,727.35376,0.0,0.9985485076904297,0.00238037109375,1e-05,-0.0015867977839661763,-5.669930225610733,640,0.0032286446,7201.70556640625,0.2,17544.159924316406,,
272,1984,301.0,66,540672,621.05414,0.0,0.9985240697860718,0.0,1e-05,-6.655833567492664e-05,-5.669839036464691,650,0.00010689692,13592.689453125,0.2,27829.636450195314,,
272,2013,301.0,67,548864,594.3563,0.0,0.9983623027801514,0.0,1e-05,-0.00016096940453280695,-5.669523811340332,660,0.00017840852,15514.1298828125,0.2,26562.86796875,,
272,2042,301.0,68,557056,601.0168,0.0,0.9982415437698364,0.0,1e-05,-0.0004021492204628885,-5.668911772966385,670,0.0003916188,20528.763671875,0.2,35626.92138671875,,
272,2071,301.0,69,565248,606.6703,0.0,0.9982138872146606,0.0,1e-05,-0.00019854139973176643,-5.668599718809128,680,0.00021625229,12250.4208984375,0.2,31754.4978515625,,
272,2100,301.0,70,573440,610.0027,0.0,0.998100221157074,0.0,1e-05,-0.00011833582248073071,-5.66835326552391,690,0.00017300245,16646.615234375,0.2,32260.294799804688,,
273,2129,301.0,71,581632,669.06976,-1.1920928955078125e-07,0.9979305267333984,0.0,1e-05,-0.000270814479154069,-5.667817318439484,700,0.0004189193,16240.4677734375,0.2,26630.931079101563,,
273,2158,301.0,72,589824,664.57245,0.0,0.9978599548339844,0.0,1e-05,-0.0002411225374089554,-5.667247295379639,710,0.00020416532,22235.822265625,0.2,37353.35607910156,,
273,2187,301.0,73,598016,612.6313,0.0,0.9980047941207886,0.0,1e-05,-0.00026887137064477427,-5.667403876781464,720,0.00035178702,23367.75390625,0.2,36339.76123046875,,
273,2215,301.0,74,606208,617.7086,0.0,0.99810391664505,0.0,1e-05,-3.636243345681578e-05,-5.6679134786129,730,5.6491313e-05,17922.091796875,0.2,32172.035400390625,,
273,2246,301.0,75,614400,600.9484,-1.1920928955078125e-07,0.9980488419532776,0.0,1e-05,-0.000251244411629159,-5.668024027347565,740,0.0003877602,12981.4912109375,0.2,31412.97575683594,,
273,2274,301.0,76,622592,557.0902,5.960464477539063e-08,0.9977753758430481,0.0,1e-05,-0.000360675151750911,-5.6673279225826265,750,0.00069211744,13679.6953125,0.2,28480.552490234375,,
273,2304,301.0,77,630784,582.80835,0.0,0.99757981300354,0.0,1e-05,-5.0140946405008437e-05,-5.666408115625382,760,6.798424e-05,17591.671875,0.2,32341.90524902344,,
273,2332,301.0,78,638976,583.1994,0.0,0.9975948333740234,0.0,1e-05,-0.0006871702658827417,-5.6659914493560795,770,0.0009651287,19633.259765625,0.2,36231.58752441406,,
274,2361,301.0,79,647168,574.1408,0.0,0.9975637793540955,0.0,1e-05,-0.00021926455374341459,-5.66602509021759,780,0.0002748748,18913.27734375,0.2,41856.75278320313,,
274,2390,301.0,80,655360,573.4701,0.0,0.9972279667854309,3.662109375e-05,1e-05,-0.0007523334075813182,-5.665340805053711,790,0.0013789253,15337.314453125,0.2,34682.16101074219,,
274,2418,301.0,81,663552,525.0915,-1.1920928955078125e-07,0.9973503351211548,1.220703125e-05,1e-05,-0.0003829642781056464,-5.664760619401932,800,0.0008206664,25277.15625,0.2,36329.923583984375,,
274,2447,301.0,82,671744,506.06796,-1.1920928955078125e-07,0.9974313974380493,0.0,1e-05,-0.00042545048054307697,-5.665243220329285,810,0.00073964347,18668.896484375,0.2,35083.4171875,,
274,2476,301.0,83,679936,502.4905,0.0,0.9972094297409058,0.0014404296875,1e-05,-0.001385289702739101,-5.665050292015076,820,0.0028044418,17628.8984375,0.2,34095.53754882813,,
274,2504,301.0,84,688128,514.3264,-1.1920928955078125e-07,0.9972409009933472,0.0,1e-05,-0.00046606882606283764,-5.664533191919327,830,0.0008082831,17780.69921875,0.2,38326.75007324219,,
274,2533,301.0,85,696320,486.71884,0.0,0.9972620010375977,0.0,1e-05,-0.0003891618820489384,-5.664671385288239,840,0.0005383925,21313.169921875,0.2,47568.80361328125,,
275,2561,301.0,86,704512,469.02472,0.0,0.997346043586731,0.013037109375,1e-05,-0.000604954911977984,-5.665138018131256,850,0.006365684,23565.8046875,0.2,41709.01472167969,,
275,2590,301.0,87,712704,411.8484,0.0,0.9973336458206177,0.0,1e-05,-0.00012287370045669377,-5.664982300996781,860,0.0001742166,25563.123046875,0.2,48002.5810546875,,
275,2618,301.0,88,720896,438.4036,0.0,0.9973067045211792,0.0,1e-05,-1.9275913655292242e-05,-5.664942461252212,870,5.3243493e-06,27489.23046875,0.2,46235.24360351563,,
275,2647,301.0,89,729088,388.8956,-1.1920928955078125e-07,0.9973114728927612,0.0,1e-05,-9.075428242795169e-05,-5.664906233549118,880,7.656421e-05,23819.166015625,0.2,51615.58823242188,,
275,2675,301.0,90,737280,335.6228,0.0,0.9973077774047852,0.0,1e-05,-0.00018204318985226564,-5.6648194789886475,890,0.00057234656,21367.984375,0.2,41495.196044921875,,
275,2704,301.0,91,745472,312.74902,-1.1920928955078125e-07,0.9973586201667786,0.0205078125,1e-05,-3.96022733184509e-06,-5.66515566110611,900,0.00014508978,20898.5234375,0.2,37505.32626953125,,
275,2733,301.0,92,753664,314.986,0.0,0.9973658323287964,0.02100830078125,1e-05,-0.0018660550005733967,-5.665121370553971,910,0.0035474268,20772.6875,0.2,46235.882421875,,
275,2761,301.0,93,761856,302.07074,0.0,0.9973664283752441,0.0,1e-05,3.236562915844843e-05,-5.665122485160827,920,4.9002265e-05,23802.7265625,0.2,46126.152587890625,,
275,2790,301.0,94,770048,313.1724,0.0,0.9972810745239258,0.0,1e-05,-0.000385991859366186,-5.6650463998317715,930,0.00084569695,13827.857421875,0.2,31602.735205078126,,
276,2819,301.0,95,778240,315.24335,0.0,0.9971926212310791,0.0,1e-05,-8.953558426583186e-05,-5.664482295513153,940,0.0012510944,22167.552734375,0.2,44583.95803222656,,
276,2847,301.0,96,786432,322.38025,0.0,0.9970989227294922,0.0,1e-05,-0.00018449610797688365,-5.664132863283157,950,0.00013265107,17559.814453125,0.2,35596.854711914064,,
276,2876,301.0,97,794624,380.42142,-1.1920928955078125e-07,0.9970865845680237,0.0,1e-05,-6.236745102796703e-05,-5.6640321016311646,960,3.8816972e-05,14987.515625,0.2,37047.79631347656,,
,,,,800000,,1.1920928955078125e-07,0.9970698356628418,0.0,1e-05,-0.0004913224096526392,-5.663938271999359,970,0.0006977712,23224.29296875,0.2,40835.28813476562,177.98,-5051.244140625
271,2957,301.0,98,802816,416.10895,,,,,,,,,,,,,
271,2986,301.0,99,811008,466.02567,0.0,0.9970682263374329,0.0,1e-05,-2.9291630198713392e-05,-5.6639356195926664,980,8.399977e-06,30547.9296875,0.2,53915.28515625,,
271,3015,301.0,100,819200,452.6204,-1.1920928955078125e-07,0.9970576763153076,0.0,1e-05,-2.280540211359039e-05,-5.6639117181301115,990,1.04723e-05,23271.89453125,0.2,44531.8369140625,,
271,3044,301.0,101,827392,437.70743,0.0,0.9969899654388428,0.0,1e-05,-0.00018595073925098404,-5.663746660947799,1000,8.959556e-05,20477.921875,0.2,40379.792651367185,,
271,3073,301.0,102,835584,358.8204,0.0,0.9969937801361084,0.0,1e-05,1.5602679923176766e-06,-5.663622331619263,1010,1.2032746e-05,25004.95703125,0.2,50585.68984375,,
271,3102,301.0,103,843776,281.95593,0.0,0.9969647526741028,0.0,1e-05,0.0003346115321619436,-5.6636468946933745,1020,0.00017731069,17676.736328125,0.2,37785.027124023436,,
272,3131,301.0,104,851968,265.79514,-1.1920928955078125e-07,0.9969421625137329,0.0,1e-05,-0.00034462045005057007,-5.6634949266910555,1030,0.00093743263,15562.3935546875,0.2,38118.94077148438,,
272,3160,301.0,105,860160,286.49783,0.0,0.9969135522842407,0.0,1e-05,-0.00015516238199779763,-5.663325643539428,1040,0.0002846956,21345.0546875,0.2,36295.98972167969,,
