Episode,Reward
1,8.051522
2,233.18694
3,-19342.453
4,-35.436974
5,-5157.6357
6,1265.5896
7,-6155.3066
8,-8194.143
9,66.23665
10,95.87861
11,-17.504778
12,-37488.36
13,-32.23743
14,-24375.375
15,115.27432
16,-24363.2
17,32.06553
18,-18302.656
19,56.720337
20,-40525.984
21,-16281.839
22,193.54039
23,-956.79596
24,190.08154
25,-5162.326
26,-5160.3564
27,-24372.31
28,1070.4977
29,-18299.717
30,-27.102224
31,1181.5155
32,150.99625
33,113.01076
34,-8.15308
35,-4058.0168
36,55.42567
37,-4127.3423
38,1027.8887
39,-6153.1177
40,-20322.787
41,34.62379
42,259.2143
43,-8215.566
44,-36483.855
45,76.3215
46,-24369.398
47,115.37543
48,341.90045
49,-86.82018
50,221.64392
51,187.23445
52,183.94606
53,107.56488
54,-14.018325
55,1063.2736
56,-5036.072
57,-2973.5974
58,1047.1282
59,-14268.752
60,-6163.009
61,-11208.899
62,-74.96785
63,-15282.617
64,-4117.7256
65,-5.1305556
66,106.06757
67,-14298.877
68,-15269.896
69,-10223.67
70,-10213.365
71,-28401.508
72,-16276.325
73,-12259.628
74,357.9557
75,-14114.252
76,1115.1016
77,-2115.6692
78,-22342.846
79,44.87099
80,-11231.66
81,194.35458
82,31.570429
83,-22341.81
84,-22344.309
85,-16297.45
86,-36479.027
87,208.49078
88,269.2316
89,-21332.498
90,-87.406975
91,-87.38014
92,-18334.9
93,165.62325
94,-10219.119
95,-18317.969
96,-2107.0996
97,-55.883896
98,-8199.98
99,274.32956
100,214.39737
