time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,eval/mean_reward,eval/mean_ep_length
29,1,301.0,8192,281,178.65327,,,,,,,,,,,,,
56,2,301.0,16384,289,229.95242,0.2,10,7897.28486328125,-0.002411387686152011,3945.152099609375,0.9962583780288696,0.0643310546875,0.005590377,-5.670601224899292,0.001,3.0994415283203125e-06,,
85,3,301.0,24576,289,250.55759,0.2,20,5950.249169921875,-0.0011414225329644978,2969.21630859375,0.9918566942214966,0.0473876953125,0.010016786,-5.653031349182129,0.001,0.0002588629722595215,,
113,4,301.0,32768,289,299.16,0.2,30,7348.287158203125,0.0004090184695087373,3669.087646484375,0.9882305860519409,0.00284423828125,0.00293804,-5.635530233383179,0.001,3.5762786865234375e-06,,
141,5,301.0,40960,290,375.61966,0.2,40,10093.9783203125,-0.002129852562211454,5039.072265625,0.9866054058074951,0.06214599609375,0.013249183,-5.624859619140625,0.001,1.1920928955078125e-07,,
169,6,301.0,49152,290,433.00726,0.2,50,14551.319140625,-0.0006789934588596225,7266.03564453125,0.9859681725502014,0.00540771484375,0.004516471,-5.620328092575074,0.001,0.0,,
197,7,301.0,57344,290,470.81894,0.2,60,18786.3119140625,-0.001225897902622819,9382.716796875,0.9857094287872314,0.01295166015625,0.0069065085,-5.618609285354614,0.001,0.0,,
225,8,301.0,65536,290,474.48672,0.2,70,17487.155859375,0.0004719067539554089,8733.720703125,0.9854135513305664,0.0,0.0009062989,-5.617592239379883,0.001,1.1920928955078125e-07,,
253,9,301.0,73728,290,503.64178,0.2,80,14787.5056640625,-0.0006861388217657804,7385.28466796875,0.9849427342414856,0.01982421875,0.0067772986,-5.616140365600586,0.001,-1.1920928955078125e-07,,
281,10,301.0,81920,290,517.63916,0.2,90,17816.3091796875,-0.0003201562911272049,8894.8896484375,0.9846996665000916,3.662109375e-05,0.0013890017,-5.614376640319824,0.001,1.1920928955078125e-07,,
309,11,301.0,90112,290,498.51437,0.2,100,15428.0626953125,-0.0006686172331683337,7706.982421875,0.984498143196106,0.00535888671875,0.004859346,-5.613744449615479,0.001,-1.1920928955078125e-07,,
337,12,301.0,98304,290,502.16556,0.2,110,14329.53916015625,-0.0009303268860094249,7156.7890625,0.9834932088851929,0.05467529296875,0.010030406,-5.6117242813110355,0.001,-1.1920928955078125e-07,,
365,13,301.0,106496,291,492.51755,0.2,120,13741.1732421875,-0.0008021629531867802,6860.306640625,0.9824947118759155,0.01090087890625,0.005340426,-5.607086277008056,0.001,-1.1920928955078125e-07,,
394,14,301.0,114688,290,467.41574,0.2,130,13947.85107421875,-0.0009193061792757362,6966.1572265625,0.9820667505264282,0.017529296875,0.0072345026,-5.604057312011719,0.001,0.0,,
421,15,301.0,122880,291,438.2414,0.2,140,13291.90126953125,-0.0005746916169300676,6639.607421875,0.9818985462188721,0.0136962890625,0.00600014,-5.602951622009277,0.001,0.0,,
449,16,301.0,131072,291,414.23663,0.2,150,12731.28896484375,-0.0009254122618585825,6361.09033203125,0.981662392616272,0.03712158203125,0.009057818,-5.602292537689209,0.001,-1.1920928955078125e-07,,
477,17,301.0,139264,291,421.2094,0.2,160,11318.99150390625,-0.0006515612360090018,5654.673828125,0.9809620380401611,0.0357421875,0.006422137,-5.600467681884766,0.001,0.0,,
505,18,301.0,147456,291,393.31302,0.2,170,18757.7314453125,-0.0014597955741919577,9371.73046875,0.9796345233917236,0.0770751953125,0.0117004225,-5.596505784988404,0.001,0.0,,
534,19,301.0,155648,291,390.51965,0.2,180,11484.84560546875,-0.001596804358996451,5739.64794921875,0.9767959117889404,0.06053466796875,0.00244293,-5.589030647277832,0.001,0.0,,
562,20,301.0,163840,291,375.65915,0.2,190,13449.9376953125,-0.0007989846344571561,6721.88720703125,0.9731850624084473,0.03267822265625,0.005397223,-5.575005769729614,0.001,0.0,,
589,21,301.0,172032,291,352.65768,0.2,200,13765.9552734375,-0.0015917743905447424,6880.736328125,0.9707262516021729,0.04521484375,0.004627907,-5.5618500232696535,0.001,0.0,,
617,22,301.0,180224,291,298.41028,0.2,210,17555.269140625,-0.001884187140967697,8776.4990234375,0.9693560600280762,0.06795654296875,0.008954904,-5.554015398025513,0.001,0.0,,
645,23,301.0,188416,291,219.56631,0.2,220,10540.5935546875,0.00030717774061486127,5270.6005859375,0.9693530797958374,0.03751220703125,0.0047463086,-5.549862813949585,0.001,-1.1920928955078125e-07,,
673,24,301.0,196608,291,169.42674,0.2,230,11477.47412109375,-0.0011083760298788547,5737.51513671875,0.9690214395523071,0.04989013671875,0.0017280199,-5.550310945510864,0.001,0.0,,
702,25,301.0,204800,291,153.38148,0.2,240,13139.969140625,-0.00038691321387887003,6566.205078125,0.9671044945716858,0.01568603515625,0.0039374135,-5.54566912651062,0.001,0.0,,
729,26,301.0,212992,291,156.55493,0.2,250,12476.04912109375,-0.000988439004868269,6235.30810546875,0.9640730619430542,0.0262939453125,0.0050683916,-5.535661458969116,0.001,0.0,,
757,27,301.0,221184,291,154.56151,0.2,260,8030.426611328125,-0.001105199076118879,4008.758056640625,0.9614312648773193,0.0401123046875,0.009664638,-5.522814178466797,0.001,0.0,,
785,28,301.0,229376,291,196.15776,0.2,270,11147.36513671875,0.005867101333569736,5573.625,0.9631626605987549,0.22435302734375,0.076568805,-5.518918037414551,0.001,-1.1920928955078125e-07,,
814,29,301.0,237568,291,169.20543,0.2,280,9921.88662109375,0.02326005862560123,4959.8896484375,0.967814564704895,0.5380126953125,0.09522382,-5.532498168945312,0.001,0.0,,
841,30,301.0,245760,291,164.74031,0.2,290,18356.99453125,0.004902064916677773,9176.359375,0.9701288342475891,0.19049072265625,0.007707731,-5.547682285308838,0.001,1.1920928955078125e-07,,
869,31,301.0,253952,291,73.13829,0.2,300,11326.48955078125,0.00450375338550657,5657.064453125,0.9705367088317871,0.12796630859375,0.012790567,-5.552879476547242,0.001,0.0,,
897,32,301.0,262144,292,52.982975,0.2,310,10287.873828125,-0.001422636758070439,5134.99658203125,0.9705861806869507,0.0283447265625,0.008077891,-5.553349542617798,0.001,-1.1920928955078125e-07,,
925,33,301.0,270336,292,43.871376,0.2,320,12714.9931640625,-0.00038242010050453245,6351.93701171875,0.970659613609314,4.8828125e-05,0.0014061499,-5.553573513031006,0.001,-1.1920928955078125e-07,,
953,34,301.0,278528,292,18.885962,0.2,330,16267.55478515625,-0.0006880999600980431,8131.0791015625,0.9712157249450684,0.0122802734375,0.006043859,-5.554560756683349,0.001,-1.1920928955078125e-07,,
980,35,301.0,286720,292,79.33018,0.2,340,9984.28125,4.9997138557955625e-05,4981.98681640625,0.9715510606765747,1.220703125e-05,0.0011710664,-5.556678724288941,0.001,0.0,,
1007,36,301.0,294912,292,54.263912,0.2,350,14013.88056640625,-0.00015272271120920778,6998.67919921875,0.9717321395874023,0.0,0.0007191646,-5.557556200027466,0.001,1.3709068298339844e-06,,
1036,37,301.0,303104,292,8.219617,0.2,360,18175.9056640625,-0.0008051913580857217,9079.07421875,0.9722005724906921,0.01776123046875,0.0073915264,-5.558754348754883,0.001,0.0,,
1063,38,301.0,311296,292,13.727361,0.2,370,9567.55751953125,7.815114804543554e-06,4755.3173828125,0.9726091623306274,0.0,0.0010586965,-5.5607787609100345,0.001,1.0728836059570312e-06,,
1091,39,301.0,319488,292,45.71876,0.2,380,12601.64892578125,-0.00042148244683630763,6282.13232421875,0.972811222076416,0.00069580078125,0.0024966507,-5.5621849536895756,0.001,5.960464477539062e-07,,
1118,40,301.0,327680,292,45.922287,0.2,390,20870.656640625,0.0005213486962020397,10435.3154296875,0.9642991423606873,0.082763671875,0.006466385,-5.551297616958618,0.001,0.0,,
1145,41,301.0,335872,293,26.613533,0.2,400,10748.20869140625,0.019722076680045574,5371.21923828125,0.9543548822402954,0.44189453125,0.09514481,-5.505184984207153,0.001,4.76837158203125e-07,,
1173,42,301.0,344064,293,-5.437818,0.2,410,5771.119189453125,4.324697656556964e-05,2861.39404296875,0.950930655002594,0.0,0.0008523304,-5.477941799163818,0.001,3.5762786865234375e-07,,
1200,43,301.0,352256,293,-80.5844,0.2,420,8553.253515625,-3.764356952160597e-05,4253.92138671875,0.9497630596160889,0.0,0.00024305467,-5.468522691726685,0.001,-2.384185791015625e-07,,
1228,44,301.0,360448,293,-112.992226,0.2,430,6302.26630859375,-0.0003086396667640656,3142.1591796875,0.9493837356567383,0.0,0.00079911394,-5.465345621109009,0.001,-1.1920928955078125e-07,,
1255,45,301.0,368640,293,-88.803444,0.2,440,7949.54619140625,1.6393500845879317e-05,3965.16552734375,0.9494096636772156,0.0,0.00059420837,-5.46451210975647,0.001,0.0,,
1283,46,301.0,376832,293,-79.48751,0.2,450,6206.899365234375,3.0704407254233954e-05,3094.261962890625,0.9495554566383362,0.0,0.0001379284,-5.464937925338745,0.001,-1.1920928955078125e-07,,
1310,47,301.0,385024,293,-77.188255,0.2,460,6672.034521484375,-4.127549473196268e-05,3329.229736328125,0.9496434926986694,0.0,0.00013316408,-5.465413379669189,0.001,0.0,,
1337,48,301.0,393216,293,-52.032337,0.2,470,7275.166162109375,-0.0006179938674904407,3630.7568359375,0.9497604370117188,0.0001708984375,0.0020469762,-5.465755605697632,0.001,-1.1920928955078125e-07,,
,,,400000,,,0.2,480,12188.30869140625,-0.0007843482511816546,6092.138671875,0.9502862095832825,0.00443115234375,0.004409838,-5.466782474517823,0.001,0.0,-1709.25927734375,300.95
1456,49,301.0,401408,275,-18.606543,,,,,,,,,,,,,
1485,50,301.0,409600,275,30.940912,0.2,490,10659.798046875,-0.0017728343838825822,5329.76904296875,0.9489779472351074,0.08582763671875,0.0073953876,-5.467488050460815,0.001,0.0,,
1512,51,301.0,417792,276,76.76277,0.2,500,8657.26103515625,6.932083051651717e-05,4328.29443359375,0.9466791152954102,0.084375,0.0057076635,-5.456214141845703,0.001,0.0,,
1540,52,301.0,425984,276,110.14703,0.2,510,11211.2123046875,6.7659342312254e-05,5605.5048828125,0.9457169771194458,0.051123046875,0.0060401973,-5.449067068099976,0.001,-1.1920928955078125e-07,,
1568,53,301.0,434176,276,102.96311,0.2,520,13668.14091796875,-0.000542356597725302,6831.05224609375,0.9453577399253845,0.0161865234375,0.0064442847,-5.446224355697632,0.001,0.0,,
1595,54,301.0,442368,277,56.802048,0.2,530,9994.61533203125,-0.00016850264510139822,4997.095703125,0.945631206035614,0.0005615234375,0.0021394875,-5.445744419097901,0.001,0.0,,
1622,55,301.0,450560,277,18.873583,0.2,540,6340.21162109375,-0.0006162838195450604,3166.3359375,0.9460393190383911,1.220703125e-05,0.0014556976,-5.447397518157959,0.001,0.0,,
1650,56,301.0,458752,277,-36.07351,0.2,550,7870.82177734375,-0.00045119748101569713,3930.99609375,0.9463706016540527,0.000146484375,0.0017575952,-5.44887261390686,0.001,-1.1920928955078125e-07,,
1677,57,301.0,466944,278,-60.78362,0.2,560,10977.51142578125,-0.00014291429542936384,5484.884765625,0.9468109607696533,1.220703125e-05,0.001118715,-5.450326919555664,0.001,0.0,,
1705,58,301.0,475136,278,20.915283,0.2,570,10238.8607421875,-0.0013658366282470525,5116.8642578125,0.9474588632583618,0.036376953125,0.009814593,-5.45264310836792,0.001,0.0,,
1732,59,301.0,483328,278,23.099028,0.2,580,8219.67646484375,-0.0011233021970838309,4109.8740234375,0.946603000164032,0.071044921875,0.0065769777,-5.453408050537109,0.001,0.0,,
1760,60,301.0,491520,279,108.640205,0.2,590,7015.21982421875,-0.0016003359516616911,3507.571533203125,0.9523274302482605,0.0719970703125,0.0022317495,-5.457191848754883,0.001,-1.1920928955078125e-07,,
1788,61,301.0,499712,279,225.95778,0.2,600,9729.07939453125,0.00046093406854197383,4863.6484375,0.9597601890563965,0.18660888671875,0.027670156,-5.491267204284668,0.001,0.0,,
1816,62,301.0,507904,279,476.2412,0.2,610,10558.40908203125,-3.3064919989556074e-05,5267.9833984375,0.9623034000396729,0.0,0.0005519416,-5.511136198043824,0.001,0.0,,
