rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/std,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
301.0,1,35,8192,233,-136.40512,,,,,,,,,,,,,
211.0,2,68,16384,238,-1122.1866,-5.9717730432748795,1.086998701095581,0.2,46.03942,-1.823902130126953e-05,1283.9835928440093,1121.3262939453125,0.97303466796875,10,0.1540508222678909,0.01,,
179.53,3,102,24576,240,-1670.6216,-5.974898129701614,1.055018663406372,0.2,47.4855,0.0,51605.62574462891,25875.8984375,0.17183837890625,20,0.04919968387184781,0.01,,
181.22,4,135,32768,241,-3390.0227,-5.8877613753080364,1.0807658433914185,0.2,254.7435,0.0,32652.583276367186,11449.7197265625,0.4144775390625,30,0.0904056315892376,0.01,,
181.34,5,168,40960,242,-5404.237,-5.95689546763897,1.0806825160980225,0.2,0.0024824026,0.0,2353844.49140625,1169531.625,0.01802978515625,40,-0.0005867310021130834,0.01,,
177.01,6,203,49152,241,-5340.131,-5.958896681666374,1.082566499710083,0.2,0.0045570284,-1.1920928955078125e-07,3002436.15078125,1232617.875,0.02169189453125,50,-0.0008233741449657827,0.01,,
177.02,7,237,57344,241,-4774.548,-5.962975987792015,1.082768440246582,0.2,0.010082079,0.0,1711569.71875,952083.9375,0.04278564453125,60,0.0008840071670420003,0.01,,
177.02,8,272,65536,240,-4798.697,-5.96759686768055,1.0940563678741455,0.2,3.6092296,0.0,2712259.646875,1382458.125,0.14276123046875,70,0.038422744491981575,0.01,,
177.56,9,307,73728,239,-4585.828,-6.029143771529197,1.0963119268417358,0.2,34.23562,0.0,1756454.288671875,929268.0625,0.71734619140625,80,0.12767418243020073,0.01,,
212.27,10,341,81920,239,-3179.6426,-6.105272135138511,1.1269400119781494,0.2,21.015848,-1.1920928955078125e-07,1803481.87265625,805440.3125,0.82501220703125,90,0.1632592784255394,0.01,,
242.03,11,376,90112,239,-1829.4597,-6.131474795937538,1.1233587265014648,0.2,0.0040948605,0.0,114712.86010742188,39630.46484375,0.02386474609375,100,-0.001164684892864898,0.01,,
276.43,12,411,98304,238,-347.38284,-6.1148959517478945,1.1181570291519165,0.2,0.0038486621,0.0,87690.90095214844,35963.55859375,0.02899169921875,110,-0.0008389650873141363,0.01,,
301.0,13,446,106496,238,610.12616,-6.096253138780594,1.1115539073944092,0.2,0.005408465,5.960464477539063e-08,74397.99594726562,23261.7890625,0.0326904296875,120,-0.0004311859949666541,0.01,,
301.0,14,482,114688,237,729.98517,-6.079585093259811,1.1457868814468384,0.2,0.63127446,0.0,57750.08193359375,21788.685546875,0.1399658203125,130,0.021817615047621076,0.01,,
252.1,15,517,122880,237,-432.04883,-6.2786140739917755,1.1489583253860474,0.2,192.1133,-1.1920928955078125e-07,39369.16018066406,17500.771484375,0.38787841796875,140,0.06925238433905179,0.01,,
198.14,16,552,131072,237,-2755.8684,-6.2802336543798445,1.1732492446899414,0.2,328.74268,0.0,160453.4431274414,91413.0859375,0.88350830078125,150,0.14198229387402533,0.01,,
177.98,17,586,139264,237,-3859.9265,-6.283807477355003,1.165273666381836,0.2,0.0043091485,1.1920928955078125e-07,2015347.85625,967052.5625,0.043017578125,160,-0.0011108517224784008,0.01,,
176.97,18,621,147456,237,-4508.6426,-6.273131632804871,1.1979341506958008,0.2,0.13245128,0.0,1437955.87421875,838488.8125,0.21990966796875,170,0.01783882247618749,0.01,,
177.35,19,656,155648,237,-4815.075,-6.417877379059791,1.236742615699768,0.2,2.1348245,0.0,2585423.4625,1359073.5,0.57059326171875,180,0.12595561249763704,0.01,,
178.54,20,690,163840,237,-4321.948,-6.530318102240562,1.2546088695526123,0.2,14.076544,1.1920928955078125e-07,2040540.0625,750584.3125,0.9849365234375,190,0.20636286706430837,0.01,,
171.98,21,726,172032,236,-3121.5354,-6.870888885855675,1.4293849468231201,0.2,162.86473,0.0,1590982.71171875,679344.4375,0.7211181640625,200,0.13958802039414878,0.01,,
165.86,22,764,180224,235,-1960.1318,-7.206856197118759,1.5645620822906494,0.2,71.701645,0.0,377240.2465087891,11387.8408203125,0.5715576171875,210,0.04295188009855337,0.01,,
161.97,23,802,188416,234,-1727.0858,-7.604548960924149,1.8221542835235596,0.2,84.01454,0.0,9704.481924438476,2797.439697265625,0.35174560546875,220,0.07215011375374161,0.01,,
157.0,24,838,196608,234,-1712.9889,-8.088504791259766,1.8627928495407104,0.2,70.285416,-1.1920928955078125e-07,3994.812120819092,1144.5091552734375,0.513330078125,230,0.16442935475351989,0.01,,
159.97,25,874,204800,234,-1724.4147,-8.364730608463287,2.117532968521118,0.2,397.6289,0.0,3983.3062393188475,1558.9381103515625,0.59256591796875,240,0.18611279392644065,0.01,,
154.23,26,909,212992,234,-1785.6768,-8.858649832010268,2.4104368686676025,0.2,54.722748,1.7881393432617188e-07,5564.019415283203,1993.27392578125,0.6208740234375,250,0.1716299492145481,0.01,,
187.39,27,945,221184,234,-1479.2251,-9.482353979349137,2.743623971939087,0.2,158.58752,1.1920928955078125e-07,5143.701432800293,1962.18896484375,0.81729736328125,260,0.24016261737706374,0.01,,
226.63,28,979,229376,234,-1112.5641,-9.597955954074859,2.7986373901367188,0.2,0.5097408,0.0,19395.731201171875,6724.42919921875,0.14215087890625,270,0.01668253872267087,0.01,,
270.03,29,1015,237568,233,-713.4146,-9.721428161859512,2.7735917568206787,0.2,17.457119,0.0,13682.140393066406,3736.961669921875,0.48294677734375,280,0.06515468239740585,0.01,,
231.6,30,1050,245760,233,-1098.1777,-9.835076767206193,3.1218810081481934,0.2,43.059723,0.0,8838.536422729492,3128.07177734375,0.3589599609375,290,0.06674619805853581,0.01,,
157.02,31,1085,253952,234,-1713.5425,-10.247892951965332,3.186455726623535,0.2,21.03911,0.0,18531.467907714843,8358.3623046875,0.58936767578125,300,0.16310825045511593,0.01,,
157.0,32,1119,262144,234,-1712.9795,-10.926035678386688,4.797536849975586,0.2,10.685474,0.0,15296.630712890625,7107.54736328125,0.65982666015625,310,0.19356045397071284,0.01,,
158.01,33,1153,270336,234,-1697.5463,-11.543140631914138,4.539211273193359,0.2,29.97557,-1.1920928955078125e-07,13438.531420898438,7041.8818359375,0.70274658203125,320,0.21312527998015868,0.01,,
157.92,34,1188,278528,234,-1696.5676,-11.26452642083168,4.475058555603027,0.2,205.34085,0.0,12525.420904541015,5985.96044921875,0.78387451171875,330,0.2235311103588174,0.01,,
165.51,35,1224,286720,234,-1793.408,-11.219957268238067,4.38679838180542,0.2,56.702003,5.960464477539063e-08,11291.735046386719,6125.2998046875,0.66527099609375,340,0.18839710031752474,0.01,,
166.29,36,1259,294912,234,-1813.3132,-11.132180070877075,4.405085563659668,0.2,48.150074,0.0,10737.20053100586,6436.5380859375,0.7782958984375,350,0.2024502278130967,0.01,,
163.6,37,1294,303104,234,-1811.3508,-11.225398075580596,4.643596649169922,0.2,120.96865,5.960464477539063e-08,11987.19034423828,5294.13623046875,0.85919189453125,360,0.2460314338444732,0.01,,
165.7,38,1329,311296,234,-1809.25,-11.197817194461823,4.3277812004089355,0.2,21.04483,0.0,12007.940469360352,8400.931640625,0.57266845703125,370,0.15063211090673576,0.01,,
162.21,39,1363,319488,234,-1748.4548,-11.128595370054246,4.522032260894775,0.2,25.91382,0.0,9522.283093261718,4429.130859375,0.8468994140625,380,0.2637368426192552,0.01,,
168.03,40,1401,327680,233,-1820.9723,-11.121447825431824,4.382018566131592,0.2,89.799644,5.960464477539063e-08,10967.089916992187,6606.5576171875,0.98043212890625,390,0.2789834268973209,0.01,,
173.61,41,1435,335872,233,-1891.0461,-11.228562384843826,4.498486042022705,0.2,23.435638,0.0,9360.93497619629,3885.818115234375,0.8943115234375,400,0.25937820086510327,0.01,,
166.08,42,1470,344064,234,-1803.4319,-11.308795875310897,4.4310102462768555,0.2,23.452564,0.0,11469.866928100586,5135.59228515625,0.76102294921875,410,0.18798798442585393,0.01,,
157.61,43,1504,352256,234,-1707.2462,-11.413892322778702,4.530191421508789,0.2,31.884335,0.0,11236.561099243165,7877.0234375,0.82236328125,420,0.22114153097718373,0.01,,
166.62,44,1539,360448,234,-1841.1826,-11.612733978033067,5.007040977478027,0.2,17.612862,0.0,8792.736099243164,4228.00927734375,0.78804931640625,430,0.22438915734528564,0.01,,
175.73,45,1574,368640,234,-1941.7969,-11.829021269083023,4.886301040649414,0.2,0.58886945,-1.1920928955078125e-07,10119.524957275391,5538.57373046875,0.27763671875,440,0.04639849075902021,0.01,,
156.07,46,1608,376832,234,-1845.8352,-11.968513375520706,5.176316261291504,0.2,24.072905,5.960464477539063e-08,7033.629174804688,3754.43310546875,0.89722900390625,450,0.2556671055150218,0.01,,
140.12,47,1642,385024,234,-1783.1893,-12.06957191824913,5.140976905822754,0.2,0.8144215,0.0,7209.06420288086,3574.7431640625,0.53486328125,460,0.11694180005142699,0.01,,
139.84,48,1679,393216,234,-1801.635,-11.98177391886711,5.1242265701293945,0.2,0.025669916,0.0,10698.721466064453,5898.23828125,0.4631591796875,470,0.05351922495174222,0.01,,
,,,400000,,,-12.01365396976471,5.179727554321289,0.2,0.02165877,0.0,12848.834494018554,4249.875,0.19718017578125,480,0.008872933052771259,0.01,-1782.1990966796875,139.85
139.82,49,1769,401408,226,-1761.425,,,,,,,,,,,,,
139.86,50,1804,409600,226,-1781.7007,-12.031614977121354,5.228386402130127,0.2,0.05387184,0.0,10353.597088623046,5488.10986328125,0.4169921875,490,0.04740029523527482,0.01,,
139.89,51,1839,417792,227,-1772.2308,-12.303777277469635,5.187033176422119,0.2,0.07755402,0.0,10901.291934204102,5496.66455078125,0.66021728515625,500,0.1179327990335878,0.01,,
139.92,52,1875,425984,227,-1802.521,-12.028152579069138,5.1215128898620605,0.2,0.11466227,0.0,8414.957360839844,3670.880859375,0.470703125,510,0.06594463092769728,0.01,,
140.31,53,1910,434176,227,-1814.4877,-12.04933066368103,5.329647064208984,0.2,0.9812745,0.0,16509.62210998535,7809.1923828125,0.4580810546875,520,0.07483131329354364,0.01,,
140.74,54,1945,442368,227,-1786.111,-12.350191712379456,5.66853141784668,0.2,13.492644,0.0,13011.459915161133,4261.00244140625,0.6927734375,530,0.16606243739806814,0.01,,
140.57,55,1980,450560,227,-1765.078,-12.479646492004395,5.676669597625732,0.2,0.318132,5.960464477539063e-08,7647.560113525391,4092.650634765625,0.3567138671875,540,0.04082362052431563,0.01,,
140.43,56,2016,458752,227,-1754.2261,-12.481151831150054,5.69769811630249,0.2,0.007532198,0.0,8975.54083557129,4991.35791015625,0.50626220703125,550,0.08392230513709364,0.01,,
152.66,57,2051,466944,227,-1847.2137,-12.478197473287583,5.441608428955078,0.2,2.0311728,0.0,7736.619030761719,3566.677001953125,0.54801025390625,560,0.10890026790002594,0.01,,
165.91,58,2086,475136,227,-1943.821,-12.310881751775742,5.440681457519531,0.2,0.04222552,0.0,9183.079663085937,6328.10791015625,0.29244384765625,570,0.01823139649204677,0.01,,
166.36,59,2122,483328,227,-1921.5757,-13.026147508621216,6.747427940368652,0.2,14.620969,1.1920928955078125e-07,8899.001162719727,4132.5732421875,0.93956298828125,580,0.2882726747280685,0.01,,
164.64,60,2157,491520,227,-1918.3772,-13.267074984312057,6.761693000793457,0.2,0.026403897,0.0,8497.950717163087,3692.46875,0.3633544921875,590,0.04981979841759312,0.01,,
163.72,61,2193,499712,227,-1924.8282,-13.237867921590805,6.825317859649658,0.2,0.028834295,0.0,11129.872720336914,5541.142578125,0.21710205078125,600,0.01082747120235581,0.01,,
164.56,62,2230,507904,227,-1889.8644,-13.317386722564697,7.01483678817749,0.2,0.024770193,-1.1920928955078125e-07,10376.309683227539,4098.8486328125,0.29833984375,610,0.02766603889322141,0.01,,
164.1,63,2265,516096,227,-1875.3236,-13.323545694351196,7.126499176025391,0.2,1.4009341,0.0,8998.263537597657,3790.053955078125,0.620654296875,620,0.13092213926865953,0.01,,
