time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/std,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
283,-181.32631,8192,1,301.0,28,,,,,,,,,,,,,
277,-201.03256,16384,2,301.0,58,-0.0010523796081542969,0.2,-0.010178667677973863,10,47.69833755493164,0.13814697265625,86.58879711627961,0.001,0.995537519454956,-5.662180548906326,0.008891103,,
278,-150.35934,24576,3,301.0,88,0.027313709259033203,0.2,-0.010883168736472725,20,37.67841339111328,0.1831298828125,78.832244181633,0.001,0.9782477617263794,-5.608911567926407,0.010774348,,
277,-85.38606,32768,4,301.0,117,0.03372907638549805,0.2,-0.014788050948118326,30,52.43030548095703,0.1315673828125,94.63150036334991,0.001,0.976164698600769,-5.582309876382351,0.009234421,,
277,144.45279,40960,5,301.0,147,0.022694706916809082,0.2,-0.0071171966344991235,40,489.37847900390625,0.0895751953125,1186.022560095787,0.001,0.9742058515548706,-5.575397005677223,0.010105459,,
277,319.93362,49152,6,301.0,177,0.011306583881378174,0.2,0.0032889421105210203,50,6819.57958984375,0.18251953125,14331.47502822876,0.001,0.971778154373169,-5.566176351904869,0.012294242,,
277,568.73486,57344,7,301.0,206,5.960464477539063e-08,0.2,-6.710205270792358e-05,60,5069.37841796875,0.10333251953125,13092.557917785645,0.001,0.9655630588531494,-5.5471574261784555,0.007972069,,
276,695.02014,65536,8,301.0,236,1.7881393432617188e-07,0.2,0.0012398432736517861,70,8539.2919921875,0.05682373046875,22123.170011901857,0.001,0.9686440229415894,-5.5423691987991335,0.004445718,,
276,740.1598,73728,9,301.0,266,0.0,0.2,0.003279640444816323,80,10134.4345703125,0.16553955078125,14684.673680114745,0.001,0.9724202156066895,-5.558828541636467,0.026006196,,
276,674.59216,81920,10,301.0,296,0.0,0.2,-5.307691390044056e-05,90,12049.03125,0.16463623046875,19481.010095214842,0.001,0.9597429633140564,-5.54032716602087,0.017595693,,
276,644.3085,90112,11,301.0,326,0.0,0.2,0.004534719706862233,100,7661.57470703125,0.2916748046875,16412.015231323243,0.001,0.9506536722183228,-5.493065886199474,0.056932203,,
276,468.82056,98304,12,301.0,355,0.0,0.2,0.005709642169676954,110,6699.12939453125,0.1657470703125,17493.492013549803,0.001,0.953952431678772,-5.480674590170383,0.07827549,,
275,291.70468,106496,13,301.0,386,-1.1920928955078125e-07,0.2,0.003378666796561447,120,490.1966552734375,0.1089599609375,1066.6878845214844,0.001,0.9558734893798828,-5.481777274608612,0.0073596,,
275,142.56633,114688,14,301.0,416,-2.384185791015625e-07,0.2,0.0033782736412831583,130,374.7021789550781,0.13441162109375,818.0965843200684,0.001,0.9616875648498535,-5.5040664076805115,0.0060183443,,
275,-18.277681,122880,15,301.0,446,0.012180805206298828,0.2,6.513479420391377e-05,140,716.823974609375,0.07984619140625,1815.5406492233276,0.001,0.9623692631721497,-5.5124255701899525,0.022478167,,
275,-26.783684,131072,16,301.0,476,0.0,0.2,0.006040603646397358,150,887.8880004882812,0.19320068359375,1613.7034038543702,0.001,0.9591765403747559,-5.497174251079559,0.02226824,,
274,-36.726612,139264,17,301.0,507,-1.1920928955078125e-07,0.2,0.0006575476803845959,160,150.8330078125,0.12152099609375,330.1757125377655,0.001,0.9567561149597168,-5.490171208977699,0.0069669858,,
274,-62.101307,147456,18,301.0,536,-1.1920928955078125e-07,0.2,-0.0015572453416098143,170,238.8729705810547,0.07784423828125,455.7076126098633,0.001,0.9495594501495361,-5.485274030268192,0.007130912,,
274,-62.199306,155648,19,301.0,567,5.960464477539063e-08,0.2,0.0023154548434831668,180,309.99993896484375,0.07041015625,1708.424249458313,0.001,0.9440015554428101,-5.465014088153839,0.008763442,,
274,7.4075384,163840,20,301.0,597,0.0,0.2,0.0023010038799839093,190,515.2542724609375,0.10943603515625,1713.1557587623597,0.001,0.9493821263313293,-5.447247208654881,0.020429328,,
274,29.806007,172032,21,301.0,627,0.0,0.2,-0.00021446443570312114,200,3577.5625,0.12447509765625,8910.128555297852,0.001,0.9421940445899963,-5.465578895807266,0.011801429,,
274,104.00923,180224,22,301.0,657,-1.1920928955078125e-07,0.2,-0.003962279319057416,210,3051.294189453125,0.078271484375,6582.513301849365,0.001,0.9389636516571045,-5.423603324592113,0.006423652,,
274,122.26389,188416,23,301.0,687,0.12296426296234131,0.2,-0.00011339263910485897,220,8227.4287109375,0.0,13400.637094116211,0.001,0.938955545425415,-5.421596437692642,6.305838e-05,,
274,170.10493,196608,24,301.0,717,0.17794138193130493,0.2,-0.0003745139223610749,230,5313.4892578125,0.0,7750.327415847778,0.001,0.9390550851821899,-5.421709737181663,0.00023877746,,
274,154.73044,204800,25,301.0,747,0.16140365600585938,0.2,-0.0004068457277753623,240,4996.09521484375,0.0,14436.518096923828,0.001,0.9391347169876099,-5.42220303863287,0.0001706263,,
274,152.79486,212992,26,301.0,777,0.25439393520355225,0.2,-0.00013822510845784564,250,3237.8466796875,0.0,5572.512720870972,0.001,0.9388932585716248,-5.421726347506047,8.7445056e-05,,
273,157.0545,221184,27,301.0,807,0.18672901391983032,0.2,-0.00032017714365792924,260,9417.1962890625,0.0,13193.395359039307,0.001,0.9388996362686157,-5.421410049498081,0.00026081048,,
273,218.52414,229376,28,301.0,837,0.16393893957138062,0.2,-0.00017419756259187124,270,6918.1220703125,0.0,17576.231700897217,0.001,0.9388470649719238,-5.4212429344654085,5.5229335e-05,,
273,262.14963,237568,29,301.0,867,0.17140257358551025,0.2,-0.00014104791371210012,280,8628.5341796875,0.0,16511.546168518067,0.001,0.9387797117233276,-5.421001343429088,4.3749198e-05,,
273,229.84683,245760,30,301.0,897,0.2228599190711975,0.2,-0.0003010678443388315,290,4047.46875,0.0,11444.33444480896,0.001,0.9388171434402466,-5.421014033257961,7.573273e-05,,
