rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
301.0,281,1,-221.0999,8192,29,,,,,,,,,,,,,
301.0,283,2,-164.61662,16384,57,0.1102783203125,0.010672996,49.65388870239258,0.0004118680953979492,10,0.2,0.0001,-0.011340573875349947,0.9988903999328613,106.5661325931549,-5.676100113987923,,
301.0,285,3,-95.33985,24576,85,0.120654296875,0.010858756,48.28725051879883,0.00011473894119262695,20,0.2,0.0001,-0.014052740816259757,0.9959285259246826,104.18358254432678,-5.666460081934929,,
301.0,285,4,-42.80699,32768,114,0.09449462890625,0.016161613,1272.046630859375,3.516674041748047e-06,30,0.2,0.0001,-0.004460293662850745,0.994770348072052,2395.7760105133057,-5.657055762410164,,
301.0,284,5,149.23068,40960,143,0.108349609375,0.008785502,435.9479064941406,0.000482022762298584,40,0.2,0.0001,-0.005538209626683966,0.994164228439331,1219.717562866211,-5.653899529576302,,
301.0,284,6,333.62863,49152,172,0.00465087890625,0.0037559425,3194.69287109375,0.0013477802276611328,50,0.2,0.0001,-0.0004765012301504612,0.9941153526306152,10080.665463256835,-5.6517877846956255,,
301.0,285,7,535.36,57344,200,0.00391845703125,0.0036859945,7602.4580078125,6.4373016357421875e-06,60,0.2,0.0001,-0.00202471261145547,0.9941365718841553,15995.687896728516,-5.652045953273773,,
301.0,286,8,696.9062,65536,228,0.0,0.0008322701,9394.439453125,1.6689300537109375e-06,70,0.2,0.0001,-0.00036571826130966657,0.9940564632415771,17733.90694580078,-5.651928034424782,,
301.0,286,9,833.03284,73728,257,0.0019287109375,0.0031445632,11596.3779296875,1.3113021850585938e-06,80,0.2,0.0001,-0.001565037394175306,0.994031548500061,22375.014886474608,-5.651709431409836,,
301.0,287,10,843.4886,81920,284,0.00643310546875,0.0041735186,11241.283203125,7.748603820800781e-07,90,0.2,0.0001,-0.002190992816758808,0.994050145149231,28927.316357421874,-5.651700872182846,,
301.0,288,11,845.21924,90112,312,0.0,0.0007832347,15694.76171875,1.7881393432617188e-07,100,0.2,0.0001,-0.0003012650729942834,0.994121789932251,25281.57843017578,-5.651834025979042,,
301.0,288,12,863.8518,98304,340,0.0139404296875,0.0052982606,15323.037109375,4.172325134277344e-07,110,0.2,0.0001,-0.002232215541152982,0.9940897226333618,21341.98145751953,-5.6519917249679565,,
301.0,289,13,786.2017,106496,368,0.00233154296875,0.003222813,15806.4541015625,1.7881393432617188e-07,120,0.2,0.0001,-0.001276823307853192,0.994063138961792,31874.028869628906,-5.651825174689293,,
301.0,289,14,785.89294,114688,396,0.0181884765625,0.0051311096,12715.9794921875,0.0,130,0.2,0.0001,-0.001586190265516052,0.9938853979110718,24076.929705810548,-5.651489621400833,,
301.0,289,15,777.66626,122880,423,0.00064697265625,0.0023884403,10323.6875,0.0,140,0.2,0.0001,-0.0004316523147281259,0.9935768246650696,27187.471002197264,-5.650435906648636,,
301.0,290,16,706.8929,131072,451,0.00242919921875,0.0031761322,11285.2666015625,-1.1920928955078125e-07,150,0.2,0.0001,-0.000668900351593038,0.9932080507278442,31839.67838745117,-5.649118199944496,,
301.0,290,17,718.4373,139264,479,0.012060546875,0.0036040766,15828.728515625,1.1920928955078125e-07,160,0.2,0.0001,-0.0014615120468079112,0.9928232431411743,30913.10723876953,-5.64764895439148,,
301.0,290,18,703.8714,147456,507,0.0045166015625,0.0034016585,13413.66796875,5.960464477539063e-08,170,0.2,0.0001,-0.0008445391948043834,0.9931949377059937,27163.28566894531,-5.647559377551079,,
301.0,290,19,709.9073,155648,535,0.02578125,0.0055022645,25217.357421875,0.0,180,0.2,0.0001,-0.0016384821545216254,0.9929722547531128,42306.848620605466,-5.647954535484314,,
301.0,291,20,657.30304,163840,562,0.0141357421875,0.0038680388,15213.013671875,0.0,190,0.2,0.0001,-0.0014230483531719074,0.9926217198371887,33919.167163085935,-5.646901378035546,,
301.0,291,21,603.01526,172032,590,0.18070068359375,0.0070739537,8903.5986328125,0.0,200,0.2,0.0001,0.0048480071112862785,0.9907671213150024,26359.62530517578,-5.638854405283928,,
301.0,291,22,495.45093,180224,618,0.05244140625,0.0046727806,14258.6005859375,-1.1920928955078125e-07,210,0.2,0.0001,0.0001799311943614157,0.990425705909729,23435.734844970702,-5.637515997886657,,
301.0,291,23,432.1648,188416,646,0.123828125,0.0081181945,11430.322265625,-1.1920928955078125e-07,220,0.2,0.0001,0.0027304289389576296,0.9884525537490845,25769.194232177735,-5.633822292089462,,
301.0,291,24,441.1649,196608,674,0.006884765625,0.0038651682,11613.44921875,-1.1920928955078125e-07,230,0.2,0.0001,-0.0011287080684269312,0.9880807399749756,32833.66048583984,-5.628532293438911,,
301.0,291,25,469.12537,204800,701,0.01153564453125,0.0045611197,23118.6484375,0.0,240,0.2,0.0001,-0.0016154073760844766,0.9880810976028442,37655.975415039065,-5.627732506394386,,
301.0,291,26,541.2518,212992,729,0.06278076171875,0.0055993116,15850.7646484375,0.0,250,0.2,0.0001,-0.0015825627830054144,0.9856832027435303,33480.21029052734,-5.622679930925369,,
301.0,292,27,597.6835,221184,757,1.220703125e-05,0.0007236608,24520.357421875,-1.1920928955078125e-07,260,0.2,0.0001,-0.0001640210051846225,0.984626829624176,47010.57532958985,-5.615964436531067,,
301.0,292,28,484.82,229376,785,0.005810546875,0.0042915773,13823.5771484375,0.0,270,0.2,0.0001,-0.0010442871076520532,0.9846048355102539,38360.663635253906,-5.613599044084549,,
301.0,292,29,517.55945,237568,812,0.0212646484375,0.002859911,20513.857421875,1.1920928955078125e-07,280,0.2,0.0001,3.485919805825688e-05,0.9848471283912659,33571.89682617188,-5.614065632224083,,
301.0,292,30,432.29797,245760,840,0.0486083984375,0.004033196,21238.533203125,0.0,290,0.2,0.0001,9.656114052631892e-05,0.984470546245575,44947.22573242187,-5.612947234511376,,
301.0,292,31,362.06534,253952,868,0.10126953125,0.004681887,18931.8828125,0.0,300,0.2,0.0001,0.001944729927345179,0.9837027192115784,37695.7529296875,-5.612533974647522,,
301.0,292,32,333.1383,262144,896,0.03096923828125,0.0043818955,20257.4140625,0.0,310,0.2,0.0001,0.000122893803199986,0.9836670160293579,38743.460876464844,-5.60890534222126,,
301.0,292,33,335.72025,270336,924,0.0429931640625,0.002672164,17394.3203125,1.1920928955078125e-07,320,0.2,0.0001,-0.0008237082860432565,0.9834919571876526,36292.954577636716,-5.610412913560867,,
301.0,292,34,322.663,278528,952,0.04200439453125,0.001801189,20751.919921875,0.0,330,0.2,0.0001,-0.0010857935681997332,0.9819254875183105,42899.49807128906,-5.605284586548805,,
301.0,292,35,295.31345,286720,980,0.1341552734375,0.0073817573,13574.7392578125,0.0,340,0.2,0.0001,0.000596232801763108,0.981916069984436,39724.17834472656,-5.6029034703969955,,
301.0,292,36,194.53264,294912,1007,0.0693603515625,0.00631289,20815.21875,0.0,350,0.2,0.0001,-0.000868782498582732,0.9794107675552368,37806.27376708984,-5.597330412268638,,
301.0,292,37,136.94704,303104,1035,0.0,0.0012749472,22299.814453125,0.0,360,0.2,0.0001,-5.071858467999846e-05,0.9796485304832458,41553.32038574219,-5.593137001991272,,
301.0,292,38,111.872986,311296,1063,0.062060546875,0.0020696213,21149.072265625,0.0,370,0.2,0.0001,0.00032259896470350214,0.9781200289726257,47213.92496337891,-5.590667825937271,,
301.0,292,39,-61.575542,319488,1091,0.051025390625,0.0028228066,15982.83984375,1.1920928955078125e-07,380,0.2,0.0001,-0.0003823573497356847,0.9777589440345764,38211.28162841797,-5.586554878950119,,
301.0,292,40,69.35001,327680,1118,0.54930419921875,0.18935797,63857.5703125,0.00022673606872558594,390,0.2,0.0001,0.033770203379390296,0.9777515530586243,176282.44716796876,-5.585635176301002,,
301.0,292,41,139.28775,335872,1146,0.0,0.00085763674,15656.2490234375,0.19694876670837402,400,0.2,0.0001,-0.000608048822323326,0.9777562022209167,24003.099609375,-5.585659185051918,,
301.0,292,42,271.04706,344064,1174,0.0,0.00019228912,21768.20703125,0.23609697818756104,410,0.2,0.0001,-0.00043699219386326147,0.9777529239654541,30290.126983642578,-5.585667997598648,,
301.0,292,43,509.9326,352256,1202,0.0,3.9405197e-05,14859.005859375,0.25664055347442627,420,0.2,0.0001,-6.39708639937453e-05,0.9777535200119019,33048.33361816406,-5.585664555430412,,
301.0,292,44,555.65643,360448,1230,0.0,2.8746705e-05,13989.10546875,0.2883937954902649,430,0.2,0.0001,-0.00017670969828031957,0.9777539372444153,29515.695397949217,-5.585666453838348,,
301.0,293,45,566.58307,368640,1258,0.0,2.391811e-05,14670.083984375,0.28381651639938354,440,0.2,0.0001,-6.453565874835477e-05,0.9777467846870422,31043.914428710938,-5.585655468702316,,
301.0,292,46,503.81107,376832,1286,0.0,3.1836003e-05,14135.865234375,0.2604442834854126,450,0.2,0.0001,-7.958733185660094e-05,0.9777504205703735,33763.65520019531,-5.585643175244331,,
301.0,292,47,508.22366,385024,1314,0.0,4.7798385e-06,16591.234375,0.29879289865493774,460,0.2,0.0001,1.3986131671117619e-05,0.9777483344078064,24540.08025512695,-5.585643419623375,,
301.0,292,48,548.87604,393216,1343,0.0,1.0444157e-05,16282.2421875,0.2841414213180542,470,0.2,0.0001,-1.8318289949093015e-05,0.9777576327323914,32701.69530029297,-5.585658711194992,,
,,,,400000,,0.0,2.8896735e-05,18872.845703125,0.2695227265357971,480,0.2,0.0001,-6.782192722312174e-05,0.9777474403381348,36665.48515625,-5.585663518309593,-3483.9853515625,176.97
301.0,281,49,549.968,401408,1424,,,,,,,,,,,,,
301.0,281,50,515.8688,409600,1452,0.0,0.00019881467,16323.9638671875,0.27558833360671997,490,0.2,0.0001,-0.000589092306108796,0.9777439832687378,39291.797094726564,-5.585634803771972,,
301.0,282,51,518.2146,417792,1480,0.0,4.2232787e-06,10945.359375,0.34191203117370605,500,0.2,0.0001,-2.5391752205905505e-05,0.9777480363845825,18539.22379760742,-5.585634738206863,,
301.0,282,52,468.4999,425984,1509,0.0,6.7792716e-06,19017.201171875,0.2942589521408081,510,0.2,0.0001,-2.4787538859527557e-05,0.9777518510818481,32997.03883056641,-5.585648512840271,,
301.0,282,53,437.15698,434176,1537,0.0,5.220485e-06,11308.2763671875,0.31343817710876465,520,0.2,0.0001,-5.262925042188726e-05,0.9777474403381348,29153.204150390626,-5.585653764009476,,
301.0,282,54,479.95398,442368,1565,0.0,1.9265572e-05,12755.4931640625,0.29617446660995483,530,0.2,0.0001,1.7010676674544812e-05,0.9777274131774902,31073.430682373048,-5.585598406195641,,
301.0,282,55,433.7344,450560,1593,0.0,5.9080507e-05,15622.130859375,0.30908727645874023,540,0.2,0.0001,-0.00021796455985167995,0.977729856967926,32127.81513671875,-5.585554918646812,,
