rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/clip_range,eval/mean_reward,eval/mean_ep_length
301.0,-220.35103,1,277,8192,29,,,,,,,,,,,,,
301.0,-150.8155,2,288,16384,56,-5.672977942228317,10,53.888431549072266,130.3583303451538,0.09317626953125,0.008093416,-0.011446028476348147,0.9978618621826172,0.0016246438026428223,0.0001,0.2,,
301.0,-113.485695,3,291,24576,84,-5.669384694099426,20,727.6142578125,1226.921076965332,0.086083984375,0.008978378,-0.00505910544161452,0.998849630355835,-2.1457672119140625e-06,0.0001,0.2,,
301.0,-24.746183,4,294,32768,111,-5.668675422668457,30,49.18315505981445,103.50749130249024,0.140380859375,0.00982332,-0.01449640464852564,0.9973337650299072,0.0005268454551696777,0.0001,0.2,,
301.0,163.21602,5,295,40960,138,-5.664427042007446,40,2165.408447265625,3909.537690734863,0.00164794921875,0.0030273958,-0.0008688215624715667,0.9971886277198792,0.0017764568328857422,0.0001,0.2,,
301.0,315.85648,6,296,49152,165,-5.664393907785415,50,4905.11669921875,9934.955499267578,0.0,0.00054945407,-0.0003016783797647804,0.9971770644187927,0.00275421142578125,0.0001,0.2,,
301.0,471.49326,7,296,57344,193,-5.6643483400344845,60,5939.49267578125,12435.269177246093,0.0,0.00033893323,-0.0005742315654060804,0.9971716403961182,2.3305416107177734e-05,0.0001,0.2,,
301.0,579.7607,8,297,65536,220,-5.664373970031738,70,4974.04638671875,11298.784228515626,0.0,0.00019896109,-0.00028495005826698614,0.9971900582313538,7.867813110351562e-06,0.0001,0.2,,
301.0,655.98615,9,297,73728,247,-5.664403486251831,80,9127.923828125,19030.447021484375,0.0,0.00014142069,-0.00028246957590454257,0.9971810579299927,5.304813385009766e-06,0.0001,0.2,,
301.0,706.8242,10,297,81920,274,-5.664329487085342,90,9592.2216796875,17929.762817382812,0.0,0.00011620558,-0.0002546152129070833,0.9971528649330139,3.516674041748047e-06,0.0001,0.2,,
301.0,745.9098,11,298,90112,302,-5.664248818159104,100,8254.3828125,20035.07912597656,0.0,0.00016815904,-0.0002945145533885807,0.9971458911895752,2.7418136596679688e-06,0.0001,0.2,,
301.0,733.74005,12,298,98304,329,-5.664211875200271,110,6207.865234375,17016.877026367187,0.0,0.00034132763,-0.0005280056211631745,0.9971317052841187,3.337860107421875e-06,0.0001,0.2,,
301.0,784.1983,13,298,106496,356,-5.664151328802109,120,9680.3984375,19091.749963378905,0.0,0.00010957187,-0.00017875897756312043,0.9971172213554382,4.172325134277344e-07,0.0001,0.2,,
301.0,808.0323,14,298,114688,384,-5.664115589857102,130,9368.625,22769.88525390625,0.0,0.00033463057,-0.0005794443117338232,0.9971155524253845,2.1457672119140625e-06,0.0001,0.2,,
301.0,961.9328,15,297,122880,412,-5.66410151720047,140,9849.9013671875,19885.260986328125,0.0,0.0001516129,-0.00021232560102362185,0.9971078038215637,1.3709068298339844e-06,0.0001,0.2,,
301.0,949.36865,16,298,131072,439,-5.664067214727401,150,19524.515625,39994.30124511719,0.0,0.00015520086,-0.0003262085345340893,0.9970988035202026,1.0728836059570312e-06,0.0001,0.2,,
