Episode,Reward
1,-517.97723
2,-456.94736
3,-646.75433
4,-625.17084
5,-606.58136
6,-367.89822
7,-553.95233
8,-624.2948
9,-689.32
10,-606.3901
11,-627.64795
12,-735.82745
13,-576.46045
14,-729.88416
15,-615.8674
16,-536.63995
17,-518.3032
18,-451.04697
19,-638.32635
20,-627.719
21,-605.7547
22,-361.88168
23,-551.3294
24,-627.7074
25,-686.4078
26,-604.41296
27,-621.5995
28,-728.1149
29,-577.0016
30,-729.8113
31,-618.3088
32,-540.60034
33,-521.5347
34,-464.15646
35,-641.7561
36,-622.45306
37,-604.59534
38,-364.3066
39,-545.10693
40,-634.17523
41,-689.88635
42,-605.0123
43,-620.64703
44,-728.7986
45,-573.4252
46,-726.44116
47,-616.01605
48,-540.1451
49,-519.51984
50,-459.70712
51,-634.86273
52,-624.0057
53,-604.04846
54,-366.73352
55,-548.89716
56,-624.38806
57,-687.8335
58,-601.2272
59,-623.14856
60,-732.53595
61,-572.4526
62,-727.13544
63,-622.00183
64,-532.58777
65,-514.20764
66,-452.4325
67,-647.48785
68,-628.39233
69,-608.43774
70,-367.01358
71,-548.76636
72,-625.94214
73,-690.6041
74,-608.18536
75,-618.9871
76,-732.827
77,-576.23724
78,-736.13525
79,-613.6753
80,-533.2948
81,-525.97284
82,-459.83878
83,-643.83435
84,-625.568
85,-606.5721
86,-365.38675
87,-546.31213
88,-625.1908
89,-683.0895
90,-603.5885
91,-621.8106
92,-729.9842
93,-578.73773
94,-724.46173
95,-621.2127
96,-539.9551
97,-570.5876
98,-730.29114
99,-620.85785
100,-529.64386
