Episode,Reward
1,-544.96136
2,-4584.661
3,-5621.5815
4,-4637.486
5,-5553.8745
6,-209.48853
7,-343.1288
8,-15772.391
9,-8666.815
10,-12728.429
11,-5682.552
12,-1764.2588
13,-368.1187
14,-280.41318
15,-472.29364
16,-11683.199
17,-547.52203
18,-4588.1772
19,-5635.669
20,-4632.6367
21,-1540.6472
22,-214.27892
23,-342.53748
24,-15793.489
25,-8674.112
26,-12717.702
27,-4667.189
28,-765.394
29,-368.42822
30,-277.69833
31,-469.18668
32,-11692.197
33,-552.7322
34,-4589.1826
35,-5637.1587
36,-3622.3909
37,-2552.5823
38,-217.23264
39,-334.97214
40,-15794.781
41,-8675.024
42,-12717.161
43,-4656.133
44,-775.3028
45,-358.6256
46,-279.31372
47,-469.91187
48,-11694.058
49,-553.02625
50,-4587.692
51,-5637.3584
52,-3634.6096
53,-1556.2917
54,-218.94687
55,-333.27148
56,-15793.641
57,-8673.593
58,-12716.606
59,-4654.828
60,-764.75336
61,-372.58392
62,-280.50812
63,-470.82886
64,-11689.619
65,-548.98206
66,-4589.8003
67,-5636.896
68,-3623.1077
69,-2554.2866
70,-213.41757
71,-334.81793
72,-15795.112
73,-8674.775
74,-12716.453
75,-4655.6846
76,-765.3311
77,-368.2316
78,-286.12302
79,-470.88568
80,-11692.905
81,-552.95905
82,-4587.0713
83,-5635.796
84,-4621.2334
85,-2556.003
86,-211.51158
87,-346.98373
88,-15793.241
89,-8675.996
90,-12717.678
91,-4656.297
92,-764.9993
93,-368.77063
94,-291.0806
95,-472.85764
96,-11704.143
97,-1555.2764
98,-373.57266
99,-275.5724
100,-11691.175
