rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss
-216.54694,301.0,1,32768,58,559,,,,,,,,,,,
-125.78466,301.0,2,65536,157,415,0.1066009521484375,0.2,10,98.56326087787747,46.61149597167969,0.008010931,0.00046825408935546875,-0.011235435130674886,0.9983716607093811,1e-05,-5.671583937574178
-27.847193,301.0,3,98304,256,383,0.12325439453125,0.2,20,90.66434012427926,38.15495681762695,0.008893606,0.059131503105163574,-0.014367875383743466,0.9965806007385254,1e-05,-5.665262188762426
121.32544,301.0,4,131072,354,369,0.149322509765625,0.2,30,109.86065449267626,52.22800827026367,0.010568466,0.3014306426048279,-0.017864882421008588,0.9933405518531799,1e-05,-5.656198822055012
172.25978,301.0,5,163840,453,361,0.1506195068359375,0.2,40,968.371350979805,53.0957145690918,0.010736316,0.1505088210105896,-0.016055135934720965,0.9889323711395264,1e-05,-5.640385309793055
90.03502,301.0,6,196608,552,355,0.0723175048828125,0.2,50,3191.0584667354824,155.1378173828125,0.0067802644,0.038139939308166504,-0.005182714415764167,0.9849824905395508,1e-05,-5.622868436202407
48.28352,301.0,7,229376,651,352,0.05760498046875,0.2,60,1648.1911892026662,585.99560546875,0.005972841,-0.012212276458740234,-0.005246601520411787,0.9811966419219971,1e-05,-5.606574836466462
11.267434,301.0,8,262144,749,349,0.063629150390625,0.2,70,555.5478298932314,127.98869323730469,0.0058483123,-0.012547612190246582,-0.0065137592670907905,0.9778217673301697,1e-05,-5.5918640731833875
14.389085,301.0,9,294912,848,347,0.0287139892578125,0.2,80,384.19896263182164,177.53343200683594,0.00362303,-0.008252859115600586,-0.00297767663232662,0.9738520383834839,1e-05,-5.5761271372437475
4.7733936,301.0,10,327680,946,346,0.02974853515625,0.2,90,707.5600468844175,207.32177734375,0.0037985812,-5.221366882324219e-05,-0.00232414153249465,0.9716397523880005,1e-05,-5.565422937925905
-63.833984,301.0,11,360448,1045,344,0.0247314453125,0.2,100,2116.3290295660495,293.6860046386719,0.0047184573,0.0,-0.0014008339326437636,0.9708861708641052,1e-05,-5.559766988456249
-82.66313,301.0,12,393216,1144,343,0.01912841796875,0.2,110,909.0441291153431,344.6093444824219,0.0036491961,0.0,-0.0012501724809681036,0.9703899621963501,1e-05,-5.556751305423677
-72.59,301.0,13,425984,1243,342,0.045391845703125,0.2,120,602.9015035331249,151.3341827392578,0.004688034,0.0,-0.001076482676262458,0.9689728021621704,1e-05,-5.551981421280653
-105.49626,301.0,14,458752,1341,341,0.0042999267578125,0.2,130,810.6964449197054,487.0276184082031,0.0028137986,0.2084904909133911,-0.0013465517206213916,0.9689752459526062,1e-05,-5.549829725828022
-86.25999,301.0,15,491520,1440,341,0.012994384765625,0.2,140,1115.5896711289884,6786.33056640625,0.0036314926,0.3465917706489563,-0.0016857471060575334,0.9680708050727844,1e-05,-5.547827807813883
-47.87762,301.0,16,524288,1539,340,0.0280731201171875,0.2,150,459.39447739124296,146.78306579589844,0.0042131133,0.6369699835777283,-0.0029722103845870153,0.9672074317932129,1e-05,-5.544454930815846
-42.35667,301.0,17,557056,1638,340,0.0223175048828125,0.2,160,1013.3797348499298,178.7256622314453,0.0039570862,0.543110191822052,-0.0026532344182669475,0.9661184549331665,1e-05,-5.540132580697536
51.6047,301.0,18,589824,1737,339,0.0354705810546875,0.2,170,389.1536664485931,158.4241485595703,0.00488237,0.7655033320188522,-0.0036570332812516427,0.9649339914321899,1e-05,-5.535141918435693
66.023125,301.0,19,622592,1835,339,0.0272674560546875,0.2,180,904.7347013235092,200.8936004638672,0.003931978,0.6453224420547485,-0.0027304405145287093,0.9630147814750671,1e-05,-5.529019297193736
139.47438,301.0,20,655360,1936,338,0.0493499755859375,0.2,190,669.436657705903,141.3119354248047,0.0052628727,0.7174256443977356,-0.005106796690597548,0.9626511335372925,1e-05,-5.524300761613995
