Episode,Reward
1,404.17468
2,1048.3026
3,1633.4076
4,816.87506
5,528.4321
6,522.91223
7,837.329
8,412.33035
9,13.556831
10,502.3978
11,892.04114
12,1325.308
13,-250.38174
14,614.04663
15,22.973778
16,723.18066
17,311.59073
18,296.2997
19,269.02264
20,1524.1832
21,452.18805
22,577.2726
23,843.51685
24,315.99814
25,369.01166
26,1696.9467
27,879.36224
28,-104.563545
29,-196.84578
30,634.81714
31,26.3663
32,661.4158
33,446.8718
34,301.79608
35,144.60942
36,248.1312
37,371.84442
38,480.75662
39,816.74384
40,268.83887
41,21.53777
42,444.97888
43,817.7277
44,171.10689
45,-229.91269
46,617.6725
47,54.106544
48,650.1891
49,565.64484
50,304.15295
51,307.8028
52,299.5493
53,451.30856
54,580.9278
55,834.1894
56,299.29944
57,290.77097
58,541.10114
59,1708.3944
60,-58.839516
61,-213.46797
62,660.1958
63,47.53144
64,640.11334
65,515.6949
66,411.22107
67,324.20844
68,225.04906
69,410.11325
70,603.26324
71,871.25555
72,192.87439
73,169.61208
74,481.75262
75,636.01404
76,-28.836325
77,-210.57831
78,640.5073
79,-56.258297
80,629.2019
81,185.38455
82,315.48352
83,311.712
84,284.14288
85,451.9183
86,505.78513
87,905.1305
88,261.126
89,311.9664
90,590.51874
91,534.90594
92,-8.367002
93,-107.37423
94,647.3803
95,6.3387895
96,657.32227
97,-191.73958
98,640.7034
99,73.5817
100,653.5792
