time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/policy_gradient_loss
1,32768,60,538,301.0,-236.1917,,,,,,,,,,,
2,65536,122,533,301.0,-119.904686,10,0.009292906,0.1545806884765625,0.996013879776001,81.7348149895668,0.001,0.0004551410675048828,0.2,31.488908767700195,-5.661897437274456,-0.011097190711006987
3,98304,184,531,301.0,-17.338781,20,0.010292397,0.1624969482421875,0.9947454929351807,363.3136792898178,0.001,0.18381714820861816,0.2,81.5571060180664,-5.6576510041952135,-0.012824404585262527
4,131072,246,530,301.0,141.28688,30,0.011537265,0.1709625244140625,0.9897890090942383,113.58803021907806,0.001,0.5247579216957092,0.2,59.779178619384766,-5.644407670199871,-0.0191196380474139
5,163840,313,523,301.0,173.90948,40,0.011400962,0.1534454345703125,0.9880501627922058,697.5361961364746,0.001,0.22122973203659058,0.2,73.14007568359375,-5.630193391442299,-0.010371057037627907
6,196608,378,519,301.0,133.01816,50,0.007053886,0.071600341796875,0.9870110750198364,2614.800688934326,0.001,0.07043981552124023,0.2,1982.16259765625,-5.6250661924481395,-0.0035179282913304633
7,229376,444,515,301.0,111.86903,60,0.0066116257,0.0305389404296875,0.9858802556991577,1765.6212836265563,0.001,0.11989766359329224,0.2,991.5047607421875,-5.62126077413559,-0.0024873552269127686
8,262144,510,513,301.0,117.53876,70,0.0066881506,0.048895263671875,0.9846771955490112,1232.795408296585,0.001,0.2680588364601135,0.2,1068.3370361328125,-5.616421319544315,-0.002229046928005118
9,294912,577,511,301.0,62.83546,80,0.004699979,0.035284423828125,0.9839718341827393,1427.6286299228668,0.001,0.32343465089797974,0.2,916.6182250976562,-5.612378412485123,-0.0015865111656239606
10,327680,642,510,301.0,97.33402,90,0.003780582,0.022869873046875,0.9816021919250488,917.0262370109558,0.001,0.49545103311538696,0.2,1117.3826904296875,-5.606729163229465,-0.001339863245448214
11,360448,708,508,301.0,84.03005,100,0.0056702546,0.048858642578125,0.9807329177856445,947.6617132663727,0.001,0.547931581735611,0.2,524.7367553710938,-5.599634569883347,-0.00247604361102276
12,393216,774,507,301.0,105.62642,110,0.003951258,0.028192138671875,0.9794397354125977,405.4545512199402,0.001,0.7157517373561859,0.2,77.80966186523438,-5.59526918232441,-0.004034619522099092
13,425984,838,508,301.0,120.39069,120,0.004316766,0.032403564453125,0.9795027375221252,581.8912224531174,0.001,0.6568731069564819,0.2,129.6287078857422,-5.592409093677998,-0.0026781598782690706
14,458752,902,508,301.0,191.25096,130,0.0055726245,0.0478302001953125,0.9768076539039612,339.555960392952,0.001,0.7510629892349243,0.2,63.359886169433594,-5.587092517316341,-0.003817509807777242
15,491520,966,508,301.0,177.58945,140,0.0059865527,0.056097412109375,0.9751745462417603,1826.0706095695496,0.001,0.41008490324020386,0.2,950.5896606445312,-5.578820398449897,-0.0017884359782328828
16,524288,1030,508,301.0,200.95995,150,0.0051596914,0.0448333740234375,0.9757198095321655,752.0622793674469,0.001,0.5762268304824829,0.2,299.29278564453125,-5.576667787134648,-0.0018135975220502586
17,557056,1094,508,301.0,226.35658,160,0.0060660294,0.061041259765625,0.9718540906906128,678.7082419872283,0.001,0.5113588571548462,0.2,162.8095245361328,-5.5713024765253065,-0.0019408008953178068
18,589824,1158,509,301.0,321.3875,170,0.007775253,0.090350341796875,0.9707552790641785,962.2526554107666,0.001,0.47066211700439453,0.2,561.7764282226562,-5.558724828064442,-0.0021036494666986983
19,622592,1222,509,301.0,274.04132,180,0.0076163816,0.0917327880859375,0.9698491096496582,2134.5403141975403,0.001,0.27203208208084106,0.2,673.5697021484375,-5.554233027994632,0.00024308804404427065
20,655360,1285,509,301.0,347.78946,190,0.0074773915,0.07642822265625,0.9652381539344788,1048.59313120842,0.001,0.32817894220352173,0.2,101.71540069580078,-5.545912642776966,-0.0019537948912329737
21,688128,1348,510,301.0,261.95407,200,0.005675719,0.061737060546875,0.9645931720733643,2853.9253534317018,0.001,0.1897318959236145,0.2,1551.2713623046875,-5.532837319374084,0.0008178084663086338
22,720896,1411,510,301.0,380.01324,210,0.005610954,0.0492584228515625,0.9644558429718018,1236.9238144874573,0.001,0.20650255680084229,0.2,639.513916015625,-5.530297186970711,-0.00015689216925238725
23,753664,1474,511,301.0,318.20593,220,0.008459975,0.11068115234375,0.9632010459899902,2630.241054725647,0.001,0.16947555541992188,0.2,1790.83203125,-5.528175772726536,0.0012494409464125055
24,786432,1537,511,301.0,361.24313,230,0.0060138567,0.061663818359375,0.9592463374137878,2187.3092052459715,0.001,0.23512065410614014,0.2,1168.3360595703125,-5.517894843220711,0.0002902015705330996
25,819200,1601,511,301.0,345.04504,240,0.0076639215,0.0811187744140625,0.9571202993392944,1591.446490383148,0.001,0.2643357515335083,0.2,719.3258666992188,-5.503964675962925,0.0020344511769508243
26,851968,1665,511,301.0,344.66855,250,0.008789411,0.0828033447265625,0.9534108638763428,2318.340029525757,0.001,0.18532127141952515,0.2,297.1900329589844,-5.494768522679806,0.00021249451529001818
27,884736,1728,511,301.0,241.69223,260,0.0077405428,0.0691619873046875,0.9501841068267822,1848.5952297210692,0.001,0.0974990725517273,0.2,551.6339721679688,-5.47797454893589,0.0008224829907703679
28,917504,1792,511,301.0,399.9739,270,0.010062616,0.089141845703125,0.9357942938804626,217.31434857845306,0.001,0.40299350023269653,0.2,72.67768096923828,-5.424922540783882,-0.005694165692693787
29,950272,1855,512,301.0,452.44516,280,0.009168655,0.101812744140625,0.9260214567184448,1200.4798785686494,0.001,0.19211775064468384,0.2,162.17884826660156,-5.384846425056457,-0.0020264977523765993
