time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
273,301.0,27.329615,8192,29,1,,,,,,,,,,,,,
276,301.0,42.697422,16384,59,2,2414.7169164657594,10,0.009003537,0.11947021484375,0.9977555274963379,1027.444091796875,-0.0002177571237552911,0.2,0.001,-2.0265579223632812e-05,-5.670353600382805,,
273,301.0,46.313744,24576,89,3,2156.240628814697,20,0.0038672765,0.02938232421875,0.9951735138893127,1324.565673828125,-0.0015812140016350895,0.2,0.001,0.04752880334854126,-5.6626484334468845,,
278,301.0,53.80218,32768,117,4,2146.2092917442324,30,0.006634625,0.0368408203125,0.9939265847206116,1417.3609619140625,-0.002283844293560833,0.2,0.001,0.12813830375671387,-5.65439325273037,,
279,301.0,134.20277,40960,146,5,4221.126126861573,40,0.0041119866,0.0163330078125,0.9932363033294678,3677.197265625,-0.0011415160239266696,0.2,0.001,0.11017102003097534,-5.650106030702591,,
279,301.0,162.61243,49152,176,6,7228.884536743164,50,0.0021278854,0.00347900390625,0.993459939956665,3185.980224609375,-0.0011686723766615615,0.2,0.001,0.10391509532928467,-5.648632907867432,,
281,301.0,236.46532,57344,203,7,6379.755519866943,60,0.0017375636,0.0010986328125,0.9930307865142822,3159.156005859375,7.496482576243579e-05,0.2,0.001,0.1507454514503479,-5.64883506000042,,
283,301.0,264.0963,65536,231,8,8342.223931884766,70,0.0047180355,0.02559814453125,0.992648720741272,2743.622802734375,-0.0008449487577308901,0.2,0.001,0.15530520677566528,-5.646549594402313,,
284,301.0,260.62085,73728,259,9,7169.373324584961,80,0.0023185466,0.0096923828125,0.9921989440917969,3239.15625,0.00038366784719983115,0.2,0.001,0.1741512417793274,-5.644961923360825,,
285,301.0,282.09937,81920,287,10,7061.390885925293,90,0.0027347908,0.010107421875,0.9921070337295532,3447.587646484375,-0.00048478645621798935,0.2,0.001,0.19670581817626953,-5.644322544336319,,
286,301.0,317.96603,90112,315,11,8327.2311378479,100,0.004548286,0.02618408203125,0.9917621612548828,3306.796630859375,-0.00019424189304118045,0.2,0.001,0.20927298069000244,-5.643085923790932,,
287,301.0,307.8225,98304,342,12,8155.664852142334,110,0.0022356303,0.01131591796875,0.9914531707763672,5180.41357421875,-0.0010966959947836586,0.2,0.001,0.2002420425415039,-5.641477033495903,,
288,301.0,328.98965,106496,369,13,8789.344867706299,120,0.002200971,0.019482421875,0.9903264045715332,3865.267578125,-0.002488431564415805,0.2,0.001,0.18911397457122803,-5.638643127679825,,
288,301.0,370.71164,114688,396,14,10753.890048217774,130,0.0022407514,0.026025390625,0.990890383720398,1969.196044921875,0.0002636913577589439,0.2,0.001,0.19097673892974854,-5.637337791919708,,
289,301.0,323.8498,122880,423,15,14467.24122314453,140,0.0019763233,0.02099609375,0.9908291101455688,3451.467529296875,0.0011909454115084372,0.2,0.001,0.1632407307624817,-5.638736999034881,,
290,301.0,340.74457,131072,451,16,7311.526220703125,150,0.005855725,0.0354736328125,0.9901926517486572,6461.65478515625,-0.0023590760218212383,0.2,0.001,0.26211774349212646,-5.63748083114624,,
289,301.0,328.3177,139264,480,17,6797.861927032471,160,0.007085075,0.0269287109375,0.9890540838241577,3573.529296875,-0.0019387941552849951,0.2,0.001,0.3019956946372986,-5.634269049763679,,
289,301.0,370.6338,147456,508,18,9888.568696594239,170,0.0051860465,0.04412841796875,0.9887677431106567,6322.9560546875,0.000574468748527579,0.2,0.001,0.19623488187789917,-5.630466285347938,,
289,301.0,386.82828,155648,537,19,14999.230184936523,180,0.0050770794,0.0903076171875,0.9884084463119507,10306.033203125,0.001795559721358586,0.2,0.001,0.2403702735900879,-5.629394966363907,,
289,301.0,425.47516,163840,565,20,7998.973069000244,190,0.003897543,0.02337646484375,0.9878101944923401,2726.288818359375,-9.820074265007862e-05,0.2,0.001,0.33943265676498413,-5.627699795365333,,
288,301.0,434.66815,172032,595,21,7009.7075668334965,200,0.003874465,0.04560546875,0.9870556592941284,2290.90185546875,-0.0010762026751763188,0.2,0.001,0.16729366779327393,-5.624317714571953,,
288,301.0,420.61038,180224,623,22,11488.766152954102,210,0.0051918244,0.0602783203125,0.9875413775444031,5678.08349609375,0.0007213277029222808,0.2,0.001,0.19949525594711304,-5.624122104048729,,
288,301.0,409.87375,188416,653,23,8289.406894683838,220,0.0035572178,0.02701416015625,0.9867630004882812,4449.46142578125,-0.0019878415521816352,0.2,0.001,0.2634603977203369,-5.623468005657196,,
288,301.0,377.76553,196608,681,24,10978.016064453124,230,0.004955441,0.0306396484375,0.9872080087661743,1504.314208984375,-0.0006318706677120644,0.2,0.001,0.18287873268127441,-5.622857296466828,,
288,301.0,391.13882,204800,710,25,8413.580448913573,240,0.0023682406,0.00933837890625,0.9869982004165649,4851.00732421875,-0.0009126828983426094,0.2,0.001,0.28042733669281006,-5.623697370290756,,
288,301.0,426.0704,212992,739,26,9670.899487304687,250,0.0040812837,0.0458740234375,0.986315131187439,5918.076171875,-0.000997495550836902,0.2,0.001,0.2563779354095459,-5.621413287520409,,
287,301.0,427.75668,221184,768,27,7566.095233154297,260,0.0023785755,0.02607421875,0.9850473403930664,3863.456298828125,-0.0010642909532180057,0.2,0.001,0.24109607934951782,-5.617311581969261,,
287,301.0,479.18515,229376,797,28,6523.526765441895,270,0.003595521,0.022314453125,0.9851913452148438,3857.692138671875,-0.0011330976958561223,0.2,0.001,0.2920404076576233,-5.615159931778908,,
287,301.0,495.70435,237568,826,29,17417.484478759765,280,0.005306079,0.05267333984375,0.9845250844955444,4386.93212890625,0.0028516605336335486,0.2,0.001,0.11087477207183838,-5.61413041651249,,
287,301.0,491.665,245760,854,30,9144.78871459961,290,0.0024344407,0.027734375,0.9837602972984314,4002.11767578125,-0.0008435721319983713,0.2,0.001,0.3001631498336792,-5.611112979054451,,
287,301.0,531.78564,253952,884,31,8653.042852020264,300,0.002885872,0.01676025390625,0.9820541143417358,5097.78759765625,-0.0005778798775281757,0.2,0.001,0.29646801948547363,-5.606074559688568,,
286,301.0,472.62198,262144,914,32,10544.622816467285,310,0.002755156,0.02071533203125,0.9817781448364258,3968.75634765625,-0.0005592215980868787,0.2,0.001,0.19412195682525635,-5.602009746432304,,
286,301.0,470.704,270336,943,33,10275.449786376954,320,0.002927545,0.018505859375,0.9812601804733276,5403.833984375,0.0015993904482456856,0.2,0.001,0.2813400626182556,-5.600679382681847,,
286,301.0,496.129,278528,972,34,10098.844543457031,330,0.0039417795,0.0348876953125,0.9798116683959961,7043.60009765625,0.0005586293402302545,0.2,0.001,0.34669172763824463,-5.596974456310273,,
286,301.0,485.53214,286720,1001,35,8191.337461853027,340,0.0036029192,0.0556396484375,0.9777112007141113,3902.208251953125,0.0003333087057399098,0.2,0.001,0.4116523265838623,-5.5891636043787,,
286,301.0,498.96707,294912,1030,36,7773.521006774902,350,0.0024380004,0.02291259765625,0.9781742095947266,2336.149169921875,0.00038906788395252077,0.2,0.001,0.3193385601043701,-5.5856532663106915,,
286,301.0,481.14618,303104,1059,37,8184.857765197754,360,0.006927018,0.0614990234375,0.977303683757782,2828.67138671875,0.0005262673963443376,0.2,0.001,0.22873598337173462,-5.585075625777245,,
286,301.0,489.88034,311296,1088,38,8347.086763000489,370,0.0041962275,0.05716552734375,0.9755842685699463,3536.34130859375,-0.0007199015170044731,0.2,0.001,0.2382104992866516,-5.57879846394062,,
286,301.0,441.64954,319488,1116,39,6835.940449523926,380,0.004298793,0.03936767578125,0.9759413599967957,2075.593505859375,0.001128089302801527,0.2,0.001,0.17258065938949585,-5.576287770271302,,
285,301.0,452.52496,327680,1146,40,5647.158238983155,390,0.004960541,0.049951171875,0.9772961735725403,1588.296875,-0.0005254153416899499,0.2,0.001,0.18152141571044922,-5.579819321632385,,
285,301.0,490.7642,335872,1174,41,9066.650099945069,400,0.007227971,0.06331787109375,0.9773129224777222,3470.1962890625,0.0008210713182052132,0.2,0.001,0.17484748363494873,-5.582782024145127,,
285,301.0,513.0461,344064,1204,42,12700.70852355957,410,0.0023919703,0.01661376953125,0.9768942594528198,4411.16064453125,-0.000903327348351013,0.2,0.001,0.1380629539489746,-5.581963396072387,,
285,301.0,547.287,352256,1233,43,6368.778453063965,420,0.0029657786,0.02261962890625,0.9762287139892578,2694.2841796875,-0.0003207999121514149,0.2,0.001,0.286421000957489,-5.579380744695664,,
285,301.0,483.7527,360448,1262,44,9156.778433227539,430,0.0027454982,0.01724853515625,0.9748228788375854,3962.52392578125,-0.000837728458282072,0.2,0.001,0.10109949111938477,-5.5753461688756945,,
285,301.0,488.0493,368640,1291,45,4615.826222229004,440,0.007742684,0.06959228515625,0.9757936000823975,2571.85498046875,-0.0006021699606208131,0.2,0.001,0.23512756824493408,-5.574413776397705,,
285,301.0,544.47424,376832,1320,46,6954.944416046143,450,0.005138709,0.05128173828125,0.973542332649231,1995.779052734375,-7.710645004408435e-05,0.2,0.001,0.22956162691116333,-5.5726817607879635,,
285,301.0,530.623,385024,1349,47,17032.989974975586,460,0.0024962379,0.01641845703125,0.9725741147994995,21178.595703125,-0.0006685979882604442,0.2,0.001,0.22281014919281006,-5.564664649963379,,
285,301.0,564.1312,393216,1376,48,6218.059927368164,470,0.0028814776,0.0303955078125,0.970861554145813,3667.084228515625,-0.0014398655184777454,0.2,0.001,0.3735891580581665,-5.560099029541016,,
,,,400000,,,8666.086065673828,480,0.00462503,0.0254150390625,0.9708458185195923,4322.76416015625,-0.00032344107166863977,0.2,0.001,0.1891263723373413,-5.554909253120423,958.2706298828125,301.0
269,301.0,636.2422,401408,1489,49,,,,,,,,,,,,,
269,301.0,596.07056,409600,1517,50,17163.429333496093,490,0.004971936,0.0488525390625,0.9700189232826233,3555.837890625,-0.0014066846095374785,0.2,0.001,0.10206979513168335,-5.55411676466465,,
