time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,535,32768,61,-76.0093,301.0,,,,,,,,,,,,,
2,526,65536,124,-38.76324,300.16,0.2,2.9206275939941406e-06,0.0769159,2742.625345081091,687.6504516601562,10,-5.686461586877703,0.001,0.021847201924902037,1.0067329406738281,0.4497222900390625,,
3,526,98304,186,-88.35282,301.0,0.2,1.1920928955078125e-07,0.11100021,5333.45469776392,1870.8040771484375,20,-5.730259138718248,0.001,0.025988165293347264,1.0231504440307617,0.45225830078125,,
4,515,131072,254,-7365.3027,290.51,0.2,0.0,91.45392,2330.075225508213,1532.6312255859375,30,-5.797025149315596,0.001,0.10857221655169269,1.0377508401870728,0.7142242431640625,,
5,514,163840,318,-5494.1475,153.83,0.2,-1.1920928955078125e-07,32.69401,2111069.572729492,1371479.75,40,-5.82188006862998,0.001,0.07753345564506162,1.035125494003296,0.543829345703125,,
6,513,196608,382,-5140.804,154.69,0.2,0.0,97.901955,2154780.063671875,1345149.25,50,-5.8138347990810875,0.001,0.08542728270840598,1.035200595855713,0.4216766357421875,,
7,514,229376,445,-4984.0854,151.04,0.2,0.0,169.57335,1854582.7386230468,1321722.75,60,-5.83115183673799,0.001,0.14944934257910064,1.0418927669525146,0.7161346435546875,,
8,511,262144,512,-6361.81,151.99,0.2,0.0,41.624146,1935829.474609375,1753965.125,70,-5.821771897748112,0.001,0.16888070339100522,1.0361032485961914,0.793658447265625,,
9,509,294912,578,-5341.4863,150.44,0.2,-1.1920928955078125e-07,32.20896,2076135.1943847656,1317894.375,80,-5.81491122059524,0.001,0.18391798978154839,1.0352816581726074,0.838092041015625,,
10,508,327680,644,-5022.578,150.14,0.2,-1.1920928955078125e-07,128.9418,1918213.05234375,802423.8125,90,-5.814896082878112,0.001,0.2008449019256659,1.0356749296188354,0.95142822265625,,
11,508,360448,709,-4989.498,149.83,0.2,0.0,275.24304,1626448.4561523437,1023992.1875,100,-5.8667742185294625,0.001,0.21011907661450097,1.0498199462890625,0.998980712890625,,
12,509,393216,772,-5857.5244,147.84,0.2,-1.1920928955078125e-07,77.45422,1819568.190625,729129.375,110,-5.943209802731872,0.001,0.20385810946681887,1.0711658000946045,0.977178955078125,,
