time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward
57,32768,1,301.0,568,-56.214863,,,,,,,,,,,,,
118,65536,2,301.0,551,-30.686533,10,0.001,1.990795135498047e-05,642.2173461914062,0.2,-5.668640899658203,0.0733001708984375,-0.0031662657278502594,0.0067782113,0.9983724355697632,1692.971568864584,,
178,98304,3,301.0,549,68.022354,20,0.001,0.028134286403656006,186.10018920898438,0.2,-5.670757151767612,0.0314544677734375,-0.002022780176775996,0.004933454,0.9994016885757446,2510.487025845051,,
238,131072,4,301.0,549,28.630327,30,0.001,0.03356438875198364,1485.2669677734375,0.2,-5.676131263002754,0.014666748046875,-0.0008702001239726087,0.004314406,1.0009033679962158,3174.925192117691,,
298,163840,5,299.77,549,15.12179,40,0.001,0.01672351360321045,674.1539916992188,0.2,-5.681749600172043,0.0387847900390625,-0.0016707250591935009,0.0055775438,1.0011324882507324,1221.3437076807022,,
358,196608,6,301.0,548,258.66275,50,0.001,0.10020685195922852,301.0380554199219,0.2,-5.6635006058961155,0.0740570068359375,-0.0031193451723083854,0.007763504,0.9935594797134399,808.714621669054,,
418,229376,7,301.0,547,381.84827,60,0.001,0.014656901359558105,225.19696044921875,0.2,-5.651106704026461,0.08502197265625,-0.0017108332647694624,0.009146886,0.9943434000015259,2117.321266055107,,
479,262144,8,301.0,546,314.59735,70,0.001,-0.09491026401519775,483.0375671386719,0.2,-5.648031029105186,0.044805908203125,0.0002774125603536959,0.0051784436,0.9900586605072021,3594.4937064647675,,
541,294912,9,301.0,544,329.08514,80,0.001,-0.06307363510131836,990.7022705078125,0.2,-5.62833109870553,0.06431884765625,-0.0008439269236987457,0.006963026,0.9889512062072754,2373.1132098913195,,
602,327680,10,301.0,544,275.36853,90,0.001,-0.0096513032913208,176.70387268066406,0.2,-5.625082355737686,0.087506103515625,-0.0004109313103981549,0.007982339,0.9848248958587646,2831.347366023064,,
663,360448,11,300.27,542,388.33026,100,0.001,-0.049692511558532715,851.4332275390625,0.2,-5.618348389491439,0.0983123779296875,-0.0008059210791543592,0.008553448,0.9889987707138062,2115.448942399025,,
733,393216,12,301.0,535,488.02136,110,0.001,0.0025222301483154297,1227.301025390625,0.2,-5.618329106643796,0.092547607421875,-0.0001845413600676693,0.009169536,0.9842044711112976,3431.754690146446,,
802,425984,13,301.0,530,286.08215,120,0.001,-0.055251479148864746,264.5076599121094,0.2,-5.604719684273005,0.1126007080078125,6.755730355507694e-05,0.00999611,0.9833800196647644,3472.0631405115128,,
871,458752,14,301.0,526,121.24609,130,0.001,-0.07062995433807373,171.7809600830078,0.2,-5.591057373210788,0.1147857666015625,-0.000900587105388695,0.0114218695,0.9717624187469482,1475.127105498314,,
935,491520,15,301.0,525,492.9178,140,0.001,-0.02162492275238037,1567.20849609375,0.2,-5.549859767407179,0.1600433349609375,-0.0006569857499926002,0.017490443,0.9679778814315796,26591.157487475873,,
1002,524288,16,301.0,522,469.82312,150,0.001,-0.013997673988342285,1377.0924072265625,0.2,-5.517922052741051,0.1390655517578125,0.0002872081349778455,0.012916509,0.9600757360458374,3314.342656540871,,
1063,557056,17,301.0,523,414.5745,160,0.001,-0.05335569381713867,322.7361145019531,0.2,-5.510185960307718,0.1331878662109375,0.0011290664810076124,0.012282822,0.9616129398345947,3054.7887019634245,,
1123,589824,18,301.0,524,382.41235,170,0.001,-0.11872971057891846,231.3438262939453,0.2,-5.515886792540551,0.13502197265625,-0.0004307448900362942,0.011524888,0.9614874124526978,2448.939071059227,,
1186,622592,19,301.0,524,615.3953,180,0.001,-0.012138962745666504,160.54180908203125,0.2,-5.501071834564209,0.1784881591796875,-0.0007236269828354124,0.015529336,0.9556170105934143,1945.3456743359566,,
1246,655360,20,299.95,525,724.94366,190,0.001,0.03178441524505615,1806.88232421875,0.2,-5.46527551189065,0.1560302734375,0.0011129521770271821,0.014414014,0.9446943998336792,3455.832427692413,,
1306,688128,21,301.0,526,651.0248,200,0.001,-0.02497255802154541,674.9700927734375,0.2,-5.42580930814147,0.1891754150390625,0.0008390073324335389,0.016055057,0.937907338142395,5334.053722095489,,
1365,720896,22,298.54,527,574.311,210,0.001,-0.008826017379760742,1413.391357421875,0.2,-5.393080215528608,0.1906402587890625,-0.00014934531136532315,0.016190182,0.9330407381057739,3340.7353755950926,,
1425,753664,23,301.0,528,615.8639,220,0.001,-0.026165127754211426,259.8296203613281,0.2,-5.3739138875156645,0.216497802734375,0.003951474286441226,0.01948908,0.9280269145965576,2504.5802928447724,,
1484,786432,24,301.0,529,700.075,230,0.001,0.019865989685058594,518.0413208007812,0.2,-5.3561656136065725,0.1971282958984375,0.0006918234621480224,0.016316695,0.9211781024932861,3312.9380419492722,,
1545,819200,25,301.0,530,854.75854,240,0.001,0.004140496253967285,565.3428344726562,0.2,-5.315969515219331,0.193072509765625,0.0008119638812786433,0.017393284,0.91297847032547,3532.4709132432936,,
1604,851968,26,301.0,530,854.5726,250,0.001,0.0006285309791564941,418.11505126953125,0.2,-5.293778005614877,0.2028839111328125,0.00021380016987677665,0.01935075,0.9097449779510498,4443.7501067638395,,
