time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1,-84.13043,426,76,301.0,32768,,,,,,,,,,,,,
2,-77.19721,419,156,301.0,65536,10,1793.2963670730592,1744.9876708984375,-0.0017737558877342964,0.001,0.0794403076171875,0.9962354302406311,0.00538203,-5.6611594066023825,0.2,2.467632293701172e-05,,
3,20.461302,419,234,301.0,98304,20,1319.0569527626037,714.9817504882812,-0.0017924993462656857,0.001,0.026947021484375,0.9965568780899048,0.00467664,-5.661557583510875,0.2,0.03037494421005249,,
4,-46.883575,419,312,301.0,131072,30,4406.268799972534,2320.886474609375,-0.0004257086397046805,0.001,0.000732421875,0.996627688407898,0.0012604585,-5.6619117423892025,0.2,0.03158605098724365,,
5,-23.687664,419,390,301.0,163840,40,1683.1077082157135,803.984130859375,-0.0002499208225344773,0.001,0.000830078125,0.9969155788421631,0.0009689701,-5.662739704549312,0.2,0.08089208602905273,,
6,76.5124,418,469,301.0,196608,50,2223.6538734912874,1793.4583740234375,-0.00021091606140544172,0.001,0.0008392333984375,0.9971767663955688,0.00092373585,-5.663235709071159,0.2,0.06183481216430664,,
7,-3.8567562,418,548,301.0,229376,60,4003.3293228149414,1030.621337890625,-0.0006331965611025226,0.001,0.015765380859375,0.9954540729522705,0.004298905,-5.661158719658852,0.2,0.030437350273132324,,
8,30.70075,418,626,301.0,262144,70,2132.4787047863006,1506.4102783203125,-0.0004478221977478825,0.001,0.0099456787109375,0.9932136535644531,0.0024362772,-5.6535798236727715,0.2,0.040000081062316895,,
9,57.586918,418,705,301.0,294912,80,1525.023339509964,125.34820556640625,-0.0012639120452149655,0.001,0.019970703125,0.9903340339660645,0.003157413,-5.644574539363385,0.2,0.09446662664413452,,
10,109.61935,418,783,301.0,327680,90,1995.7518357276917,583.545166015625,-0.000474324429887929,0.001,0.0260894775390625,0.9882506132125854,0.0050059548,-5.6320810750126835,0.2,0.07404583692550659,,
11,106.73053,417,862,301.0,360448,100,2023.9425790786743,1003.6221923828125,-0.0002537530237532337,0.001,0.0190673828125,0.9882111549377441,0.003954095,-5.6277948170900345,0.2,0.0426824688911438,,
12,145.739,418,940,301.0,393216,110,1990.2416346549987,1783.596435546875,-0.0008833993611915503,0.001,0.0234222412109375,0.9870668053627014,0.004910011,-5.626725019514561,0.2,0.044847965240478516,,
