Episode,Reward
1,-1361.3934
2,-1713.7681
3,-194.40732
4,-1674.746
5,-1618.1113
6,-1649.9183
7,-386.4434
8,-1581.6666
9,-266.49695
10,-336.97617
11,-1689.0627
12,-261.8637
13,-421.85693
14,871.1586
15,-1352.212
16,-2235.6677
17,-1226.1676
18,-391.93268
19,-1666.7524
20,651.09705
21,-1938.8854
22,-355.8148
23,-1316.6936
24,-226.8402
25,-494.582
26,-1850.4279
27,-295.80685
28,55.740166
29,-216.2016
30,-282.6138
31,-1598.9971
32,-1653.9562
33,-1400.8444
34,-895.14465
35,-344.934
36,-638.9774
37,-159.74286
38,-368.5363
39,-465.42902
40,-2407.0972
41,-447.20435
42,-1649.4767
43,2858.6711
44,-789.48975
45,-1574.0317
46,-2046.4794
47,-1597.775
48,-1770.1196
49,-290.7685
50,-936.58704
51,218.54454
52,-642.3891
53,-1798.0308
54,-351.29166
55,-1655.7812
56,-512.8474
57,-423.0994
58,932.57513
59,1132.3623
60,613.20355
61,-1764.629
62,-1596.3975
63,-2007.2627
64,-1627.789
65,-382.29852
66,-611.0495
67,2782.568
68,-1663.5475
69,-1686.4774
70,-1290.167
71,-2056.086
72,-1424.5121
73,-325.9213
74,584.8485
75,-271.3594
76,4035.3494
77,-324.94064
78,-1287.1841
79,-542.88367
80,-490.77158
81,754.91547
82,-386.8569
83,-460.8499
84,-1383.6616
85,-329.09265
86,-1377.9113
87,-431.2959
88,-2189.1638
89,-1433.1267
90,547.95526
91,-203.1902
92,3964.0654
93,-323.2244
94,-380.27417
95,-1072.0427
96,-1405.4846
97,-903.29034
98,638.0326
99,2435.447
100,-2397.4475
