rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/std,train/approx_kl,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
-1042.6432,405,32768,80,300.3917525773196,1,,,,,,,,,,,,,
-996.79877,404,65536,161,299.7,2,0.37096869945526123,0.001,0.2,0.4146148681640625,1240,-3.8675634980201723,0.03120752381873899,0.6394437551498413,0.048084974,25692.31560974121,5948.81591796875,,
-1006.9676,407,98304,241,298.38,3,0.5096465945243835,0.001,0.2,0.3080535888671875,1250,-3.867538806051016,0.014511001990103977,0.6391522884368896,0.029301437,15242.69100036621,4100.07568359375,,
-999.2007,409,131072,320,296.07,4,0.44017308950424194,0.001,0.2,0.2971282958984375,1260,-3.8658212296664716,0.013781233489135047,0.6389298439025879,0.028289868,8835.235707855225,1864.7523193359375,,
-1075.6812,410,163840,399,301.0,5,0.5334852039813995,0.001,0.2,0.2571319580078125,1270,-3.8687562204897405,0.008303737606547656,0.6401978135108948,0.024135169,5199.505943679809,848.7628173828125,,
-889.74133,411,196608,478,301.0,6,0.4846504330635071,0.001,0.2,0.2659149169921875,1280,-3.8686671920120714,0.007786001560089062,0.6388927698135376,0.022880848,3204.9085021972655,690.110107421875,,
-951.76697,411,229376,557,299.16,7,0.4003538489341736,0.001,0.2,0.252227783203125,1290,-3.8638728722929954,0.006415781730538583,0.6385003924369812,0.022429347,3036.8768257141114,590.490478515625,,
-1017.0811,411,262144,636,301.0,8,0.37190431356430054,0.001,0.2,0.245916748046875,1300,-3.861434356123209,0.005800203877515742,0.6390388011932373,0.022960566,2642.8142841339113,415.5166015625,,
-1040.3911,411,294912,716,301.0,9,0.45504242181777954,0.001,0.2,0.19759521484375,1310,-3.856914085149765,0.0037218035187834174,0.6364778280258179,0.017483387,2987.696410179138,375.7095642089844,,
-1041.4497,411,327680,795,301.0,10,0.4465859532356262,0.001,0.2,0.2258270263671875,1320,-3.8420575000345707,0.0048489283220988,0.6335902214050293,0.019295992,2187.1325166702272,279.45794677734375,,
-1060.0972,411,360448,875,301.0,11,0.391711950302124,0.001,0.2,0.2352691650390625,1330,-3.823163361102343,0.0033645199615421006,0.6314924359321594,0.021806505,2361.3107339859007,303.1479187011719,,
-803.70087,412,393216,953,296.14,12,0.5270935297012329,0.001,0.2,0.1832855224609375,1340,-3.7994628354907034,0.0011165103416715283,0.6253276467323303,0.016849563,1977.4774003982543,285.2091369628906,,
-885.62787,412,425984,1032,301.0,13,0.49533355236053467,0.001,0.2,0.16422119140625,1350,-3.7682724989950658,0.0024853092379999,0.6218252182006836,0.014403063,3578.4981927871704,522.6650390625,,
-980.82227,412,458752,1111,301.0,14,0.4891529679298401,0.001,0.2,0.137896728515625,1360,-3.7438329868018627,-0.0006640957832132699,0.6177082657814026,0.012749236,2868.527285003662,470.37054443359375,,
-1028.0499,413,491520,1189,298.81,15,0.5577036142349243,0.001,0.2,0.1464569091796875,1370,-3.71967074945569,0.0009468771258980269,0.6145769953727722,0.014218034,2432.1881544113157,388.6201477050781,,
-834.75446,413,524288,1267,298.43,16,0.49160903692245483,0.001,0.2,0.160577392578125,1380,-3.7012855000793934,0.0016773146626292146,0.6116059422492981,0.015581882,2601.4914791107176,575.8954467773438,,
-647.1107,413,557056,1346,300.86,17,0.47606807947158813,0.001,0.2,0.1472442626953125,1390,-3.6864273943006993,-0.0005021740427764599,0.6100819110870361,0.014158638,3077.5130769729612,793.1183471679688,,
-776.2566,413,589824,1424,299.4,18,0.47504037618637085,0.001,0.2,0.140557861328125,1400,-3.6749507606029512,0.0018564680947747547,0.6082979440689087,0.012978217,3881.417328071594,723.81787109375,,
-826.62415,414,622592,1503,301.0,19,0.5211706459522247,0.001,0.2,0.1423583984375,1410,-3.658668990433216,-0.000508805187746475,0.6051622033119202,0.012436888,2799.561968040466,442.2156066894531,,
-833.7893,414,655360,1581,300.31,20,0.5556403994560242,0.001,0.2,0.12340087890625,1420,-3.6438933737576007,-2.188724829466082e-05,0.6038492918014526,0.01186266,3500.0179809570313,788.0018310546875,,
-699.0575,414,688128,1661,296.09,21,0.5338790714740753,0.001,0.2,0.1321319580078125,1430,-3.634063483029604,0.000959793220681604,0.6017270088195801,0.01152225,3591.711065673828,765.3977661132812,,
-881.1727,413,720896,1741,293.04,22,0.6142407357692719,0.001,0.2,0.1114044189453125,1440,-3.6213679358363153,-0.0008123324898406282,0.6001824736595154,0.010784056,3393.598378372192,1121.1783447265625,,
-778.1116,413,753664,1820,297.69,23,0.622735321521759,0.001,0.2,0.110272216796875,1450,-3.611256882548332,-0.0006970815895328997,0.5990642309188843,0.010387675,2636.5093801498415,577.9028930664062,,
-825.36334,413,786432,1900,299.01,24,0.6247726082801819,0.001,0.2,0.1353057861328125,1460,-3.6050422810018063,0.0016163783027877798,0.5984544157981873,0.012939248,3146.8727787017824,704.7688598632812,,
-816.05743,413,819200,1979,300.43,25,0.6842128932476044,0.001,0.2,0.0989410400390625,1470,-3.598232838511467,-0.0007029316227999515,0.5965526700019836,0.009763565,2515.6375314712523,563.8832397460938,,
