rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/std,train/approx_kl,train/value_loss,train/loss
-1065.0109,430,32768,76,294.93939393939394,1,,,,,,,,,,,
-974.20264,414,65536,158,298.88,2,0.43660104274749756,0.001,0.2,0.4262847900390625,1240,-3.8743479788303374,0.03280726541634067,0.6416258215904236,0.048574552,21291.18189239502,3759.84912109375
-1146.8281,409,98304,240,300.65,3,0.5321955680847168,0.001,0.2,0.31107177734375,1250,-3.8820933032780887,0.01494059398319223,0.6414577960968018,0.028824275,10812.81780166626,1799.685302734375
-1027.5923,404,131072,323,296.52,4,0.4748445153236389,0.001,0.2,0.29066162109375,1260,-3.8836774677038193,0.011592944009498752,0.642542839050293,0.026628941,5654.554137802124,985.2491455078125
-950.0807,402,163840,406,297.17,5,0.49416065216064453,0.001,0.2,0.2772918701171875,1270,-3.8798664797097446,0.00938354123463796,0.6404495239257812,0.026117962,3980.8947142601014,698.6495971679688
-1089.1572,401,196608,489,296.62,6,0.48073869943618774,0.001,0.2,0.3074798583984375,1280,-3.867088705673814,0.009232783787319931,0.6387028694152832,0.0310583,2803.546689796448,449.7966003417969
-994.12305,400,229376,572,301.0,7,0.4880215525627136,0.001,0.2,0.259417724609375,1290,-3.85981590077281,0.005389808098698268,0.6378175020217896,0.023684185,1997.2280010700226,241.26531982421875
-1166.9126,400,262144,654,301.0,8,0.44622355699539185,0.001,0.2,0.2939453125,1300,-3.8624333500862122,0.007855955651393742,0.6384396553039551,0.02864645,2022.0035033226013,464.4358825683594
-953.8187,400,294912,736,301.0,9,0.41007256507873535,0.001,0.2,0.2456268310546875,1310,-3.851052040234208,0.00428144490433624,0.6361157894134521,0.022169875,1633.898006629944,283.468017578125
-845.8445,400,327680,818,298.12,10,0.33183735609054565,0.001,0.2,0.251531982421875,1320,-3.841408357396722,0.004403563884625328,0.6346955895423889,0.02298463,2485.480046367645,524.69482421875
-874.9881,400,360448,900,295.28,11,0.3883192539215088,0.001,0.2,0.1960601806640625,1330,-3.8304959181696177,0.001927173101103108,0.6324183940887451,0.017626327,2201.4552702903748,277.1422424316406
-879.966,400,393216,982,299.35,12,0.4606623649597168,0.001,0.2,0.2345703125,1340,-3.817417247965932,0.0029567095458332914,0.630662202835083,0.021007292,2404.459291934967,339.0322265625
-761.3313,399,425984,1065,300.25,13,0.4218440055847168,0.001,0.2,0.2126129150390625,1350,-3.7996533159166574,0.0036205061065629706,0.6269063949584961,0.019546822,2803.31210231781,840.6561889648438
-743.31354,399,458752,1147,301.0,14,0.4573550224304199,0.001,0.2,0.18392333984375,1360,-3.777612715959549,0.0026312422565752057,0.6238925457000732,0.0170538,2912.296527671814,534.1619873046875
-735.5656,399,491520,1229,301.0,15,0.4722774624824524,0.001,0.2,0.164306640625,1370,-3.763436597213149,0.0007686816217756132,0.6215246915817261,0.014601778,2600.2267172813417,389.74664306640625
-861.391,399,524288,1313,301.0,16,0.5189229249954224,0.001,0.2,0.186029052734375,1380,-3.748283717036247,0.0017940228224688326,0.6197694540023804,0.017121509,2592.369661283493,383.2547912597656
