time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/loss
32768,-322.45923,208,1,157,592.8367346938776,,,,,,,,,,,
65536,-505.02438,149,2,437,592.6122448979592,0.001,24214.04178276062,-3.9304672890575603,0.0925610550661304,0.6542704701423645,0.2,0.678973388671875,0.17267974,0.2549595236778259,1240,5372.01611328125
98304,-575.9716,137,3,717,596.78,0.001,9567.968703794479,-3.9936046592192724,0.04100609947595331,0.6618578433990479,0.2,0.5407257080078125,0.09386152,0.5911809206008911,1250,2521.51025390625
131072,-231.76555,131,4,998,601.0,0.001,8055.450241351127,-4.042016230896115,0.03255475039816247,0.6698073744773865,0.2,0.517498779296875,0.0823768,0.5371699631214142,1260,899.4292602539062
163840,-228.24037,127,5,1280,601.0,0.001,7255.674712467194,-4.063780852034688,0.030327975221086944,0.6697471737861633,0.2,0.5036712646484375,0.081370175,0.5309458673000336,1270,2266.32373046875
196608,-823.46893,125,6,1563,580.78,0.001,6578.066839241981,-4.082156575936824,0.03160373467858335,0.670852541923523,0.2,0.51104736328125,0.08392575,0.48169219493865967,1280,1303.9114990234375
229376,-1299.8518,123,7,1850,526.48,0.001,5898.298169955611,-4.093262285692617,0.03897421155661505,0.6850588321685791,0.2,0.549334716796875,0.1253736,0.5972530543804169,1290,426.8885498046875
262144,-877.72095,122,8,2144,433.94,0.001,9784.028492683172,-4.176622702367604,0.03549673726001856,0.6937002539634705,0.2,0.53055419921875,0.09164667,0.5262049436569214,1300,3733.76416015625
294912,-1082.5099,121,9,2436,416.18,0.001,11450.150286021828,-4.232171316631138,0.022833361280311236,0.7006986737251282,0.2,0.47666015625,0.07056716,0.6721444129943848,1310,8509.546875
327680,-849.882,120,10,2725,421.2,0.001,8640.197220185399,-4.25025407387875,0.017766699764268878,0.7017282843589783,0.2,0.4236541748046875,0.055384018,0.7961129397153854,1320,1953.1412353515625
360448,-992.30096,119,11,3015,484.22,0.001,10947.049511379004,-4.256598527915775,0.01797607680204578,0.707005500793457,0.2,0.436541748046875,0.061287694,0.7985472083091736,1330,1483.0977783203125
393216,-968.84827,119,12,3300,540.01,0.001,9221.04772555232,-4.270492308912798,0.01550278741170814,0.7092016935348511,0.2,0.422149658203125,0.05367159,0.8096543550491333,1340,5896.14794921875
425984,-858.1794,118,13,3584,578.24,0.001,8740.564731827379,-4.3024531931150705,0.018606828796259835,0.7141374349594116,0.2,0.4364410400390625,0.059106443,0.77739018201828,1350,954.7686767578125
458752,-668.24524,118,14,3870,593.3,0.001,7499.8993072927,-4.323295417567715,0.021082061805157083,0.7194657325744629,0.2,0.445892333984375,0.057601318,0.7564003169536591,1360,3809.737548828125
491520,-600.76227,118,15,4157,577.6,0.001,7952.6400756955145,-4.352583589870482,0.02124382831424896,0.7226943969726562,0.2,0.4557525634765625,0.065029964,0.6113196909427643,1370,2186.053955078125
524288,-865.30585,117,16,4445,588.1,0.001,7486.46573946476,-4.392545544542372,0.035283812660679814,0.7343505620956421,0.2,0.5244354248046875,0.0821023,0.4850538969039917,1380,3671.79541015625
557056,-836.01807,117,17,4736,585.36,0.001,5699.614094492793,-4.481939102942124,0.04192468557185976,0.7381967306137085,0.2,0.5389129638671875,0.08478249,0.5548549890518188,1390,1193.82373046875
589824,-899.10626,117,18,5030,586.89,0.001,11872.864298331737,-4.469657179107889,0.03407662426818092,0.7438830137252808,0.2,0.4827606201171875,0.09611452,0.3559113144874573,1400,5107.65283203125
622592,-1644.972,116,19,5359,124.17,0.001,6749.074153119325,-4.564775922102854,0.2305804076376262,0.7605563402175903,0.2,0.9854705810546875,626.7078,0.4339416027069092,1410,618.9758911132812
655360,-1633.0874,114,20,5704,126.66,0.001,6930.089961484075,-4.575710575049743,0.29217183400169233,0.7626411318778992,0.2,0.9989501953125,127.51756,0.06629425287246704,1420,1155.7718505859375
688128,-1604.1304,113,21,6043,125.78,0.001,2539.349322254956,-4.6117999012582,0.33351432444869716,0.770470380783081,0.2,0.99908447265625,222.38492,0.8417212218046188,1430,1980.115478515625
720896,-1405.4597,113,22,6374,128.27,0.001,2146.754919692874,-4.626021257601678,0.33114411963251766,0.7720888257026672,0.2,0.999078369140625,213.682,0.9017335921525955,1440,1002.4091186523438
753664,-1621.3544,111,23,6729,124.89,0.001,6507.97922809422,-4.61200547046028,0.3136993901400274,0.7705464363098145,0.2,0.999493408203125,118.54031,0.8751381784677505,1450,1027.93798828125
786432,-1630.9792,108,24,7219,125.88,0.001,2172.52338065207,-4.6775679379235955,0.32292506136000154,0.7834809422492981,0.2,0.999359130859375,174.27788,0.910916231572628,1460,720.0007934570312
