Episode,Reward
1,-1677.3412
2,-1694.9728
3,-1321.948
4,-1927.2449
5,-1714.1296
6,-1505.762
7,-1448.1686
8,-1384.5511
9,-1594.1742
10,-1536.0842
11,-1427.7949
12,-1600.5142
13,-1706.6072
14,-1887.3694
15,-1651.4513
16,-1862.5399
17,-1483.3687
18,-1685.3601
19,-1649.1335
20,-1755.1736
21,-1598.9081
22,-1421.1702
23,-1611.1329
24,-1573.0016
25,-1624.5465
26,-1660.7816
27,-1606.9194
28,-1503.9373
29,-1637.9745
30,-1669.3947
31,-1811.8656
32,-1718.5093
33,-1089.9606
34,-1385.5988
35,-1568.4076
36,-1495.3372
37,-1543.6473
38,-1634.4902
39,-1665.2487
40,-1659.4415
41,-1582.7812
42,-1806.5099
43,-1663.2776
44,-1710.7423
45,-1791.8118
46,-1536.798
47,-1432.6357
48,-1581.841
49,-1868.1434
50,-1601.9846
51,-1406.1106
52,-1334.4514
53,-1501.2097
54,-1571.6547
55,-1535.5375
56,-1588.757
57,-1589.4315
58,-1320.4789
59,-1515.4349
60,-1514.8855
61,-1619.5752
62,-1721.9617
63,-1481.9275
64,-1624.7286
65,-1496.8665
66,-1463.7396
67,-1638.4349
68,-1693.3566
69,-1551.651
70,-1710.0073
71,-1496.8813
72,-1712.1581
73,-1705.0934
74,-1354.9916
75,-1498.1508
76,-1604.9436
77,-1703.3505
78,-1634.7675
79,-1675.3386
80,-1530.7695
81,-1683.2498
82,-1336.4275
83,-1656.6587
84,-1961.4099
85,-1699.0308
86,-1549.153
87,-1592.9484
88,-1456.5337
89,-1604.2711
90,-1648.8165
91,-1587.8508
92,-1449.2771
93,-1565.9642
94,-1686.7892
95,-1419.2139
96,-1738.1978
97,-1359.225
98,-1468.1936
99,-1463.233
100,-1422.9841
