rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/explained_variance,train/entropy_loss,train/value_loss,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
623.0803,291.67,1,208,157,32768,,,,,,,,,,,,,
648.13055,288.68,2,207,316,65536,0.6393716931343079,0.06498849391937256,-3.8674141146242618,42817.73709411621,7880.27001953125,0.2,1240,0.06430416,0.001,0.4659332275390625,0.03823604311910458,,
659.586,296.77,3,206,475,98304,0.6389012336730957,0.23903828859329224,-3.866317754983902,30664.11455078125,6172.82373046875,0.2,1250,0.047963455,0.001,0.3899566650390625,0.02448917156580137,,
434.76117,296.99,4,206,634,131072,0.6392942070960999,0.19828718900680542,-3.865967133641243,22619.744300842285,5286.810546875,0.2,1260,0.0376872,0.001,0.3449462890625,0.019041479467705357,,
498.30386,295.24,5,206,794,163840,0.6391290426254272,0.3231900930404663,-3.867862368375063,15543.411470794677,2215.998779296875,0.2,1270,0.039067928,0.001,0.3633331298828125,0.01795771021534165,,
768.8588,293.66,6,206,953,196608,0.6389012336730957,0.18420922756195068,-3.865048202872276,14991.535815429688,3019.529541015625,0.2,1280,0.035395548,0.001,0.334979248046875,0.013968486144949565,,
670.3961,297.15,7,205,1113,229376,0.6389533877372742,0.20657849311828613,-3.863920681923628,13815.297401428223,2399.654541015625,0.2,1290,0.03355781,0.001,0.3309844970703125,0.01472479575095349,,
532.13947,296.29,8,205,1275,262144,0.6394488215446472,0.19828766584396362,-3.8651628494262695,12285.290027618408,1826.9356689453125,0.2,1300,0.03427248,0.001,0.3340850830078125,0.014047599585319403,,
512.6863,296.19,9,205,1434,294912,0.6387782096862793,0.16831284761428833,-3.8644302897155285,13621.105360412597,2515.5732421875,0.2,1310,0.036350094,0.001,0.3274871826171875,0.012038680077239405,,
608.479,292.76,10,205,1594,327680,0.6381828188896179,0.13603222370147705,-3.861339724808931,11771.508920288086,2115.2802734375,0.2,1320,0.03055175,0.001,0.299847412109375,0.009438747834428796,,
494.18182,294.19,11,205,1753,360448,0.6385769844055176,0.13249289989471436,-3.859766335040331,11818.830813598634,2232.891845703125,0.2,1330,0.032497603,0.001,0.318768310546875,0.010630505447625182,,
961.9536,299.29,12,205,1912,393216,0.6392834186553955,0.15144765377044678,-3.8628190025687217,9555.69461517334,1610.6195068359375,0.2,1340,0.031319283,0.001,0.3090301513671875,0.009178712988068582,,
612.4607,299.97,13,205,2071,425984,0.6386501789093018,0.200100839138031,-3.863055755198002,12612.573461914062,2011.97021484375,0.2,1350,0.03428424,0.001,0.3153594970703125,0.0116713360974245,,
777.2071,299.02,14,205,2231,458752,0.634084939956665,0.23528242111206055,-3.84645137488842,9101.764825820923,1081.3355712890625,0.2,1360,0.025858711,0.001,0.2680938720703125,0.0071380078101356045,,
781.1423,294.84,15,205,2390,491520,0.6333344578742981,0.1584184169769287,-3.8294747836887835,13402.070275115966,2794.8447265625,0.2,1370,0.032135293,0.001,0.298602294921875,0.012043932778033195,,
634.175,297.49,16,205,2549,524288,0.6322677135467529,0.1410701870918274,-3.82403446957469,12232.949478149414,2547.306884765625,0.2,1380,0.026150336,0.001,0.273760986328125,0.007666128914570436,,
783.44696,292.17,17,205,2709,557056,0.6304418444633484,0.15960240364074707,-3.8157958984375,9756.002569580078,2247.01318359375,0.2,1390,0.021599397,0.001,0.23001708984375,0.0044183890007843726,,
579.54913,298.2,18,205,2868,589824,0.6279412508010864,0.2744089365005493,-3.8015803143382074,9875.306320953368,1383.9349365234375,0.2,1400,0.019548453,0.001,0.205224609375,0.0030698863276484188,,
683.9579,298.56,19,205,3027,622592,0.6271666884422302,0.2428830862045288,-3.7903571508824827,8361.375545883178,1457.9593505859375,0.2,1410,0.023283744,0.001,0.2442596435546875,0.004845493215907481,,
939.4563,291.15,20,205,3186,655360,0.6262164115905762,0.23388701677322388,-3.7864349953830243,9343.711137390137,1287.9083251953125,0.2,1420,0.02144187,0.001,0.22589111328125,0.0058851306988799475,,
800.01056,300.79,21,205,3345,688128,0.625464916229248,0.29777783155441284,-3.7816836133599283,11196.188391876221,2462.672119140625,0.2,1430,0.021129493,0.001,0.2402801513671875,0.005244061055236671,,
836.3516,297.33,22,205,3505,720896,0.6252430081367493,0.31726759672164917,-3.778453353792429,9288.475160980224,1546.6448974609375,0.2,1440,0.017026706,0.001,0.1912353515625,0.0033280896168434992,,
710.73975,301.0,23,205,3664,753664,0.6252326965332031,0.33255940675735474,-3.7774959608912466,9693.226822662353,1083.34326171875,0.2,1450,0.021369817,0.001,0.23853759765625,0.005102756965061417,,
810.989,296.8,24,205,3823,786432,0.6244801878929138,0.35755252838134766,-3.7756320126354694,9207.017142486573,1218.417236328125,0.2,1460,0.018399332,0.001,0.2018798828125,0.0023956928998813964,,
703.13403,292.97,25,205,3983,819200,0.6216630935668945,0.2896196246147156,-3.7643390581011773,10160.796059799195,1342.75732421875,0.2,1470,0.018812524,0.001,0.222650146484375,0.004923771853282233,,
879.442,294.53,26,205,4142,851968,0.6204328536987305,0.3100666403770447,-3.7518208481371405,9916.19991531372,1509.28564453125,0.2,1480,0.018753598,0.001,0.191925048828125,0.0031979196141037392,,
785.29877,298.58,27,205,4301,884736,0.6191767454147339,0.31273043155670166,-3.7431553468108176,9969.577766418457,1704.347900390625,0.2,1490,0.014689079,0.001,0.1709930419921875,0.002277298229455482,,
820.4111,301.0,28,205,4460,917504,0.61817467212677,0.32248347997665405,-3.7359212450683117,8657.860596847535,1149.630859375,0.2,1500,0.018221203,0.001,0.1976287841796875,0.002130721014327719,,
848.4572,299.26,29,205,4620,950272,0.6155635118484497,0.40242499113082886,-3.724745999276638,7466.674207305909,861.7532958984375,0.2,1510,0.016099611,0.001,0.1793548583984375,0.00247944648945122,,
923.9891,301.0,30,205,4781,983040,0.6128247976303101,0.3848308324813843,-3.7069809921085835,8398.93735961914,1470.6571044921875,0.2,1520,0.017657349,0.001,0.190069580078125,0.0035901122304494494,,
1117.5813,298.29,31,205,4942,1015808,0.6104241609573364,0.3897410035133362,-3.689835910499096,8397.702647018432,1358.1331787109375,0.2,1530,0.017514192,0.001,0.1846893310546875,0.0014196741751220543,,
932.62524,297.68,32,205,5102,1048576,0.6100094318389893,0.38697493076324463,-3.680734034627676,9234.10373878479,965.101318359375,0.2,1540,0.016617285,0.001,0.1909759521484375,0.003910496010939823,,
956.4741,301.0,33,205,5262,1081344,0.6074157357215881,0.37266969680786133,-3.6724301651120186,8446.88003578186,1296.0611572265625,0.2,1550,0.014614563,0.001,0.1630645751953125,0.002099997008917853,,
1107.4891,301.0,34,205,5422,1114112,0.6052066683769226,0.35939139127731323,-3.6560524456202983,8863.91796836853,1288.0643310546875,0.2,1560,0.016562767,0.001,0.1861968994140625,0.0024257380464405287,,
1105.4207,299.41,35,205,5581,1146880,0.6032562255859375,0.38175761699676514,-3.6420622251927854,9246.820063018798,1108.9241943359375,0.2,1570,0.016869457,0.001,0.1816619873046875,0.0025935733348887878,,
961.79065,299.05,36,205,5742,1179648,0.6012301445007324,0.39847642183303833,-3.6302466981112955,9192.558683395386,1335.5115966796875,0.2,1580,0.0141662955,0.001,0.1509796142578125,0.0015719717481260886,,
1084.0121,298.32,37,205,5902,1212416,0.6001076698303223,0.44151902198791504,-3.6200321838259697,8313.688304519654,1035.7811279296875,0.2,1590,0.015251249,0.001,0.1744659423828125,0.0018577124774310505,,
1235.5024,297.63,38,205,6062,1245184,0.5978196859359741,0.4095692038536072,-3.608631928265095,9281.14592628479,1184.8876953125,0.2,1600,0.014844817,0.001,0.169384765625,0.002192505507628084,,
900.88367,297.81,39,205,6221,1277952,0.5958694815635681,0.4347478151321411,-3.5947422705590726,8740.802575683594,2209.3125,0.2,1610,0.01579761,0.001,0.19215087890625,0.004980898192843597,,
1048.5181,298.74,40,205,6380,1310720,0.5937230587005615,0.4508500099182129,-3.5817518144845963,8427.374172210693,1343.1055908203125,0.2,1620,0.014925791,0.001,0.1686248779296875,0.0015180149606749183,,
1187.3734,301.0,41,205,6540,1343488,0.5916393995285034,0.5323108434677124,-3.5669534899294377,7923.000169372559,1339.9625244140625,0.2,1630,0.013560929,0.001,0.1531005859375,0.0003125422290395363,,
1053.6283,300.98,42,205,6699,1376256,0.5885032415390015,0.4917874336242676,-3.5501072220504284,7952.688079833984,907.3130493164062,0.2,1640,0.015532878,0.001,0.17557373046875,0.002040815577129251,,
1346.4631,298.73,43,205,6858,1409024,0.5862377882003784,0.48248857259750366,-3.530576143413782,7826.839538574219,922.0294799804688,0.2,1650,0.014717251,0.001,0.1629119873046875,0.0017026348377839895,,
1035.6313,296.17,44,205,7017,1441792,0.583915114402771,0.45767974853515625,-3.516029657423496,8392.54253730774,891.3345947265625,0.2,1660,0.016323846,0.001,0.176495361328125,0.002398915833691717,,
1559.7986,295.91,45,205,7176,1474560,0.5815538763999939,0.4861305356025696,-3.500456540286541,8324.841736984254,1619.8763427734375,0.2,1670,0.014743084,0.001,0.1634368896484375,0.0007486792041163426,,
1072.5597,291.77,46,205,7336,1507328,0.5802080035209656,0.4565957188606262,-3.486804526299238,10304.257469177246,1603.5758056640625,0.2,1680,0.014170293,0.001,0.1632598876953125,0.001408563764198334,,
1249.9337,289.67,47,205,7495,1540096,0.5794543027877808,0.5065808594226837,-3.478178671002388,8477.960430145264,1338.6107177734375,0.2,1690,0.013850606,0.001,0.164910888671875,0.0012822382122976705,,
1173.4789,293.51,48,205,7654,1572864,0.5790744423866272,0.5295820236206055,-3.4741436056792736,9355.705149078369,1298.3438720703125,0.2,1700,0.013563395,0.001,0.1535858154296875,0.0016068054108473006,,
,,,,,1600000,0.5778616666793823,0.5405377447605133,-3.4686759375035763,9336.526802825927,1169.013916015625,0.2,1710,0.012955943,0.001,0.1413238525390625,0.0007578175242088037,240.14,672.0438232421875
1021.0213,297.47,49,201,7962,1605632,,,,,,,,,,,,,
