time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/loss,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,-415.01672,32768,76,298.1855670103093,426,,,,,,,,,,,,,
2,-600.7957,65536,182,300.83,358,0.51181640625,0.071527824,1240,0.04440948463443419,0.2,0.001,20190.65066051483,4059.683837890625,-3.8708075996488334,0.6403465867042542,0.4154374599456787,,
3,-637.4498,98304,288,298.31,340,0.3780029296875,0.043108687,1250,0.019789128857519246,0.2,0.001,11614.615699386597,5142.6494140625,-3.88123834785074,0.6422691941261292,0.4927489161491394,,
4,-672.44226,131072,396,301.0,330,0.3763641357421875,0.041052513,1260,0.016393261079974762,0.2,0.001,6415.013171339035,1373.11572265625,-3.890071221720427,0.6427175402641296,0.44504278898239136,,
5,-544.90564,163840,503,297.57,325,0.360455322265625,0.04077869,1270,0.011545180532539234,0.2,0.001,4067.4421703100206,857.9785766601562,-3.8881758930161596,0.6449544429779053,0.5376896858215332,,
6,-609.93,196608,610,300.14,321,0.393896484375,0.04815655,1280,0.018151015736839325,0.2,0.001,3837.582009887695,1973.716064453125,-3.9018183225765823,0.6450595259666443,0.4215715527534485,,
7,-777.9429,229376,717,296.51,319,0.40496826171875,0.04786209,1290,0.014994330773060938,0.2,0.001,3244.1289441466333,407.69732666015625,-3.8959519072435795,0.641749918460846,0.38881993293762207,,
8,-781.6624,262144,823,301.0,318,0.3753692626953125,0.04402825,1300,0.011460989388706367,0.2,0.001,1923.6146834373474,203.71617126464844,-3.9015234417282043,0.6436178684234619,0.343880832195282,,
9,-592.2946,294912,929,301.0,317,0.4045135498046875,0.050210617,1310,0.01314434422076829,0.2,0.001,1869.0545890152455,307.6643981933594,-3.9064970907755194,0.6458305716514587,0.3524540066719055,,
10,-739.1079,327680,1036,301.0,316,0.3946319580078125,0.05100905,1320,0.01253695356190292,0.2,0.001,2258.7975884318353,487.9645080566406,-3.892732289619744,0.6425476670265198,0.25849366188049316,,
11,-600.3778,360448,1143,301.0,315,0.38583984375,0.049216077,1330,0.011594246624918014,0.2,0.001,1773.861116862297,189.4787139892578,-3.892066211253405,0.643104612827301,0.32907575368881226,,
12,-674.82086,393216,1251,301.0,314,0.3644317626953125,0.045896657,1340,0.010019728412498808,0.2,0.001,1956.8285640001297,285.0881042480469,-3.9075974599458276,0.6449978351593018,0.3499484658241272,,
13,-496.83676,425984,1358,298.29,313,0.3652252197265625,0.04391843,1350,0.008998082758807868,0.2,0.001,1760.7719541430474,356.5699462890625,-3.914714396558702,0.647929310798645,0.4447367787361145,,
14,-480.36496,458752,1466,301.0,312,0.349005126953125,0.043610096,1360,0.009685612813063927,0.2,0.001,2382.996844291687,388.0358581542969,-3.926812650077045,0.6514178514480591,0.33892643451690674,,
15,-705.5693,491520,1573,301.0,312,0.3456085205078125,0.040388223,1370,0.008132346924048761,0.2,0.001,2145.1874073207377,253.92837524414062,-3.932762157358229,0.6498070955276489,0.40427690744400024,,
16,-480.45956,524288,1681,301.0,311,0.3321075439453125,0.037515283,1380,0.006306303054952877,0.2,0.001,1915.534543824196,279.8874816894531,-3.945190052408725,0.6522342562675476,0.406177818775177,,
17,-671.18384,557056,1790,300.75,311,0.318798828125,0.034480073,1390,0.0049460732099760206,0.2,0.001,2523.35715123415,266.743896484375,-3.953869707509875,0.6524253487586975,0.3632349371910095,,
18,-705.7395,589824,1899,296.54,310,0.3373504638671875,0.038042307,1400,0.006249931115394247,0.2,0.001,2776.907570922375,343.598388671875,-3.944700991548598,0.6506493091583252,0.30811989307403564,,
19,-672.4163,622592,2007,301.01,310,0.344805908203125,0.041450202,1410,0.008168830960130435,0.2,0.001,2410.6341272354125,312.8227233886719,-3.949951841775328,0.6526030898094177,0.35397976636886597,,
20,-412.07654,655360,2115,300.97,309,0.335064697265625,0.039296206,1420,0.006948649695505083,0.2,0.001,1978.3228792905807,488.76361083984375,-3.9635231708176435,0.657073974609375,0.3591831922531128,,
21,-552.9209,688128,2223,301.0,309,0.362744140625,0.042707495,1430,0.008921479541959343,0.2,0.001,2932.943912047148,413.7776184082031,-3.9818298273719845,0.6596271991729736,0.25392669439315796,,
22,-538.2252,720896,2332,301.0,309,0.330029296875,0.036649052,1440,0.007557630663177406,0.2,0.001,2466.452268719673,362.695556640625,-3.9946642599999906,0.6598854660987854,0.33333903551101685,,
23,-599.4852,753664,2440,301.0,308,0.334375,0.039692357,1450,0.008097804551061927,0.2,0.001,2407.5048337459566,247.20907592773438,-3.9990451293997467,0.6638299822807312,0.2507215142250061,,
24,-374.1622,786432,2548,301.0,308,0.3451019287109375,0.039068863,1460,0.005830358592538687,0.2,0.001,1504.9080416619777,1009.017822265625,-3.9993371618911624,0.6593199372291565,0.4353677034378052,,
25,-452.11673,819200,2656,298.81,308,0.3192535400390625,0.03493946,1470,0.005117992463829069,0.2,0.001,2837.4232066869736,1034.1279296875,-3.9775603584945203,0.6521364450454712,0.3904959559440613,,
26,-658.46173,851968,2764,301.0,308,0.335528564453125,0.03745593,1480,0.004635971444031384,0.2,0.001,2625.577373981476,553.3703002929688,-3.9381695004180073,0.6513644456863403,0.372752845287323,,
27,-583.49243,884736,2872,301.0,308,0.3295684814453125,0.038606152,1490,0.006894939581889048,0.2,0.001,1864.3028631329537,179.63694763183594,-3.936194277834147,0.6486341953277588,0.4242932200431824,,
28,-449.73532,917504,2980,301.0,307,0.3327056884765625,0.03628458,1500,0.005335040758473042,0.2,0.001,2377.820520287752,610.5280151367188,-3.9265603030100467,0.6461893320083618,0.36766505241394043,,
29,-451.38745,950272,3087,298.55,307,0.3188629150390625,0.033044845,1510,0.0038887357748990325,0.2,0.001,2607.185598051548,195.85498046875,-3.9049288664013146,0.6434674263000488,0.3216240406036377,,
30,-424.75687,983040,3195,300.2,307,0.302410888671875,0.03267813,1520,0.0059383482127486785,0.2,0.001,2882.7324308156967,213.32394409179688,-3.884320247359574,0.638796329498291,0.41813308000564575,,
31,-443.70837,1015808,3302,300.45,307,0.29093017578125,0.029697943,1530,0.0025227643701782655,0.2,0.001,3449.1455281734466,1601.1177978515625,-3.861670018453151,0.6363229751586914,0.4141172766685486,,
32,-439.9775,1048576,3410,297.57,307,0.2924346923828125,0.0314112,1540,0.003279110680659869,0.2,0.001,2708.543078684807,368.318115234375,-3.837955266609788,0.6316742300987244,0.4659137725830078,,
33,-522.7704,1081344,3517,300.27,307,0.28896484375,0.03187278,1550,0.003893875967605709,0.2,0.001,2863.994138979912,175.6510009765625,-3.843176798149943,0.6342307329177856,0.42416781187057495,,
34,-435.19308,1114112,3625,298.48,307,0.3052703857421875,0.032337796,1560,0.004846803943564737,0.2,0.001,2807.168685281277,474.7105712890625,-3.8360001241788266,0.6334877014160156,0.4360692501068115,,
35,-320.1513,1146880,3732,297.29,307,0.293017578125,0.030114597,1570,0.0030657338916171284,0.2,0.001,2795.9993066430093,236.97186279296875,-3.8208893006667495,0.6312704682350159,0.4838908314704895,,
36,-608.51,1179648,3840,300.72,307,0.2874420166015625,0.030544735,1580,0.003736739680653045,0.2,0.001,3727.4483828306197,304.58544921875,-3.8201905377209187,0.629758894443512,0.4727053642272949,,
37,-259.38177,1212416,3948,299.44,307,0.272760009765625,0.027166396,1590,0.0020616921241526144,0.2,0.001,2690.557102429867,292.089599609375,-3.7947930274531245,0.6262218952178955,0.5575489103794098,,
38,-500.26898,1245184,4057,297.81,306,0.268243408203125,0.02754378,1600,0.0031122343755214388,0.2,0.001,3408.6294033885,501.62188720703125,-3.790897302981466,0.6244229078292847,0.5506055057048798,,
39,-409.38855,1277952,4165,297.65,306,0.2547760009765625,0.025330449,1610,0.0020720990796689875,0.2,0.001,3375.7203632831574,760.2017822265625,-3.7728282447904347,0.6228334903717041,0.5743776857852936,,
40,-465.9297,1310720,4273,298.53,306,0.26942138671875,0.027406644,1620,0.0023818273458346083,0.2,0.001,3544.5330806970596,693.5991821289062,-3.754281671345234,0.620901346206665,0.5873323678970337,,
41,-540.4853,1343488,4381,294.88,306,0.2661834716796875,0.026756302,1630,0.0029858888412945817,0.2,0.001,3721.4147459983824,605.8086547851562,-3.748151341546327,0.6191386580467224,0.6600224375724792,,
42,-203.03195,1376256,4488,299.8,306,0.274127197265625,0.027596783,1640,0.0033752750885923887,0.2,0.001,2857.532636666298,886.7322387695312,-3.7264763390645386,0.6156338453292847,0.6684412062168121,,
43,-312.7997,1409024,4596,300.82,306,0.2645416259765625,0.026543897,1650,0.0035677552996276063,0.2,0.001,3001.7360507130625,307.367431640625,-3.7119582296349107,0.6129169464111328,0.6675179600715637,,
44,-286.63004,1441792,4703,299.05,306,0.2625518798828125,0.026497394,1660,0.0027298835555484404,0.2,0.001,2984.8187302589417,322.33721923828125,-3.7088261555880306,0.6129008531570435,0.707425057888031,,
