Episode,Reward
1,1793.7174
2,3266.6387
3,6981.0576
4,2937.8848
5,7167.597
6,5734.539
7,2710.986
8,7927.14
9,4557.7007
10,3121.858
11,10391.18
12,3276.864
13,4223.2153
14,2527.577
15,2174.369
16,7062.0215
17,3509.46
18,3376.638
19,9281.778
20,9075.828
21,3156.7532
22,4508.4053
23,7696.1465
24,7038.3833
25,5752.4976
26,4678.3525
27,8135.194
28,4394.2734
29,1914.6473
30,6981.5093
31,2911.5967
32,4547.454
33,3650.8594
34,4228.1377
35,3124.1873
36,2323.29
37,5383.2607
38,4748.128
39,2004.828
40,3341.4941
41,3201.889
42,5675.9067
43,4420.149
44,6686.216
45,5830.5273
46,5281.9507
47,8140.8926
48,6957.1655
49,4686.2534
50,2215.5706
51,4043.3806
52,6787.351
53,3112.6746
54,9055.645
55,6710.9893
56,4281.597
57,8970.4795
58,4701.884
59,6985.855
60,4455.53
61,8034.525
62,5678.9634
63,7860.8584
64,7515.443
65,5758.396
66,5411.7783
67,3718.1382
68,3089.037
69,8398.065
70,2701.1895
71,3129.4321
72,9848.853
73,6889.325
74,6886.932
75,6982.286
76,5602.5747
77,2112.567
78,7852.921
79,5716.251
80,2245.6594
81,495.5203
82,2176.302
83,3436.1182
84,5700.483
85,4840.631
86,4260.9287
87,4143.516
88,8891.788
89,2802.9878
90,3696.4397
91,917.70074
92,7031.1436
93,5535.258
94,6784.553
95,2894.569
96,6825.3047
97,4701.2466
98,4572.715
99,6908.2876
100,7966.1167
