time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/value_loss,train/approx_kl
58,1,32768,3227.3115,563,301.0,,,,,,,,,,,
184,2,65536,2998.9043,355,301.0,630,0.001,0.241033136844635,-4.390643704030663,0.7271461486816406,0.5414764404296875,0.046403277699118915,0.2,4444.4638671875,25473.40339398384,0.085310884
310,3,98304,3300.6377,316,301.0,640,0.001,0.3177655339241028,-4.3945575742051,0.726360559463501,0.441485595703125,0.026719499269552215,0.2,2119.352294921875,20702.631555843353,0.056964934
436,4,131072,3614.4668,300,301.0,650,0.001,0.35497283935546875,-4.379904209077358,0.7245008945465088,0.415399169921875,0.02250225136190238,0.2,3154.921142578125,19743.545224809648,0.051105663
562,5,163840,3659.2275,291,301.0,660,0.001,0.3488144278526306,-4.371945632249117,0.7230497598648071,0.3895263671875,0.02062307489968589,0.2,2730.728759765625,19119.999217653276,0.045482956
688,6,196608,3930.0332,285,301.0,670,0.001,0.3473675847053528,-4.367353542894125,0.7219282388687134,0.392926025390625,0.020139686108382193,0.2,3176.353759765625,21102.30139784813,0.04438369
816,7,229376,3462.3748,281,301.0,680,0.001,0.32899850606918335,-4.3557167232967915,0.7190780639648438,0.3908416748046875,0.0211199976039552,0.2,3749.0234375,21960.688178777695,0.04522066
945,8,262144,3707.8457,277,301.0,690,0.001,0.24344241619110107,-4.352588097844273,0.7190365791320801,0.3927093505859375,0.020943719505294212,0.2,3090.324951171875,21792.078356552123,0.04532245
1074,9,294912,3693.1587,274,301.0,700,0.001,0.26154810190200806,-4.342377376370132,0.7168611288070679,0.379022216796875,0.019517379816261383,0.2,2483.6298828125,22806.43353738785,0.0437504
1202,10,327680,3936.5461,272,301.0,710,0.001,0.3026083707809448,-4.342451225686818,0.7189767360687256,0.3704345703125,0.018963630392954657,0.2,16941.76953125,23376.382925891878,0.040874064
1329,11,360448,3840.6787,271,301.0,720,0.001,0.2944641709327698,-4.3278355748392645,0.7133182287216187,0.3724639892578125,0.01743978411268472,0.2,4813.5390625,24519.523973417283,0.04210248
1457,12,393216,3902.0044,269,301.0,730,0.001,0.23403853178024292,-4.310680842958391,0.711531937122345,0.3841827392578125,0.018828276552380886,0.2,4916.8515625,24377.4940533638,0.042269133
1584,13,425984,3886.8806,268,301.0,740,0.001,0.284332811832428,-4.287669651675969,0.7059632539749146,0.364599609375,0.0185576848196888,0.2,5493.92236328125,24385.91431341171,0.04078531
1711,14,458752,4021.9587,267,301.0,750,0.001,0.2699670195579529,-4.275311436504126,0.7063101530075073,0.3759124755859375,0.020238442468325957,0.2,10605.9609375,24837.883525419235,0.04306193
1838,15,491520,4266.998,267,301.0,760,0.001,0.30160653591156006,-4.27125552771613,0.7047070860862732,0.3767333984375,0.018729164441265312,0.2,3414.152587890625,25148.057069015504,0.041730687
