Episode,Reward
1,-1453.2905
2,-1801.9264
3,2027.1752
4,-1998.9006
5,1439.1881
6,-2198.763
7,-265.9535
8,-827.4084
9,2754.0757
10,391.99792
11,1428.4395
12,-1397.4181
13,141.12384
14,-127.13608
15,-118.70977
16,-812.35815
17,1020.44025
18,-1470.2683
19,1284.9653
20,-1466.2891
21,986.0945
22,-1563.5858
23,-1162.4141
24,-111.68488
25,-211.59335
26,-687.56415
27,641.3085
28,-662.95514
29,-1063.1079
30,595.7763
31,-570.3652
32,160.21039
33,2772.5984
34,1818.9813
35,-1540.2604
36,358.21567
37,-450.67014
38,313.07312
39,-1532.8817
40,-768.6648
41,455.66483
42,-2010.24
43,536.72064
44,-118.450424
45,2034.1371
46,4006.7515
47,676.36194
48,-1071.9471
49,1689.6323
50,517.89575
51,-81.1522
52,231.43118
53,-349.74756
54,1014.7934
55,-624.9428
56,-182.31013
57,-138.50465
58,-1046.8279
59,-318.5642
60,-536.438
61,-382.60886
62,-1196.6191
63,-1110.2885
64,375.19916
65,325.26874
66,-1022.12103
67,-1061.3578
68,667.5867
69,-1586.5967
70,4.0592427
71,2787.3357
72,-943.56445
73,-58.571247
74,-1663.5581
75,1892.1968
76,-1442.645
77,1790.581
78,3782.5984
79,-1354.2516
80,-1046.3231
81,647.3217
82,1189.5814
83,-821.3213
84,366.42337
85,-1082.819
86,16.64425
87,-848.93933
88,-1110.4187
89,361.27023
90,-1831.6907
91,493.05545
92,-1056.2115
93,1287.3124
94,-1110.7739
95,-276.90332
96,211.77371
97,-1125.7542
98,-1716.9218
99,-596.94684
100,204.20491
