time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
1,301.0,-770.1668,32768,568,57,,,,,,,,,,,
2,300.15,-807.4817,65536,359,182,953.7288208007812,-0.06961715221405029,0.066364974,0.7278606295585632,630,0.03682352355490366,-4.392176915425807,0.501727294921875,6652.410643041134,0.001,0.2
3,301.0,-750.8299,98304,319,307,437.42010498046875,0.32443660497665405,0.04632287,0.7295363545417786,640,0.014216716063856438,-4.414985688310116,0.405462646484375,3669.654181241989,0.001,0.2
4,301.0,-776.97327,131072,302,432,199.88897705078125,0.3329674005508423,0.04743109,0.7336573004722595,650,0.011495148893345686,-4.41830289112404,0.4074462890625,2190.226190197468,0.001,0.2
5,301.0,-788.05493,163840,293,558,264.9213562011719,0.3607823848724365,0.044924315,0.7351006269454956,660,0.008863576901057968,-4.42339450372383,0.3998260498046875,1492.130124539137,0.001,0.2
6,301.01,-760.241,196608,286,685,150.8467559814453,0.3024965524673462,0.049115643,0.7371107339859009,670,0.011014159303636006,-4.444282567128539,0.4158935546875,1644.3610416859387,0.001,0.2
7,301.01,-735.4921,229376,281,814,416.97320556640625,0.37141937017440796,0.052302293,0.7376205325126648,680,0.011575418888241984,-4.451287517696619,0.4250946044921875,1439.871562923491,0.001,0.2
8,301.0,-819.8685,262144,277,945,137.23338317871094,0.26615554094314575,0.045864634,0.7347849011421204,690,0.008044937368231331,-4.445281502977013,0.3819610595703125,1720.4719250530004,0.001,0.2
9,301.0,-635.7047,294912,273,1076,177.58177185058594,0.2804158329963684,0.053193197,0.7355994582176208,700,0.01255195995181566,-4.446637763082981,0.422686767578125,1281.970036610961,0.001,0.2
10,301.0,-557.99634,327680,271,1206,192.30274963378906,0.19097286462783813,0.04701661,0.73692387342453,710,0.008481594226623201,-4.437760099861771,0.3986602783203125,2039.6003386378288,0.001,0.2
11,301.0,-476.44708,360448,269,1336,698.2509155273438,0.3273744583129883,0.04425527,0.7422783970832825,720,0.008235436664722328,-4.450356053560972,0.3656982421875,2103.206607374549,0.001,0.2
12,300.79,-506.7655,393216,268,1466,329.8714904785156,0.26286637783050537,0.037980214,0.7425293922424316,730,0.006740338292252091,-4.463455753959716,0.3409820556640625,2907.8300308704374,0.001,0.2
