Episode,Reward
1,1722.6387
2,537.8402
3,528.4263
4,232.61305
5,533.2323
6,2754.9597
7,367.00955
8,468.03677
9,2849.732
10,-694.4211
11,1684.7283
12,2529.5237
13,1692.022
14,1698.3274
15,1626.5107
16,484.99228
17,-1001.3078
18,951.9711
19,1781.1532
20,661.49084
21,1604.5499
22,2754.353
23,2772.4265
24,665.6094
25,-600.0361
26,548.87415
27,1727.206
28,-1157.3091
29,1765.2188
30,1606.2802
31,1740.9717
32,-913.0704
33,-734.2266
34,1011.0197
35,1675.4141
36,682.28284
37,-787.7393
38,716.51624
39,1838.5955
40,1541.1936
41,655.11694
42,-829.29364
43,430.11334
44,1697.2891
45,1683.3369
46,-961.4476
47,2842.218
48,1664.1431
49,367.62677
50,-1054.1213
51,1559.3501
52,983.4797
53,2669.6653
54,-724.5034
55,181.37497
56,-1385.048
57,2818.86
58,2770.2812
59,672.8633
60,426.95764
61,2757.732
62,1566.243
63,2859.6042
64,1572.2086
65,2821.2441
66,474.2549
67,564.36456
68,338.05807
69,2857.4644
70,534.8418
71,-653.244
72,1620.478
73,521.6438
74,421.35873
75,-767.93634
76,2812.369
77,203.02945
78,1643.3748
79,1827.235
80,326.66998
81,-756.95795
82,3817.4902
83,700.24286
84,-472.51083
85,1019.40393
86,-607.39655
87,1586.0502
88,1399.6333
89,1556.0951
90,300.80087
91,1416.7264
92,-646.2967
93,1737.5907
94,385.98126
95,1605.8992
96,396.77722
97,300.66406
98,3801.3506
99,2774.5713
100,2816.4602
